ticker,WAB US Equity,WAB US Equity,WAB US Equity,WAB US Equity,WAB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-04-12,6.53,6.65,5.5355,6.587,6.593,UP,1
2001-04-16,6.54,6.53,5.5442,6.585,6.5892,DOWN,0
2001-04-17,6.535,6.545,5.5532,6.572,6.5856,DOWN,0
2001-04-18,6.52,6.5,5.5598,6.545,6.581,UP,1
2001-04-19,6.6,6.475,5.5675,6.545,6.579,DOWN,0
2001-04-20,6.585,6.6,5.5758,6.556,6.5748,UP,1
2001-04-23,6.655,6.58,5.584,6.579,6.5715,DOWN,0
2001-04-24,6.625,6.705,5.5918,6.597,6.5692,UP,1
2001-04-25,6.705,6.65,5.6002,6.634,6.5684,UP,1
2001-04-26,6.725,6.7,5.6088,6.659,6.5706,DOWN,0
2001-04-27,6.725,6.735,5.6157,6.687,6.5702,DOWN,0
2001-04-30,6.68,6.675,5.6221,6.692,6.5663,UP,1
2001-05-01,6.715,6.72,5.6296,6.71,6.5642,UP,1
2001-05-02,6.72,6.75,5.6371,6.713,6.5636,DOWN,0
2001-05-03,6.6,6.71,5.6434,6.688,6.5592,UP,1
2001-05-04,6.62,6.62,5.6502,6.667,6.5552,DOWN,0
2001-05-07,6.6,6.62,5.6584,6.651,6.5508,DOWN,0
2001-05-08,6.55,6.575,5.6658,6.618,6.5429,DOWN,0
2001-05-09,6.49,6.575,5.6744,6.572,6.5327,UP,1
2001-05-10,6.495,6.495,5.6828,6.551,6.5226,UP,1
2001-05-11,6.5,6.54,5.6911,6.527,6.5126,UP,1
2001-05-14,6.56,6.52,5.6995,6.519,6.5048,DOWN,0
2001-05-15,6.54,6.56,5.7081,6.517,6.5026,DOWN,0
2001-05-16,6.515,6.575,5.7155,6.522,6.4973,UP,1
2001-05-17,6.635,6.565,5.724,6.55,6.4925,UP,1
2001-05-18,6.75,6.62,5.7328,6.6,6.4898,DOWN,0
2001-05-21,6.75,6.725,5.7412,6.638,6.4888,UP,1
2001-05-22,6.95,6.7,5.7505,6.72,6.5033,DOWN,0
2001-05-23,6.735,6.94,5.7584,6.764,6.508,DOWN,0
2001-05-24,6.7,6.74,5.7653,6.777,6.515,DOWN,0
2001-05-25,6.575,6.675,5.771,6.742,6.517,UP,1
2001-05-29,6.6,6.575,5.7768,6.712,6.5244,DOWN,0
2001-05-30,6.575,6.65,5.7825,6.637,6.5275,DOWN,0
2001-05-31,6.525,6.575,5.7884,6.595,6.5331,UP,1
2001-06-01,6.59,6.575,5.7948,6.573,6.5449,UP,1
2001-06-04,6.62,6.575,5.8007,6.582,6.5574,UP,1
2001-06-05,6.74,6.65,5.8076,6.61,6.5699,DOWN,0
2001-06-06,6.72,6.75,5.8147,6.639,6.5795,UP,1
2001-06-07,6.775,6.675,5.8211,6.689,6.5888,DOWN,0
2001-06-08,6.705,6.75,5.8276,6.712,6.5976,DOWN,0
2001-06-11,6.65,6.725,5.8346,6.718,6.6078,UP,1
2001-06-12,6.8,6.65,5.8422,6.73,6.6168,UP,1
2001-06-13,6.95,6.85,5.8509,6.776,6.6293,DOWN,0
2001-06-14,6.75,6.925,5.8581,6.771,6.6443,UP,1
2001-06-15,6.895,6.75,5.8661,6.809,6.6519,DOWN,0
2001-06-18,6.615,6.905,5.8728,6.802,6.6468,UP,1
2001-06-19,6.65,6.65,5.8801,6.772,6.6488,UP,1
2001-06-20,6.73,6.6,5.8875,6.728,6.6514,UP,1
