ticker,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2012-12-26,37.9416,38.4008,31.6539,38.5924,37.6347,UP,1
2012-12-27,38.0115,38.0813,31.7165,38.3548,37.6811,DOWN,0
2012-12-28,37.5523,37.6521,31.7711,38.0214,37.6924,UP,1
2012-12-31,38.6004,37.5223,31.8324,38.0634,37.7194,UP,1
2013-01-02,39.8082,39.8781,31.8973,38.3828,37.7543,UP,1
2013-01-03,39.8382,39.8781,31.9639,38.7621,37.7789,UP,1
2013-01-04,40.1576,39.8282,32.0321,39.1913,37.8088,UP,1
2013-01-07,41.1458,39.9779,32.106,39.91,37.8695,DOWN,0
2013-01-08,41.0959,41.0659,32.1786,40.4091,37.9378,UP,1
2013-01-09,41.6349,41.3954,32.2564,40.7745,38.0079,DOWN,0
2013-01-10,40.9462,41.8545,32.332,40.9961,38.0779,DOWN,0
2013-01-11,40.8763,41.046,32.4047,41.1398,38.1564,UP,1
2013-01-14,40.9462,41.0759,32.4715,41.0999,38.2273,DOWN,0
2013-01-15,40.6068,40.6267,32.5364,41.0021,38.275,DOWN,0
2013-01-16,40.4471,40.6767,32.6029,40.7645,38.3391,UP,1
2013-01-17,41.8645,40.9761,32.6765,40.9482,38.4053,UP,1
2013-01-18,42.0043,41.9743,32.7539,41.1738,38.469,DOWN,0
2013-01-22,41.9943,41.9444,32.8303,41.3834,38.5293,UP,1
2013-01-23,42.5333,41.8545,32.91,41.7687,38.6132,DOWN,0
2013-01-24,42.2239,42.5932,32.9901,42.124,38.6968,UP,1
2013-01-25,42.9925,42.3536,33.0732,42.3496,38.8304,DOWN,0
2013-01-28,41.8346,42.9925,33.1601,42.3157,38.9442,UP,1
2013-01-29,42.6032,42.3337,33.2446,42.4375,39.0973,DOWN,0
2013-01-30,41.5251,42.4435,33.32,42.2358,39.2311,DOWN,0
2013-01-31,41.4652,41.1258,33.397,42.0841,39.3391,DOWN,0
2013-02-01,40.9961,41.7747,33.4732,41.6848,39.4241,DOWN,0
2013-02-04,40.477,40.9462,33.5467,41.4133,39.473,UP,1
2013-02-05,40.8963,40.7865,33.6237,41.0719,39.5259,DOWN,0
2013-02-06,40.6267,40.7465,33.7027,40.8923,39.5663,DOWN,0
2013-02-07,40.0478,40.6767,33.7743,40.6088,39.5978,DOWN,0
2013-02-08,39.8881,40.1775,33.8504,40.3872,39.6226,DOWN,0
2013-02-11,39.1993,39.7883,33.9203,40.1316,39.6403,UP,1
2013-02-12,40.7964,39.2193,33.995,40.1117,39.693,DOWN,0
2013-02-13,40.7565,40.8164,34.0621,40.1376,39.7487,DOWN,0
2013-02-14,40.5668,40.7266,34.1232,40.2414,39.8052,DOWN,0
2013-02-15,40.1276,40.5469,34.1854,40.2893,39.8535,DOWN,0
2013-02-19,39.8382,40.1775,34.2435,40.4171,39.9232,DOWN,0
2013-02-20,37.1131,39.4289,34.2842,39.6804,39.941,UP,1
2013-02-21,37.6222,37.1231,34.3303,39.0536,39.9609,UP,1
2013-02-22,37.8118,37.8018,34.3791,38.5026,39.9865,DOWN,0
2013-02-25,36.594,38.0913,34.4204,37.7958,39.9915,UP,1
2013-02-26,37.9416,36.8436,34.4708,37.4165,39.9943,UP,1
2013-02-27,38.8699,38.0514,34.5208,37.7679,40.029,DOWN,0
2013-02-28,38.5205,38.9597,34.5731,37.9476,40.0546,UP,1
2013-03-01,38.7701,38.3708,34.625,38.1392,40.0554,UP,1
2013-03-04,39.7883,38.6902,34.6823,38.7781,40.0584,UP,1
2013-03-05,40.6168,39.9579,34.7399,39.3131,40.0867,UP,1
2013-03-06,41.1758,40.8963,34.7996,39.7743,40.1258,UP,1
2013-03-07,41.3454,41.0061,34.8722,40.3393,40.1849,UP,1
2013-03-08,41.6449,41.7048,34.9497,40.9142,40.2536,UP,1
2013-03-11,41.7347,41.4453,35.0236,41.3035,40.3295,DOWN,0
2013-03-12,40.9162,41.585,35.0904,41.3634,40.3876,UP,1
2013-03-13,41.1059,40.8463,35.1541,41.3494,40.4586,UP,1
2013-03-14,41.8645,41.1758,35.2224,41.4532,40.5239,DOWN,0
2013-03-15,41.6948,41.9743,35.2901,41.4632,40.5617,DOWN,0
2013-03-18,41.5052,41.1758,35.3541,41.4173,40.595,DOWN,0
2013-03-19,41.3454,42.144,35.427,41.5032,40.6188,UP,1
2013-03-20,43.3219,41.6649,35.5074,41.9464,40.6623,DOWN,0
2013-03-21,42.3137,43.2221,35.5941,42.0362,40.6866,DOWN,0
2013-03-22,42.0442,42.4235,35.6861,42.1061,40.6948,DOWN,0
2013-03-25,41.4852,42.0542,35.7675,42.1021,40.7056,UP,1
2013-03-26,41.6449,41.6249,35.8445,42.162,40.721,UP,1
2013-03-27,41.7148,41.2157,35.9231,41.8406,40.7363,DOWN,0
2013-03-28,41.4053,41.7647,35.9976,41.6589,40.7523,DOWN,0
2013-04-01,40.5369,41.3055,36.0738,41.3574,40.7541,DOWN,0
2013-04-02,39.9579,40.6667,36.1459,41.052,40.716,DOWN,0
2013-04-03,38.8599,39.938,36.2171,40.495,40.6531,DOWN,0
2013-04-04,38.7202,39.0995,36.2832,39.8961,40.5876,UP,1
2013-04-05,39.2692,38.0115,36.3503,39.4688,40.5223,UP,1
2013-04-08,40.3672,39.2093,36.4175,39.4349,40.4852,DOWN,0
2013-04-09,39.6685,40.3273,36.481,39.377,40.4187,DOWN,0
2013-04-10,39.4389,39.7883,36.5439,39.4928,40.3708,DOWN,0
2013-04-11,38.9897,39.359,36.6086,39.5467,40.2985,UP,1
2013-04-12,40.4071,38.7102,36.679,39.7743,40.2762,DOWN,0
2013-04-15,37.712,39.9879,36.7349,39.2432,40.2011,UP,1
2013-04-16,38.6303,38.7801,36.7914,39.0356,40.1538,DOWN,0
2013-04-17,38.2211,38.2311,36.8392,38.792,40.1087,DOWN,0
2013-04-18,37.163,38.2311,36.8785,38.4267,40.034,UP,1
2013-04-19,38.1013,37.4425,36.9147,37.9655,39.9835,UP,1
2013-04-22,38.7202,38.1013,36.9531,38.1672,39.9569,UP,1
2013-04-23,41.3754,40.2774,37.005,38.7162,39.9867,DOWN,0
2013-04-24,41.3355,41.5052,37.0545,39.3391,40.0294,UP,1
2013-04-25,41.8545,41.4552,37.105,40.2774,40.0506,UP,1
2013-04-26,42.2239,42.3037,37.159,41.1019,40.0799,DOWN,0
2013-04-29,41.3454,42.1939,37.2135,41.6269,40.0955,DOWN,0
2013-04-30,41.1458,41.2157,37.2696,41.581,40.1159,DOWN,0
2013-05-01,40.2973,40.7266,37.3161,41.3734,40.125,UP,1
2013-05-02,41.8445,40.6767,37.3705,41.3714,40.2197,UP,1
2013-05-03,42.0342,42.3836,37.424,41.3335,40.3079,UP,1
2013-05-06,42.0442,41.9643,37.4787,41.4732,40.3926,UP,1
2013-05-07,42.124,42.0841,37.5377,41.6689,40.5032,UP,1
2013-05-08,42.174,41.9843,37.5973,42.0442,40.5878,UP,1
2013-05-09,42.3237,42.154,37.6549,42.14,40.6569,UP,1
2013-05-10,42.6032,42.2338,37.714,42.2538,40.7385,UP,1
2013-05-13,43.1622,42.4035,37.7788,42.4774,40.8264,UP,1
2013-05-14,43.801,43.1222,37.8529,42.8128,40.9066,DOWN,0
2013-05-15,43.6213,43.6912,37.9203,43.1023,40.9667,DOWN,0
2013-05-16,42.8627,43.2021,37.9832,43.2101,41.0005,UP,1
2013-05-17,43.7411,43.0324,38.0544,43.4377,41.0484,DOWN,0
2013-05-20,43.1422,43.7112,38.1243,43.4337,41.0783,DOWN,0
2013-05-21,42.3936,43.2221,38.1917,43.1522,41.0915,DOWN,0
2013-05-22,42.2139,42.7429,38.2551,42.8707,41.1175,UP,1
2013-05-23,43.3219,41.575,38.3215,42.9625,41.1618,DOWN,0
2013-05-24,42.713,42.8427,38.3868,42.7569,41.1787,DOWN,0
2013-05-28,42.134,43.4217,38.4459,42.5553,41.1875,DOWN,0
2013-05-29,40.2874,41.6349,38.4941,42.134,41.1632,DOWN,0
2013-05-30,40.0677,40.4071,38.5373,41.7048,41.1376,DOWN,0
2013-05-31,39.2492,39.8981,38.5778,40.8903,41.0562,DOWN,0
2013-06-03,39.1594,39.5088,38.6177,40.1795,40.9931,DOWN,0
2013-06-04,37.9715,39.2991,38.6515,39.347,40.9116,DOWN,0
2013-06-05,37.3826,37.9116,38.682,38.7661,40.8296,UP,1
2013-06-06,38.4806,37.3526,38.7126,38.4487,40.7663,UP,1
2013-06-07,38.5305,38.9697,38.7419,38.3049,40.7026,DOWN,0
2013-06-10,37.2428,38.0115,38.769,37.9216,40.6194,DOWN,0
2013-06-11,36.5541,36.7737,38.7961,37.6381,40.5397,UP,1
2013-06-12,36.6539,37.2928,38.818,37.4924,40.4736,UP,1
2013-06-13,38.6603,36.6938,38.8514,37.5283,40.4696,UP,1
2013-06-14,38.9597,38.5305,38.8833,37.6142,40.4744,UP,1
2013-06-17,39.2492,39.3391,38.9198,38.0154,40.474,DOWN,0
2013-06-18,39.2492,39.1794,38.955,38.5545,40.4517,DOWN,0
2013-06-19,37.7819,39.2692,38.9831,38.7801,40.4139,DOWN,0
2013-06-20,34.8771,37.2329,38.9973,38.0234,40.3227,UP,1
2013-06-21,35.1865,35.2065,39.0114,37.2688,40.2466,DOWN,0
2013-06-24,34.927,34.6176,39.022,36.4044,40.137,UP,1
2013-06-25,35.1666,36.5241,39.0337,35.5878,40.0861,UP,1
2013-06-26,35.9452,35.5858,39.0433,35.2205,40.0324,UP,1
2013-06-27,37.3127,36.5641,39.0606,35.7076,40.0142,DOWN,0
2013-06-28,35.9751,36.9933,39.0748,35.8653,39.9905,DOWN,0
2013-07-01,35.4062,36.2347,39.0867,35.9612,39.9366,DOWN,0
2013-07-02,34.927,35.3263,39.0891,35.9132,39.8607,UP,1
2013-07-03,35.2864,34.7473,39.0902,35.7815,39.7389,DOWN,0
2013-07-05,33.8689,35.2964,39.0775,35.0927,39.5896,DOWN,0
2013-07-08,32.9905,34.0586,39.0631,34.4958,39.4123,UP,1
2013-07-09,34.947,33.2401,39.0602,34.404,39.2668,DOWN,0
2013-07-10,34.4978,34.937,39.0517,34.3181,39.1298,UP,1
2013-07-11,37.3726,35.7156,39.0559,34.7354,39.0544,DOWN,0
2013-07-12,36.9833,37.183,39.0536,35.3582,38.9881,DOWN,0
2013-07-15,35.486,37.0232,39.0466,35.8573,38.8609,DOWN,0
2013-07-16,35.4161,35.506,39.0427,35.9512,38.7286,UP,1
2013-07-17,35.5858,35.3063,39.0477,36.1688,38.5994,DOWN,0
2013-07-18,35.1067,35.9252,39.0473,35.7156,38.459,UP,1
2013-07-19,35.466,34.937,39.0511,35.4121,38.3249,DOWN,0
2013-07-22,34.7374,35.4561,39.0518,35.2624,38.1732,UP,1
2013-07-23,35.2065,34.6675,39.0532,35.2205,38.0252,DOWN,0
2013-07-24,33.8589,34.8571,39.0358,34.8751,37.8392,DOWN,0
2013-07-25,33.3099,33.2301,39.0151,34.5158,37.6293,UP,1
2013-07-26,33.4996,33.1402,38.9934,34.1225,37.4269,DOWN,0
2013-07-29,33.26,33.4197,38.972,33.827,37.2349,DOWN,0
2013-07-30,33.0604,33.4197,38.9534,33.3978,37.0212,UP,1
