ticker,GE US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2017-08-31,188.7897,187.7131,222.2974,187.9899,198.7606,UP,1
2017-09-01,193.3268,189.1742,222.0817,188.9896,198.3899,DOWN,0
2017-09-05,190.4046,192.7116,221.8517,189.4357,197.9577,UP,1
2017-09-06,191.635,191.4043,221.626,190.1739,197.544,DOWN,0
2017-09-07,184.714,188.4821,221.3703,189.774,197.0534,DOWN,0
2017-09-08,183.176,184.1757,221.0993,188.6513,196.552,DOWN,0
2017-09-11,182.407,183.0222,220.8124,186.4673,196.0444,UP,1
2017-09-12,183.8681,183.176,220.5267,185.16,195.5677,UP,1
2017-09-13,185.4061,184.0219,220.2449,183.9142,195.054,UP,1
2017-09-14,186.5596,185.3292,219.9761,184.2834,194.5787,DOWN,0
2017-09-15,184.0219,185.3292,219.7024,184.4525,194.2127,UP,1
2017-09-18,188.0976,184.2526,219.4601,185.5907,193.9528,DOWN,0
2017-09-19,186.0982,188.0976,219.1837,186.0367,193.6698,UP,1
2017-09-20,187.021,186.0982,218.9138,186.3597,193.3529,UP,1
2017-09-21,190.3277,187.0979,218.6692,187.1133,193.0715,UP,1
2017-09-22,191.2505,191.0198,218.427,188.559,192.7762,UP,1
2017-09-25,193.0961,191.635,218.1774,189.5587,192.5194,DOWN,0
2017-09-26,191.7119,193.4037,217.9237,190.6814,192.2287,DOWN,0
2017-09-27,187.4055,192.2502,217.6388,190.7583,191.8411,DOWN,0
2017-09-28,186.4058,187.5593,217.3458,189.974,191.4258,DOWN,0
2017-09-29,185.9444,186.252,217.0551,188.9127,191.0398,UP,1
2017-10-02,188.9435,186.252,216.7886,188.0822,190.8337,UP,1
2017-10-03,190.7122,189.2511,216.5402,187.8823,190.7368,DOWN,0
2017-10-04,188.2514,191.3274,216.2607,188.0515,190.5892,UP,1
2017-10-05,188.7128,187.5593,215.977,188.5129,190.4277,DOWN,0
2017-10-06,187.5593,187.7131,215.6747,188.8358,190.2123,DOWN,0
2017-10-09,180.1769,185.3292,215.3402,187.0825,189.8894,DOWN,0
2017-10-10,179.6386,182.2532,215.0149,184.8678,189.5433,DOWN,0
2017-10-11,177.4085,177.8699,214.6762,182.6992,189.1788,DOWN,0
2017-10-12,177.2547,177.2547,214.3359,180.4076,188.7989,DOWN,0
2017-10-13,176.7164,178.0237,214.0006,178.239,188.3714,UP,1
2017-10-16,179.6386,176.7933,213.6796,178.1313,187.9992,DOWN,0
2017-10-17,178.3313,178.562,213.3562,177.8699,187.6239,DOWN,0
2017-10-18,177.793,178.4082,213.0267,177.9468,187.2486,UP,1
2017-10-19,181.3304,177.9468,212.7145,178.7619,186.921,UP,1
2017-10-20,183.2529,170.2568,212.4188,180.0692,186.6949,DOWN,0
2017-10-23,171.641,180.2538,212.0616,178.4697,186.252,DOWN,0
2017-10-24,168.3343,170.103,211.6936,176.4703,185.7183,DOWN,0
2017-10-25,165.3352,167.9498,211.3141,173.9787,185.1585,DOWN,0
2017-10-26,163.951,165.8735,210.9238,170.5029,184.5771,DOWN,0
2017-10-27,159.8753,163.4896,210.5163,165.8273,183.9681,DOWN,0
2017-10-30,156.9531,158.568,210.0952,162.8897,183.3313,DOWN,0
2017-10-31,155.0306,155.7996,209.6681,160.229,182.6654,DOWN,0
2017-11-01,153.954,154.3385,209.237,157.9528,181.961,DOWN,0
2017-11-02,153.3388,154.1847,208.8037,155.8303,181.2766,UP,1
2017-11-03,154.8768,153.185,208.4042,154.8306,180.6367,DOWN,0
2017-11-06,154.7999,157.799,208.0343,154.4,179.9662,UP,1
2017-11-07,155.4151,155.1075,207.6579,154.4769,179.311,DOWN,0
2017-11-08,154.723,155.4151,207.2638,154.6307,178.6466,DOWN,0
2017-11-09,153.7233,154.1078,206.8666,154.7076,177.9868,UP,1
2017-11-10,157.5683,153.6464,206.5006,155.2459,177.3623,DOWN,0
2017-11-13,146.264,155.7996,206.0799,153.5387,176.4211,DOWN,0
2017-11-14,137.6511,144.4953,205.6262,149.9859,175.366,UP,1
2017-11-15,140.4195,134.652,205.1867,147.1252,174.3417,DOWN,0
2017-11-16,140.3426,142.1113,204.7472,144.4491,173.4543,DOWN,0
2017-11-17,140.035,141.0347,204.3054,140.9425,172.5915,DOWN,0
2017-11-20,138.2663,139.4198,203.8563,139.3429,171.7087,DOWN,0
2017-11-21,137.1128,138.0356,203.4053,139.2353,170.7735,UP,1
2017-11-22,139.5736,137.4204,202.9716,139.0661,169.8569,UP,1
2017-11-24,139.8812,141.3423,202.5333,138.9738,168.9233,DOWN,0
2017-11-27,139.3429,141.0347,202.0873,138.8354,168.0298,UP,1
2017-11-28,141.573,139.7274,201.6401,139.4967,167.0993,UP,1
2017-11-29,142.1113,141.8806,201.1864,140.4964,166.2195,DOWN,0
2017-11-30,140.6502,142.7265,200.7227,140.7118,165.2921,DOWN,0
2017-12-01,137.4973,140.5733,200.2393,140.235,164.2355,UP,1
2017-12-04,138.0356,138.4201,199.7618,139.9735,163.1712,DOWN,0
2017-12-05,136.5745,138.2663,199.2712,138.9738,162.0408,DOWN,0
2017-12-06,135.8055,136.4976,198.784,137.7127,160.9226,UP,1
2017-12-07,136.19,135.8055,198.3107,136.8206,159.8983,DOWN,0
2017-12-08,136.19,136.4207,197.8308,136.5592,158.894,DOWN,0
2017-12-11,135.7286,136.2669,197.3583,136.0978,157.8897,UP,1
2017-12-12,137.728,135.8055,196.9007,136.3285,156.8654,DOWN,0
2017-12-13,136.5745,137.8049,196.4228,136.4823,155.7826,DOWN,0
2017-12-14,135.6517,136.6514,195.9403,136.3746,154.7307,UP,1
2017-12-15,137.0359,136.7283,195.4673,136.5438,153.6971,DOWN,0
2017-12-18,136.5745,137.4204,194.9967,136.713,152.6774,DOWN,0
2017-12-19,135.2672,136.6514,194.5249,136.2208,151.7792,DOWN,0
2017-12-20,134.1906,135.5748,194.05,135.744,150.8703,UP,1
2017-12-21,134.3444,134.2675,193.5813,135.4826,150.009,UP,1
2017-12-22,134.5751,134.652,193.0899,134.9904,149.1554,DOWN,0
2017-12-26,134.0368,134.1906,192.612,134.4829,148.3018,DOWN,0
2017-12-27,133.6523,134.2675,192.1445,134.1599,147.3821,DOWN,0
2017-12-28,133.4985,133.4216,191.6677,134.0215,146.4854,UP,1
2017-12-29,134.1906,132.8064,191.1947,133.9907,145.6134,UP,1
2018-01-02,138.2663,135.1903,190.7372,134.7289,144.7521,UP,1
2018-01-03,139.5736,140.7271,190.2916,135.8363,143.8785,UP,1
2018-01-04,142.4958,141.3423,189.874,137.605,143.2956,UP,1
2018-01-05,142.5727,145.0336,189.4514,139.4198,142.7804,DOWN,0
2018-01-08,140.5733,143.5724,189.0154,140.6964,142.2851,UP,1
2018-01-09,142.7265,140.9578,188.5863,141.5884,141.8607,UP,1
2018-01-10,145.5642,142.9572,188.1821,142.7865,141.5744,UP,1
2018-01-11,146.264,147.8789,187.7746,143.5402,141.3606,DOWN,0
2018-01-12,144.2646,147.033,187.3547,143.8785,141.1453,DOWN,0
2018-01-16,140.035,140.8809,186.9064,143.7709,140.867,DOWN,0
2018-01-17,133.4216,135.7286,186.4277,141.9099,140.4686,DOWN,0
2018-01-18,128.9614,133.8061,185.9236,138.5893,139.9503,DOWN,0
2018-01-19,125.0395,128.0386,185.3945,134.3444,139.3551,DOWN,0
2018-01-22,124.3474,122.2711,184.8639,130.361,138.7337,UP,1
2018-01-23,129.8842,125.3471,184.3625,128.3309,138.237,DOWN,0
2018-01-24,126.4237,130.7301,183.8415,126.9313,137.691,DOWN,0
2018-01-25,124.4243,126.8851,183.3098,126.0239,137.0281,DOWN,0
2018-01-26,124.0398,124.0398,182.7749,125.8239,136.5836,UP,1
2018-01-29,125.1933,123.1939,182.2562,125.9931,136.3345,DOWN,0
2018-01-30,122.6556,123.8091,181.7329,124.5474,135.9792,UP,1
2018-01-31,124.3474,123.5015,181.215,124.1321,135.6593,DOWN,0
2018-02-01,123.1939,123.5015,180.6836,123.886,135.3225,DOWN,0
2018-02-02,120.2717,122.1942,180.1315,123.1324,134.9626,DOWN,0
2018-02-05,114.658,119.0413,179.5409,121.0253,134.5135,UP,1
2018-02-06,117.4264,113.9659,178.9918,119.9795,134.0705,DOWN,0
2018-02-07,117.2726,117.734,178.442,118.5645,133.6183,DOWN,0
2018-02-08,111.1206,116.8112,177.8652,116.1499,133.0539,UP,1
2018-02-09,114.8887,112.9662,177.3146,115.0733,132.5202,DOWN,0
2018-02-12,113.9659,115.8115,176.7663,114.9349,131.9573,DOWN,0
2018-02-13,112.8124,113.3507,176.2157,114.0121,131.4006,UP,1
2018-02-14,114.5811,112.9662,175.6759,113.4738,130.9422,DOWN,0
2018-02-15,114.1966,114.8118,175.1322,114.089,130.4654,UP,1
2018-02-16,115.7346,114.1966,174.587,114.2581,130.0486,DOWN,0
2018-02-20,113.3507,114.7349,174.031,114.1351,129.5996,DOWN,0
2018-02-21,111.4282,113.12,173.4646,113.8583,129.1043,UP,1
2018-02-22,112.4279,111.7358,172.909,113.4276,128.6291,DOWN,0
2018-02-23,111.4282,111.7358,172.3538,112.8739,128.1431,UP,1
2018-02-26,112.6586,110.6592,171.8136,112.2587,127.6417,DOWN,0
2018-02-27,111.5051,112.8124,171.2611,111.8896,127.1403,DOWN,0
2018-02-28,108.506,112.2741,170.7166,111.3052,126.5974,DOWN,0
2018-03-01,107.8139,108.8905,170.1721,110.3824,126.0129,UP,1
2018-03-02,108.5829,107.5832,169.6369,109.8133,125.4531,UP,1
2018-03-05,110.8899,109.0443,169.1375,109.4596,124.9656,UP,1
2018-03-06,112.5817,112.2741,168.6438,109.6749,124.5334,DOWN,0
2018-03-07,111.582,111.3513,168.1231,110.2901,124.0781,UP,1
2018-03-08,111.6589,111.5051,167.5979,111.0591,123.6198,UP,1
2018-03-09,114.8887,112.4279,167.085,112.3203,123.2368,UP,1
2018-03-12,116.1191,115.5039,166.5955,113.3661,122.8862,DOWN,0
2018-03-13,110.9668,112.9662,166.0934,113.0431,122.4355,DOWN,0
2018-03-14,109.7364,111.1975,165.5866,112.674,121.9465,UP,1
2018-03-15,110.4285,110.044,165.0867,112.4279,121.3897,DOWN,0
2018-03-16,110.044,110.2747,164.5842,111.459,120.7991,DOWN,0
2018-03-19,108.1984,109.6595,164.0594,109.8748,120.1132,DOWN,0
2018-03-20,104.8917,108.4291,163.5118,108.6598,119.3595,UP,1
2018-03-21,106.7373,105.0455,162.9697,108.06,118.6828,DOWN,0
2018-03-22,102.6616,105.7376,162.4091,106.5066,117.8815,DOWN,0
2018-03-23,100.5084,103.0461,161.8473,104.5995,116.9804,DOWN,0
2018-03-26,99.1242,101.7388,161.2821,102.7846,116.0376,UP,1
2018-03-27,103.3537,99.3549,160.7246,102.477,115.2194,UP,1
2018-03-28,105.1993,103.9689,160.1378,102.1694,114.5227,DOWN,0
2018-03-29,103.6613,104.4303,159.5622,102.3694,113.9275,DOWN,0
2018-04-02,100.8929,103.4306,158.9636,102.4463,113.3661,UP,1
2018-04-03,100.9698,100.8929,158.3557,102.8154,112.8847,UP,1
2018-04-04,102.1233,98.5859,157.7512,102.5693,112.4402,UP,1
2018-04-05,103.2768,102.2002,157.1603,102.1848,111.9081,DOWN,0
2018-04-06,100.4315,102.4309,156.5808,101.5389,111.3882,DOWN,0
2018-04-09,98.6628,100.7391,156.006,101.0928,110.873,UP,1
2018-04-10,100.3546,100.047,155.4485,100.9698,110.3993,DOWN,0
2018-04-11,99.7394,99.278,154.8871,100.493,109.8902,UP,1
2018-04-12,101.3543,100.2008,154.3323,100.1085,109.4642,UP,1
2018-04-13,103.7382,103.123,153.8047,100.7699,109.052,DOWN,0
2018-04-16,102.5078,103.8151,153.276,101.5389,108.6383,UP,1
2018-04-17,106.0452,102.8923,152.7674,102.677,108.3538,DOWN,0
2018-04-18,105.0455,106.7373,152.254,103.7382,108.1615,UP,1
2018-04-19,107.5832,105.1224,151.7365,104.984,107.9646,UP,1
2018-04-20,111.8127,114.8887,151.244,106.5989,107.8554,DOWN,0
2018-04-23,111.6589,113.4276,150.7906,108.4291,107.8662,UP,1
2018-04-24,112.8893,112.7355,150.3496,109.7979,107.8262,DOWN,0
2018-04-25,108.0446,113.1969,149.8886,110.3978,107.7078,UP,1
2018-04-26,110.5823,108.506,149.4272,110.9976,107.6632,DOWN,0
2018-04-27,110.5823,109.3519,148.9581,110.7515,107.5832,DOWN,0
2018-04-30,108.1984,110.5054,148.469,110.0594,107.4632,DOWN,0
2018-05-01,108.0446,108.2753,147.9796,109.0905,107.3094,UP,1
2018-05-02,109.0443,108.4291,147.4935,109.2904,107.2233,DOWN,0
