ticker,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-09-12,50.87,51.83,51.768,52.9314,50.8883,DOWN,0
2014-09-15,50.8,50.73,51.484,52.8042,50.9263,UP,1
2014-09-16,51.1,50.72,51.356,52.7054,50.9656,DOWN,0
2014-09-17,51.06,51.16,51.178,52.6164,51.0047,DOWN,0
2014-09-18,50.62,51.23,50.89,52.5166,51.0421,DOWN,0
2014-09-19,49.86,50.88,50.688,52.4018,51.0769,DOWN,0
2014-09-22,49.2,49.66,50.368,52.2652,51.1138,DOWN,0
2014-09-23,48.92,49.05,49.932,52.124,51.1531,UP,1
2014-09-24,49.0,48.9,49.52,51.9918,51.1946,DOWN,0
2014-09-25,48.21,48.77,49.038,51.8474,51.2298,UP,1
2014-09-26,48.4,48.25,48.746,51.73,51.259,DOWN,0
2014-09-29,48.0,48.02,48.506,51.5922,51.2867,DOWN,0
2014-09-30,47.64,47.9,48.25,51.4498,51.31,UP,1
2014-10-01,47.77,47.44,48.004,51.3072,51.3326,UP,1
2014-10-02,47.87,47.68,47.936,51.1756,51.3535,UP,1
2014-10-03,49.14,48.83,48.084,51.059,51.3805,DOWN,0
2014-10-06,48.59,49.2,48.202,50.9288,51.4021,DOWN,0
2014-10-07,46.59,48.37,47.992,50.7892,51.4128,UP,1
2014-10-08,47.24,46.54,47.886,50.685,51.4277,DOWN,0
2014-10-09,46.7,47.39,47.652,50.5458,51.4379,DOWN,0
2014-10-10,46.25,46.58,47.074,50.4422,51.4463,DOWN,0
2014-10-13,45.32,46.22,46.42,50.3414,51.4494,DOWN,0
2014-10-14,45.06,45.51,46.114,50.2402,51.4515,UP,1
2014-10-15,45.72,44.56,45.81,50.1466,51.4595,UP,1
2014-10-16,46.33,44.63,45.736,50.0708,51.4702,UP,1
2014-10-17,46.75,46.73,45.836,50.0084,51.4857,UP,1
2014-10-20,46.9,46.58,46.152,49.9342,51.5004,UP,1
2014-10-21,48.23,47.17,46.786,49.8916,51.5231,DOWN,0
2014-10-22,47.1,48.24,47.062,49.8144,51.5393,UP,1
2014-10-23,48.45,47.7,47.486,49.7386,51.5621,UP,1
2014-10-24,49.12,48.49,47.96,49.6806,51.5871,UP,1
2014-10-27,49.15,48.87,48.41,49.6184,51.6042,UP,1
2014-10-28,50.2,49.42,48.804,49.5696,51.62,UP,1
2014-10-29,50.29,50.51,49.442,49.5232,51.6324,UP,1
2014-10-30,52.64,50.18,50.28,49.5256,51.6581,UP,1
2014-10-31,53.09,53.62,51.074,49.5446,51.6866,UP,1
2014-11-03,53.43,53.16,51.93,49.5738,51.7137,DOWN,0
2014-11-04,53.12,53.39,52.514,49.5868,51.7385,DOWN,0
2014-11-05,53.05,53.43,53.066,49.6002,51.7612,UP,1
2014-11-06,53.42,53.33,53.222,49.6284,51.7897,DOWN,0
2014-11-07,52.96,53.44,53.196,49.6566,51.8203,DOWN,0
2014-11-10,52.68,53.11,53.046,49.6816,51.8507,DOWN,0
2014-11-11,52.52,52.81,52.926,49.6866,51.8746,DOWN,0
2014-11-12,52.5,52.31,52.816,49.6928,51.8982,DOWN,0
2014-11-13,52.12,52.57,52.556,49.6886,51.9117,UP,1
2014-11-14,52.27,52.0,52.418,49.6844,51.9263,UP,1
2014-11-17,52.84,52.19,52.45,49.6968,51.9533,UP,1
2014-11-18,53.87,52.91,52.72,49.7394,51.9824,UP,1
2014-11-19,54.0,53.94,53.02,49.7804,52.0144,UP,1
2014-11-20,54.09,53.62,53.414,49.821,52.0387,UP,1
2014-11-21,54.2,54.8,53.8,49.8876,52.06,DOWN,0
2014-11-24,53.95,54.25,54.022,49.9506,52.0805,DOWN,0
2014-11-25,53.57,53.94,53.962,50.0,52.0989,DOWN,0
2014-11-26,53.06,53.6,53.774,50.04,52.1142,UP,1
2014-11-28,53.85,53.09,53.726,50.1046,52.1329,DOWN,0
2014-12-01,53.7,53.79,53.626,50.1814,52.1532,UP,1
2014-12-02,54.36,53.79,53.708,50.2846,52.1745,UP,1
2014-12-03,54.69,54.56,53.932,50.4,52.2021,DOWN,0
2014-12-04,54.59,54.72,54.238,50.5118,52.2175,UP,1
2014-12-05,55.55,54.81,54.578,50.6586,52.2334,DOWN,0
2014-12-08,54.91,55.56,54.82,50.7888,52.2436,UP,1
2014-12-09,55.0,54.03,54.948,50.9288,52.2458,DOWN,0
2014-12-10,54.15,54.69,54.84,51.059,52.2433,UP,1
2014-12-11,54.19,54.07,54.76,51.1874,52.2375,DOWN,0
2014-12-12,53.81,53.69,54.412,51.3062,52.2348,DOWN,0
2014-12-15,53.7,54.0,54.17,51.3974,52.2358,DOWN,0
2014-12-16,53.43,53.6,53.856,51.4942,52.233,UP,1
2014-12-17,54.11,53.54,53.848,51.6446,52.2338,UP,1
2014-12-18,54.95,54.81,54.0,51.7988,52.2426,UP,1
2014-12-19,54.99,55.38,54.236,51.9646,52.2506,UP,1
2014-12-22,55.61,54.98,54.618,52.1518,52.2622,UP,1
2014-12-23,55.68,55.61,55.068,52.359,52.2681,UP,1
2014-12-24,55.73,55.81,55.392,52.5724,52.2753,DOWN,0
2014-12-26,55.65,55.77,55.532,52.771,52.2856,UP,1
2014-12-29,55.91,55.54,55.716,52.9626,52.2986,DOWN,0
2014-12-30,55.66,55.69,55.726,53.1408,52.3121,DOWN,0
2014-12-31,55.46,55.87,55.682,53.312,52.323,DOWN,0
2015-01-02,55.05,55.49,55.546,53.4484,52.3319,DOWN,0
2015-01-05,54.94,54.73,55.404,53.6052,52.3357,DOWN,0
2015-01-06,54.85,55.0,55.192,53.7332,52.3409,UP,1
2015-01-07,55.6,55.09,55.18,53.8628,52.3516,UP,1
2015-01-08,56.35,55.71,55.358,54.0068,52.3673,DOWN,0
2015-01-09,55.88,56.11,55.524,54.1204,52.3865,DOWN,0
2015-01-12,54.99,55.94,55.534,54.2144,52.4042,UP,1
2015-01-13,55.1,55.3,55.584,54.2636,52.4189,UP,1
2015-01-14,55.33,54.57,55.53,54.3084,52.4347,DOWN,0
2015-01-15,53.8,55.55,55.02,54.3158,52.4341,DOWN,0
2015-01-16,53.37,53.84,54.518,54.3208,52.4276,DOWN,0
2015-01-20,52.79,53.44,54.078,54.3156,52.4168,UP,1
2015-01-21,52.92,52.58,53.642,54.3056,52.4127,UP,1
2015-01-22,54.36,53.12,53.448,54.3336,52.4264,UP,1
2015-01-23,54.48,54.31,53.584,54.3696,52.4418,DOWN,0
2015-01-26,53.91,54.76,53.692,54.3974,52.4538,DOWN,0
2015-01-27,53.8,53.2,53.894,54.4234,52.4694,UP,1
2015-01-28,54.35,54.3,54.18,54.468,52.4911,UP,1
2015-01-29,54.79,54.15,54.266,54.5184,52.5162,DOWN,0
2015-01-30,54.01,54.52,54.172,54.5418,52.5365,UP,1
2015-02-02,54.49,54.3,54.288,54.5542,52.5578,UP,1
2015-02-03,55.05,54.94,54.538,54.5752,52.5823,UP,1
2015-02-04,55.63,55.03,54.794,54.606,52.6073,UP,1
