ticker,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2009-03-13,5.62,5.46,4.908,6.2162,9.6149,DOWN,0
2009-03-16,5.55,5.62,5.16,6.1616,9.5682,UP,1
2009-03-17,6.16,5.54,5.49,6.1188,9.5277,UP,1
2009-03-18,6.45,6.11,5.846,6.0728,9.4885,DOWN,0
2009-03-19,6.28,6.56,6.012,6.0186,9.45,DOWN,0
2009-03-20,6.27,6.38,6.142,5.9684,9.4147,UP,1
2009-03-23,6.48,6.42,6.328,5.9586,9.3755,DOWN,0
2009-03-24,6.26,6.5,6.348,5.9456,9.3376,UP,1
2009-03-25,6.47,6.37,6.352,5.9394,9.3032,UP,1
2009-03-26,6.97,6.59,6.49,5.9428,9.268,DOWN,0
2009-03-27,6.95,6.89,6.626,5.9524,9.2373,DOWN,0
2009-03-30,6.62,6.84,6.654,5.9626,9.2075,DOWN,0
2009-03-31,6.62,6.68,6.726,5.974,9.1759,UP,1
2009-04-01,6.72,6.49,6.776,5.9896,9.1422,DOWN,0
2009-04-02,6.63,6.75,6.708,5.9922,9.1101,UP,1
2009-04-03,7.02,6.65,6.722,6.0018,9.0841,DOWN,0
2009-04-06,6.93,6.99,6.784,6.0104,9.0576,DOWN,0
2009-04-07,6.58,6.85,6.776,6.0118,9.0272,UP,1
2009-04-08,6.8,6.65,6.792,6.016,9.0033,UP,1
2009-04-09,7.13,6.97,6.892,6.0208,8.9809,UP,1
2009-04-13,7.94,7.12,7.076,6.051,8.9641,DOWN,0
2009-04-14,7.47,7.8,7.184,6.0838,8.949,UP,1
2009-04-15,7.57,7.44,7.382,6.1122,8.9305,UP,1
2009-04-16,7.69,7.68,7.56,6.144,8.9128,UP,1
2009-04-17,8.03,7.73,7.74,6.1862,8.8964,DOWN,0
2009-04-20,7.68,7.89,7.688,6.2164,8.8809,UP,1
2009-04-21,8.21,7.67,7.836,6.2456,8.8715,UP,1
2009-04-22,8.55,8.1,8.032,6.2828,8.8662,DOWN,0
2009-04-23,8.36,8.58,8.166,6.3198,8.8577,DOWN,0
2009-04-24,8.35,8.47,8.23,6.3632,8.8507,DOWN,0
2009-04-27,8.19,8.28,8.332,6.403,8.8429,UP,1
2009-04-28,8.27,8.13,8.344,6.4424,8.8371,UP,1
2009-04-29,8.56,8.32,8.346,6.4944,8.832,UP,1
2009-04-30,8.75,8.66,8.424,6.5426,8.8278,DOWN,0
2009-05-01,8.56,8.75,8.466,6.596,8.8206,UP,1
2009-05-04,8.85,8.6,8.598,6.6628,8.8131,UP,1
2009-05-05,8.92,8.81,8.728,6.7296,8.8083,DOWN,0
2009-05-06,8.84,8.97,8.784,6.7886,8.8007,DOWN,0
2009-05-07,8.36,8.89,8.706,6.8424,8.7888,UP,1
2009-05-08,8.84,8.45,8.762,6.9118,8.7756,UP,1
2009-05-11,8.93,8.67,8.778,6.9784,8.7629,DOWN,0
2009-05-12,8.72,8.96,8.738,7.0434,8.7496,DOWN,0
2009-05-13,8.36,8.56,8.642,7.1074,8.7384,UP,1
2009-05-14,8.51,8.37,8.672,7.1792,8.7257,UP,1
2009-05-15,8.52,8.56,8.608,7.2572,8.7137,UP,1
2009-05-18,9.02,8.6,8.626,7.3496,8.7116,DOWN,0
2009-05-19,8.9,8.92,8.662,7.4418,8.7089,UP,1
2009-05-20,9.02,8.89,8.794,7.532,8.7071,DOWN,0
2009-05-21,8.87,8.87,8.866,7.616,8.7039,DOWN,0
2009-05-22,8.58,8.9,8.878,7.6786,8.6975,UP,1
2009-05-26,8.94,8.51,8.862,7.745,8.6911,DOWN,0
2009-05-27,8.65,8.86,8.812,7.807,8.6788,DOWN,0
2009-05-28,8.4,8.74,8.688,7.8518,8.6629,UP,1
2009-05-29,8.56,8.45,8.626,7.894,8.6469,UP,1
2009-06-01,9.04,8.65,8.718,7.9492,8.6325,UP,1
2009-06-02,9.65,9.04,8.86,8.0168,8.6209,UP,1
2009-06-03,9.7,9.49,9.07,8.0812,8.6085,DOWN,0
2009-06-04,9.6,9.72,9.31,8.148,8.5954,UP,1
2009-06-05,11.52,10.5,9.902,8.249,8.5936,UP,1
2009-06-08,11.56,11.55,10.406,8.3408,8.5913,DOWN,0
2009-06-09,10.34,11.26,10.544,8.4086,8.585,DOWN,0
2009-06-10,10.18,10.48,10.64,8.4798,8.5758,DOWN,0
2009-06-11,9.8,10.18,10.68,8.5434,8.5676,UP,1
2009-06-12,10.46,9.95,10.468,8.6182,8.5601,DOWN,0
2009-06-15,9.77,10.39,10.11,8.681,8.553,UP,1
2009-06-16,9.78,9.94,9.998,8.7362,8.5446,DOWN,0
2009-06-17,9.75,9.75,9.912,8.7926,8.539,DOWN,0
2009-06-18,9.31,9.71,9.814,8.8472,8.5282,UP,1
