ticker,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-11-07,48.125,46.1875,39.4492,47.4375,48.7366,UP,1
2000-11-08,48.1875,48.0,39.5089,47.475,48.7541,DOWN,0
2000-11-09,47.875,48.25,39.568,47.325,48.6691,UP,1
2000-11-10,48.3125,47.875,39.6305,47.725,48.555,DOWN,0
2000-11-13,46.375,48.3125,39.6777,47.775,48.445,UP,1
2000-11-14,48.3125,47.375,39.7308,47.8125,48.3913,DOWN,0
2000-11-15,47.25,48.0625,39.7749,47.625,48.2763,UP,1
2000-11-16,47.75,47.375,39.8261,47.6,48.1738,DOWN,0
2000-11-17,46.8125,48.125,39.8792,47.3,48.01,DOWN,0
2000-11-20,46.1875,46.875,39.9389,47.2625,47.8113,DOWN,0
2000-11-21,44.875,45.75,39.9871,46.575,47.6175,DOWN,0
2000-11-22,42.6875,44.625,40.0327,45.6625,47.4025,UP,1
2000-11-24,43.6875,42.6875,40.0858,44.85,47.2,UP,1
2000-11-27,44.875,43.75,40.1489,44.4625,47.0525,UP,1
2000-11-28,45.3125,44.625,40.2142,44.2875,46.96,UP,1
2000-11-29,45.6875,45.5,40.2796,44.45,46.8363,DOWN,0
2000-11-30,45.1875,45.0,40.348,44.95,46.7188,UP,1
2000-12-01,46.6875,46.0,40.4267,45.55,46.6488,UP,1
2000-12-04,47.3125,46.9375,40.5114,46.0375,46.5513,UP,1
2000-12-05,48.5,47.3125,40.6052,46.675,46.4875,DOWN,0
2000-12-06,48.4375,48.25,40.6989,47.225,46.4425,UP,1
2000-12-07,49.0625,48.6875,40.7964,48.0,46.4225,UP,1
2000-12-08,49.1875,48.8125,40.9005,48.5,46.4288,UP,1
2000-12-11,49.9375,49.6875,41.0089,49.025,46.465,DOWN,0
2000-12-12,49.5,49.8125,41.1183,49.225,46.4975,DOWN,0
2000-12-13,48.1875,49.0,41.2167,49.175,46.5112,DOWN,0
2000-12-14,47.1875,47.0,41.3171,48.8,46.515,DOWN,0
2000-12-15,46.8125,46.0,41.4158,48.325,46.4838,UP,1
2000-12-18,48.625,47.375,41.5264,48.0625,46.5238,DOWN,0
2000-12-19,46.9375,48.125,41.6383,47.55,46.54,DOWN,0
2000-12-20,45.9375,47.4375,41.7471,47.1,46.5575,UP,1
2000-12-21,46.25,46.1875,41.8533,46.9125,46.555,UP,1
2000-12-22,47.1875,46.4375,41.9639,46.9875,46.6588,UP,1
