ticker,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-18,40.509,40.874,30.891,39.9902,37.6127,DOWN,0
2000-08-21,39.991,40.528,30.9945,39.8328,37.7969,DOWN,0
2000-08-22,39.108,40.298,31.0928,39.7225,37.9961,UP,1
2000-08-23,39.166,38.993,31.1889,39.8338,38.1442,UP,1
2000-08-24,41.872,39.339,31.2987,40.1293,38.3826,UP,1
2000-08-25,42.793,41.478,31.4174,40.586,38.6374,UP,1
2000-08-28,42.908,42.754,31.5388,41.1694,38.8535,DOWN,0
2000-08-29,42.332,42.639,31.6594,41.8141,38.9617,DOWN,0
2000-08-30,41.737,42.217,31.7795,42.3284,39.0784,UP,1
2000-08-31,42.87,41.872,31.8994,42.528,39.1828,UP,1
2000-09-01,46.343,43.656,32.0329,43.238,39.4434,DOWN,0
2000-09-05,42.85,46.055,32.1512,43.2265,39.6034,DOWN,0
2000-09-06,41.066,43.426,32.2606,42.9732,39.7005,UP,1
2000-09-07,43.292,41.296,32.3738,43.2841,39.8582,UP,1
2000-09-08,45.115,43.061,32.4979,43.7331,39.983,DOWN,0
2000-09-11,42.217,45.0,32.605,42.908,40.0655,DOWN,0
2000-09-12,41.757,42.39,32.7071,42.6892,40.1802,UP,1
2000-09-13,42.294,41.757,32.8159,42.9348,40.2954,UP,1
2000-09-14,43.522,43.407,32.9362,42.9809,40.366,UP,1
2000-09-15,44.942,44.155,33.0658,42.9463,40.4474,DOWN,0
2000-09-18,42.774,44.501,33.1836,43.0576,40.5038,UP,1
2000-09-19,45.038,43.138,33.3114,43.7139,40.6093,UP,1
2000-09-20,47.034,45.268,33.4595,44.6619,40.7452,UP,1
2000-09-21,51.351,46.362,33.6291,46.2278,41.0046,UP,1
2000-09-22,52.33,49.739,33.7996,47.7054,41.3489,DOWN,0
2000-09-25,51.658,52.157,33.9708,49.4823,41.6575,UP,1
2000-09-26,52.272,52.042,34.1409,50.9292,41.9242,UP,1
2000-09-27,52.791,52.1,34.3075,52.0806,42.217,UP,1
2000-09-28,53.904,52.887,34.4863,52.591,42.5613,DOWN,0
2000-09-29,53.841,54.038,34.6615,52.8933,42.9005,DOWN,0
2000-10-02,48.204,54.115,34.8115,52.2024,43.1319,UP,1
2000-10-03,48.838,48.415,34.9621,51.5155,43.3833,UP,1
2000-10-04,49.452,48.128,35.1122,50.8477,43.6634,UP,1
2000-10-05,49.509,49.317,35.249,49.9688,43.8826,DOWN,0
2000-10-06,49.471,50.123,35.3642,49.0947,44.0887,UP,1
2000-10-09,50.584,49.413,35.4708,49.5706,44.388,UP,1
2000-10-10,51.889,50.507,35.58,50.1808,44.6717,DOWN,0
2000-10-11,50.435,52.982,35.6825,50.3775,44.8898,DOWN,0
2000-10-12,49.087,51.275,35.7809,50.2931,45.046,UP,1
2000-10-13,49.893,48.838,35.8861,50.3775,45.2095,UP,1
2000-10-16,51.467,49.797,35.9926,50.5541,45.3975,UP,1
2000-10-17,55.899,52.042,36.129,51.3562,45.6389,UP,1
2000-10-18,57.684,54.22,36.2839,52.806,45.9567,UP,1
2000-10-19,57.914,57.089,36.4307,54.5714,46.286,UP,1
2000-10-20,58.413,57.761,36.5737,56.2754,46.5923,UP,1
2000-10-23,60.452,59.641,36.7097,58.0725,46.9662,UP,1
2000-10-24,61.637,59.948,36.8344,59.2201,47.3834,DOWN,0
2000-10-25,57.415,61.1,36.9524,59.1663,47.7385,UP,1
2000-10-26,58.394,59.027,37.0822,59.2623,48.1341,DOWN,0
2000-10-27,56.763,58.643,37.1878,58.9322,48.4615,DOWN,0
2000-10-30,56.724,56.993,37.2941,58.1867,48.7858,UP,1
2000-10-31,60.217,56.801,37.4308,57.9027,49.1903,UP,1
2000-11-01,63.287,60.169,37.5615,59.0771,49.6739,UP,1
2000-11-02,66.953,64.367,37.7079,60.7888,50.2297,DOWN,0
2000-11-03,65.628,67.624,37.8092,62.5619,50.7048,DOWN,0
2000-11-06,64.189,65.091,37.9194,64.0549,51.1327,UP,1
2000-11-07,64.515,64.554,38.0334,64.9146,51.5649,UP,1
2000-11-08,67.624,65.744,38.1514,65.782,52.0707,DOWN,0
2000-11-09,64.304,65.974,38.2729,65.2523,52.522,DOWN,0
2000-11-10,61.311,62.942,38.3826,64.3888,52.8909,DOWN,0
2000-11-13,52.042,59.104,38.4491,61.9594,53.0049,UP,1
2000-11-14,52.464,51.582,38.5073,59.5492,53.1971,UP,1
2000-11-15,55.823,52.503,38.6237,57.1889,53.4923,DOWN,0
2000-11-16,53.865,54.997,38.7347,55.101,53.7037,DOWN,0
2000-11-17,52.349,53.731,38.8284,53.3087,53.8484,DOWN,0
2000-11-20,46.803,50.776,38.8861,52.261,53.9402,UP,1
2000-11-21,49.567,48.291,38.9346,51.6814,54.0964,UP,1
2000-11-22,51.639,48.511,39.004,50.8448,54.2833,UP,1
2000-11-24,54.345,52.656,39.0958,50.9407,54.4997,UP,1
2000-11-27,59.737,55.65,39.2121,52.4183,54.7956,DOWN,0
2000-11-28,57.914,58.643,39.3193,54.6405,55.0984,DOWN,0
2000-11-29,57.032,57.722,39.4258,56.1334,55.3383,DOWN,0
2000-11-30,53.443,56.59,39.5059,56.4942,55.4665,UP,1
2000-12-01,54.959,54.364,39.5786,56.617,55.5386,DOWN,0
2000-12-04,53.232,56.494,39.6423,55.316,55.5567,UP,1
2000-12-05,57.991,54.594,39.7406,55.3313,55.6833,UP,1
2000-12-06,60.946,58.01,39.832,56.1142,55.8568,UP,1
2000-12-07,62.347,60.793,39.9307,57.895,56.0479,UP,1
