ticker,ICE US Equity,ICE US Equity,ICE US Equity,ICE US Equity,ICE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-03-30,24.442,24.776,24.4372,27.6402,18.856,UP,1
2007-04-02,25.574,24.708,24.718,27.644,18.9368,DOWN,0
2007-04-03,24.73,25.47,24.7464,27.6422,19.0115,UP,1
2007-04-04,25.178,24.678,24.9036,27.6278,19.0868,UP,1
2007-04-05,25.776,25.182,25.14,27.5977,19.1655,DOWN,0
2007-04-09,25.7,25.998,25.3916,27.5847,19.2444,DOWN,0
2007-04-10,25.59,25.86,25.3948,27.5558,19.3186,DOWN,0
2007-04-11,25.39,25.662,25.5268,27.5441,19.3925,DOWN,0
2007-04-12,25.332,25.2,25.5576,27.525,19.4648,UP,1
2007-04-13,25.958,25.418,25.594,27.522,19.5398,UP,1
2007-04-16,26.002,26.084,25.6544,27.4998,19.6163,UP,1
2007-04-17,26.236,26.118,25.7836,27.4546,19.6954,DOWN,0
2007-04-18,26.18,26.326,25.9416,27.4038,19.7709,DOWN,0
2007-04-19,25.94,25.95,26.0632,27.3512,19.8427,UP,1
2007-04-20,26.766,26.28,26.2248,27.2943,19.9172,DOWN,0
2007-04-23,26.47,26.716,26.3184,27.2155,19.9916,DOWN,0
2007-04-24,26.032,26.658,26.2776,27.1387,20.0641,UP,1
2007-04-25,26.102,26.27,26.262,27.0865,20.1398,DOWN,0
2007-04-26,25.834,26.2,26.2408,26.9997,20.2161,DOWN,0
2007-04-27,25.352,25.86,25.958,26.9002,20.2874,UP,1
2007-04-30,25.4,26.3,25.744,26.7879,20.3559,DOWN,0
2007-05-01,24.604,25.658,25.4584,26.6467,20.4191,UP,1
2007-05-02,25.452,25.2,25.3284,26.5054,20.4868,UP,1
2007-05-03,26.95,25.98,25.5516,26.3889,20.5634,UP,1
2007-05-04,27.68,27.194,26.0172,26.3002,20.6455,DOWN,0
2007-05-07,27.428,27.696,26.4228,26.201,20.7239,DOWN,0
2007-05-08,26.94,27.232,26.89,26.111,20.8006,UP,1
2007-05-09,27.51,26.8,27.3016,26.0828,20.8801,DOWN,0
2007-05-10,26.97,27.51,27.3056,26.0192,20.9542,UP,1
2007-05-11,28.11,27.552,27.3916,25.979,21.0346,DOWN,0
2007-05-14,27.76,28.004,27.458,25.9799,21.1162,DOWN,0
2007-05-15,27.464,27.702,27.5628,25.9808,21.1965,UP,1
2007-05-16,27.562,27.6,27.5732,25.9623,21.2754,UP,1
2007-05-17,27.96,27.522,27.7712,26.0051,21.3556,DOWN,0
2007-05-18,27.836,28.066,27.7164,26.0364,21.4356,UP,1
2007-05-21,29.216,27.84,28.0076,26.0967,21.5223,UP,1
2007-05-22,30.28,29.498,28.5708,26.1645,21.6151,DOWN,0
2007-05-23,29.694,30.67,28.9972,26.2423,21.7041,DOWN,0
2007-05-24,28.432,29.6,29.0916,26.2832,21.7875,UP,1
2007-05-25,28.998,28.82,29.324,26.3508,21.8728,UP,1
2007-05-29,29.55,28.998,29.3908,26.4363,21.9608,UP,1
2007-05-30,29.742,29.4,29.2832,26.5192,22.048,DOWN,0
2007-05-31,28.988,29.77,29.142,26.5794,22.1327,DOWN,0
2007-06-01,28.594,29.244,29.1744,26.6322,22.2156,UP,1
2007-06-04,29.934,28.432,29.3616,26.7219,22.3044,DOWN,0
2007-06-05,29.752,29.934,29.402,26.8227,22.3906,UP,1
2007-06-06,30.598,29.402,29.5732,26.9512,22.4798,DOWN,0
2007-06-07,29.342,30.75,29.644,27.0463,22.5621,DOWN,0
2007-06-08,29.126,29.046,29.7504,27.141,22.6431,UP,1
2007-06-11,29.838,29.4,29.7312,27.2459,22.7299,DOWN,0
2007-06-12,29.796,29.842,29.74,27.353,22.8163,DOWN,0
2007-06-13,29.556,29.862,29.5316,27.4326,22.9033,UP,1
2007-06-14,30.978,29.692,29.8588,27.5576,22.9961,UP,1
2007-06-15,31.396,31.548,30.3128,27.6819,23.0917,DOWN,0
2007-06-18,30.886,31.45,30.5224,27.7841,23.1842,UP,1
2007-06-19,31.26,31.002,30.8152,27.8953,23.2769,UP,1
2007-06-20,31.62,31.3,31.228,28.0159,23.3717,UP,1
2007-06-21,31.71,31.65,31.3744,28.1423,23.4666,DOWN,0
2007-06-22,31.104,31.92,31.316,28.2578,23.5569,DOWN,0
2007-06-25,29.848,31.15,31.1084,28.3356,23.641,DOWN,0
2007-06-26,29.112,30.188,30.6788,28.3978,23.7224,UP,1
2007-06-27,30.21,28.9,30.3968,28.4772,23.8094,DOWN,0
2007-06-28,29.758,30.33,30.0064,28.5488,23.8948,DOWN,0
2007-06-29,29.57,29.78,29.6996,28.6214,23.9794,DOWN,0
2007-07-02,29.002,29.838,29.5304,28.6661,24.0596,UP,1
