ticker,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2003-10-30,17.2664,17.2664,16.4792,15.0174,15.0392,UP,1
2003-10-31,17.2921,17.2921,16.8194,15.0983,15.0007,UP,1
2003-11-03,18.348,18.348,17.3792,15.1916,14.978,DOWN,0
2003-11-04,18.0397,18.0397,17.6252,15.2724,14.9607,DOWN,0
2003-11-05,17.7843,17.7843,17.7461,15.335,14.9209,UP,1
2003-11-06,18.6471,18.6471,18.0223,15.4012,14.9004,DOWN,0
2003-11-10,18.3,18.3,18.2238,15.4695,14.8744,DOWN,0
2003-11-11,17.6,17.6,18.0742,15.5274,14.8449,UP,1
2003-11-12,18.3405,18.3405,18.1344,15.5821,14.8204,UP,1
2003-11-13,18.4714,18.4714,18.2718,15.6345,14.7946,DOWN,0
2003-11-14,18.0785,18.0785,18.1581,15.6799,14.7669,DOWN,0
2003-11-17,17.25,17.25,17.9481,15.7142,14.7412,UP,1
2003-11-18,17.522,17.522,17.9325,15.7633,14.717,DOWN,0
2003-11-19,17.4914,17.4914,17.7627,15.8141,14.6869,UP,1
2003-11-20,17.6222,17.6222,17.5928,15.8498,14.6613,DOWN,0
2003-11-21,17.6187,17.6187,17.5009,15.878,14.6219,UP,1
2003-11-24,18.5747,18.5747,17.7658,15.9402,14.5885,UP,1
2003-11-25,19.1599,19.1599,18.0934,16.0251,14.5493,DOWN,0
2003-11-26,18.5425,18.5425,18.3036,16.1013,14.5066,UP,1
2003-12-01,19.4,19.4,18.6592,16.1906,14.4722,UP,1
2003-12-02,19.4093,19.4093,19.0173,16.2888,14.4493,UP,1
2003-12-03,19.9477,19.9477,19.2919,16.3804,14.424,UP,1
2003-12-04,20.1115,20.1115,19.4822,16.4796,14.4121,DOWN,0
2003-12-05,19.1208,19.1208,19.5979,16.5639,14.3955,DOWN,0
2003-12-08,18.9248,18.9248,19.5028,16.6594,14.3906,UP,1
2003-12-09,19.0567,19.0567,19.4323,16.7509,14.3934,DOWN,0
2003-12-10,18.0397,18.0397,19.0507,16.8273,14.3773,UP,1
2003-12-11,18.5311,18.5311,18.7346,16.9199,14.3657,UP,1
2003-12-15,19.45,19.45,18.8005,17.0425,14.3747,DOWN,0
2003-12-16,18.4285,18.4285,18.7012,17.1527,14.3811,DOWN,0
2003-12-17,18.1031,18.1031,18.5105,17.2532,14.3908,UP,1
2003-12-18,18.8525,18.8525,18.6731,17.366,14.4114,UP,1
2003-12-19,18.9971,18.9971,18.7663,17.4727,14.4511,UP,1
2003-12-30,20.0,20.0,18.8763,17.5813,14.4902,DOWN,0
2003-12-31,19.8315,19.8315,19.1569,17.682,14.5228,UP,1
2004-01-02,20.5361,20.5361,19.6435,17.7911,14.5567,UP,1
2004-01-05,20.5962,20.5962,19.9922,17.8957,14.588,UP,1
2004-01-06,20.733,20.733,20.3394,18.0144,14.6254,UP,1
