ticker,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2005-02-25,63.2,62.51,57.7628,61.788,62.9418,DOWN,0
2005-02-28,62.78,63.3,57.8206,62.068,62.9306,UP,1
2005-03-01,63.22,63.0,57.8769,62.572,62.9046,UP,1
2005-03-02,63.64,63.22,57.9318,63.02,62.8976,DOWN,0
2005-03-03,63.25,63.68,57.9926,63.218,62.8546,UP,1
2005-03-04,64.71,63.39,58.0576,63.52,62.825,UP,1
2005-03-07,65.43,64.5,58.1249,64.05,62.8242,DOWN,0
2005-03-08,65.1,65.1,58.1915,64.426,62.8182,UP,1
2005-03-09,65.17,65.0,58.2555,64.732,62.815,DOWN,0
2005-03-10,65.0,65.1,58.3177,65.082,62.7912,UP,1
2005-03-11,66.02,65.25,58.3821,65.344,62.7914,DOWN,0
2005-03-14,65.82,66.0,58.4441,65.422,62.7834,DOWN,0
2005-03-15,65.0,65.83,58.4991,65.402,62.751,DOWN,0
2005-03-16,63.76,64.75,58.5456,65.12,62.7242,UP,1
2005-03-17,63.9,64.07,58.5909,64.9,62.7222,UP,1
2005-03-18,64.35,63.7,58.6378,64.566,62.748,DOWN,0
2005-03-21,63.86,64.29,58.6879,64.174,62.7744,DOWN,0
2005-03-22,63.55,63.8,58.7377,63.884,62.805,DOWN,0
2005-03-23,63.32,63.7,58.7819,63.796,62.8342,UP,1
2005-03-24,63.34,63.9,58.8204,63.684,62.8626,DOWN,0
2005-03-28,62.22,63.41,58.857,63.258,62.8662,DOWN,0
2005-03-29,61.89,62.23,58.8866,62.864,62.8824,UP,1
2005-03-30,62.04,61.85,58.9232,62.562,62.8692,UP,1
2005-03-31,62.27,62.18,58.955,62.352,62.8558,UP,1
2005-04-01,62.62,62.75,58.9908,62.208,62.8628,DOWN,0
2005-04-04,62.31,62.49,59.0266,62.226,62.8768,UP,1
2005-04-05,62.5,62.32,59.0621,62.348,62.9106,DOWN,0
2005-04-06,62.13,62.54,59.0954,62.366,62.9528,UP,1
