ticker,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-17,32.6421,32.3073,30.5766,32.3157,30.6877,DOWN,0
2000-08-18,32.6003,32.6421,30.594,32.3994,30.6819,DOWN,0
2000-08-21,32.3492,32.5166,30.6105,32.391,30.6626,DOWN,0
2000-08-22,32.1399,32.4329,30.6243,32.3826,30.6631,DOWN,0
2000-08-23,31.8051,32.1818,30.6377,32.3073,30.6447,UP,1
2000-08-24,32.3492,31.7214,30.6526,32.2487,30.6405,UP,1
2000-08-25,32.7677,32.4329,30.6664,32.2822,30.6531,UP,1
2000-08-28,32.9769,32.8095,30.6814,32.4078,30.6824,UP,1
2000-08-29,33.6046,32.8095,30.7013,32.7007,30.7418,DOWN,0
2000-08-30,33.0606,33.4791,30.7174,32.9518,30.8146,DOWN,0
2000-08-31,32.7389,33.1443,30.7319,33.0297,30.8659,DOWN,0
2000-09-01,32.3492,32.8095,30.7445,32.946,30.9061,UP,1
2000-09-05,32.6003,32.3492,30.7602,32.8707,30.9706,UP,1
2000-09-06,33.1861,32.684,30.7807,32.787,31.0501,DOWN,0
2000-09-07,32.8513,33.0606,30.8008,32.7452,31.1296,DOWN,0
2000-09-08,32.8095,32.8932,30.8228,32.7593,31.1977,UP,1
2000-09-11,33.228,32.8095,30.8447,32.935,31.3124,UP,1
2000-09-12,33.5209,33.228,30.8679,33.1192,31.4396,UP,1
2000-09-13,34.3161,33.8139,30.8949,33.3452,31.5618,UP,1
2000-09-14,34.3579,34.1905,30.9211,33.6465,31.6949,DOWN,0
2000-09-15,33.2698,34.5253,30.9374,33.7385,31.797,DOWN,0
2000-09-18,32.0981,33.1024,30.9458,33.5126,31.8564,DOWN,0
2000-09-19,31.4703,32.0981,30.9462,33.1024,31.9016,DOWN,0
2000-09-20,31.0937,31.4703,30.9435,32.458,31.9368,DOWN,0
2000-09-21,30.7171,31.0937,30.938,31.7298,31.9519,DOWN,0
