ticker,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-06-15,21.7067,22.0,20.5241,21.4613,20.7283,DOWN,0
2007-06-18,21.5467,21.7133,20.5397,21.464,20.762,DOWN,0
2007-06-19,21.4667,21.5067,20.5556,21.5213,20.7976,DOWN,0
2007-06-20,21.1933,21.4933,20.5692,21.4947,20.8228,DOWN,0
2007-06-21,21.0333,21.1133,20.5797,21.3893,20.848,DOWN,0
2007-06-22,20.86,21.02,20.5886,21.22,20.8653,DOWN,0
2007-06-25,20.56,20.92,20.5982,21.0227,20.8737,UP,1
2007-06-26,20.5667,20.72,20.6076,20.8427,20.8737,UP,1
2007-06-27,20.86,20.3867,20.6184,20.776,20.8793,UP,1
2007-06-28,21.0133,20.8267,20.6295,20.772,20.8845,DOWN,0
2007-06-29,20.6,21.0067,20.6358,20.72,20.8836,UP,1
2007-07-02,20.8533,20.7,20.6419,20.7787,20.8873,UP,1
2007-07-03,20.9933,20.9133,20.6486,20.864,20.8932,UP,1
2007-07-05,21.0067,21.02,20.6555,20.8933,20.9129,UP,1
2007-07-06,22.56,21.6467,20.6715,21.2027,20.9528,UP,1
2007-07-09,22.6133,22.6667,20.69,21.6053,20.9943,DOWN,0
2007-07-10,21.7467,22.5,20.7008,21.784,21.0159,UP,1
2007-07-11,22.0333,21.7933,20.7134,21.992,21.0475,UP,1
2007-07-12,22.5533,22.0867,20.7295,22.3013,21.0885,UP,1
2007-07-13,22.7467,22.6533,20.7448,22.3387,21.1272,DOWN,0
2007-07-16,22.3867,22.7133,20.7578,22.2933,21.1581,UP,1
2007-07-17,22.56,22.4733,20.7738,22.456,21.1881,DOWN,0
2007-07-18,21.8867,22.38,20.7859,22.4267,21.2065,DOWN,0
2007-07-19,21.7067,22.08,20.7969,22.2573,21.2233,DOWN,0
2007-07-20,21.3533,21.7067,20.8075,21.9787,21.2343,UP,1
2007-07-23,21.4333,21.4733,20.817,21.788,21.256,DOWN,0
2007-07-24,20.4333,21.1133,20.819,21.3627,21.2511,UP,1
2007-07-25,21.4933,20.7,20.8248,21.284,21.272,DOWN,0
2007-07-26,21.0067,21.4933,20.829,21.144,21.2895,DOWN,0
2007-07-27,20.8733,20.94,20.8297,21.048,21.302,UP,1
2007-07-30,20.9733,20.94,20.8311,20.956,21.3165,DOWN,0
2007-07-31,20.4467,21.0533,20.8306,20.9587,21.3165,UP,1
2007-08-01,20.4667,19.8667,20.8286,20.7533,21.3127,UP,1
2007-08-02,20.64,20.6667,20.8271,20.68,21.3127,DOWN,0
2007-08-03,19.6933,20.5867,20.8213,20.444,21.2947,UP,1
