ticker,HCA US Equity,HCA US Equity,HCA US Equity,HCA US Equity,HCA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-07-13,28.16,27.95,28.016,26.6508,24.816,DOWN,0
2012-07-16,27.77,28.04,27.94,26.671,24.8589,UP,1
2012-07-17,28.13,27.86,27.96,26.6998,24.9005,UP,1
2012-07-18,28.6,27.89,28.098,26.7466,24.9427,DOWN,0
2012-07-19,27.79,28.63,28.09,26.7704,24.9876,DOWN,0
2012-07-20,27.52,27.71,27.962,26.792,25.0322,DOWN,0
2012-07-23,27.02,26.97,27.812,26.807,25.0769,DOWN,0
2012-07-24,26.76,27.08,27.538,26.8172,25.1194,UP,1
2012-07-25,27.16,26.89,27.25,26.8426,25.1622,DOWN,0
2012-07-26,26.9,27.5,27.072,26.8662,25.2008,UP,1
2012-07-27,27.31,27.01,27.03,26.905,25.2418,DOWN,0
2012-07-30,27.14,27.25,27.054,26.939,25.2759,DOWN,0
2012-07-31,26.48,27.11,26.998,26.976,25.3027,DOWN,0
2012-08-01,26.24,26.64,26.814,26.9838,25.3236,UP,1
2012-08-02,26.44,26.23,26.722,26.9912,25.3468,UP,1
2012-08-03,26.6,26.83,26.58,27.0032,25.3663,DOWN,0
2012-08-06,25.55,26.18,26.262,26.9922,25.3844,UP,1
2012-08-07,26.89,26.26,26.344,27.0096,25.4105,UP,1
2012-08-08,27.25,26.71,26.546,27.0276,25.4302,UP,1
2012-08-09,27.41,27.26,26.74,27.0558,25.4532,DOWN,0
2012-08-10,27.21,27.12,26.862,27.0802,25.4785,DOWN,0
2012-08-13,27.09,27.17,27.17,27.1272,25.5022,UP,1
2012-08-14,27.19,27.26,27.23,27.183,25.5255,UP,1
2012-08-15,27.27,27.29,27.234,27.2278,25.5479,UP,1
2012-08-16,28.11,27.32,27.374,27.2746,25.5712,UP,1
2012-08-17,29.01,28.21,27.734,27.3458,25.5988,UP,1
2012-08-20,29.04,28.84,28.124,27.4116,25.6272,DOWN,0
2012-08-21,28.6,29.1,28.406,27.4618,25.6548,DOWN,0
2012-08-22,28.3,28.51,28.612,27.5038,25.6787,DOWN,0
2012-08-23,28.13,28.3,28.616,27.542,25.6968,DOWN,0
2012-08-24,28.12,28.02,28.438,27.5764,25.7113,UP,1
2012-08-27,28.36,28.19,28.302,27.609,25.728,DOWN,0
2012-08-28,28.35,28.36,28.252,27.6386,25.7404,DOWN,0
2012-08-29,28.32,28.33,28.256,27.662,25.7494,UP,1
2012-08-30,28.51,28.13,28.332,27.6876,25.7593,UP,1
2012-08-31,28.55,28.57,28.418,27.728,25.769,DOWN,0
2012-09-04,28.54,28.73,28.454,27.7738,25.7841,UP,1
2012-09-05,28.73,28.6,28.53,27.8362,25.8025,UP,1
2012-09-06,29.34,28.82,28.734,27.8992,25.8232,DOWN,0
2012-09-07,29.31,29.4,28.894,27.9532,25.8445,DOWN,0
2012-09-10,29.2,29.25,29.024,27.9478,25.8708,DOWN,0
2012-09-11,28.93,29.18,29.102,27.9178,25.8975,UP,1
2012-09-12,29.16,29.02,29.188,27.9012,25.926,UP,1
2012-09-13,30.3,29.12,29.38,27.9172,25.9587,UP,1
2012-09-14,31.16,30.37,29.75,27.9656,25.9942,UP,1
2012-09-17,31.84,31.16,30.278,28.0342,26.0315,UP,1
2012-09-18,32.67,31.69,31.026,28.1246,26.0739,UP,1
2012-09-19,32.75,32.67,31.744,28.219,26.1254,DOWN,0
2012-09-20,32.51,32.52,32.186,28.311,26.1697,UP,1
2012-09-21,32.56,32.7,32.466,28.4056,26.2163,DOWN,0
2012-09-24,32.2,32.36,32.538,28.4864,26.264,DOWN,0
2012-09-25,31.84,32.24,32.372,28.5678,26.3159,UP,1
2012-09-26,31.97,31.83,32.216,28.6446,26.3699,UP,1
2012-09-27,33.05,32.08,32.324,28.7336,26.4318,UP,1
2012-09-28,33.25,32.78,32.462,28.8428,26.497,UP,1
2012-10-01,33.75,33.24,32.772,28.9674,26.5627,DOWN,0
2012-10-02,33.26,33.73,33.056,29.0922,26.6233,DOWN,0
2012-10-03,32.88,33.39,33.238,29.2146,26.6799,DOWN,0
2012-10-04,32.18,31.51,33.064,29.315,26.7346,DOWN,0
2012-10-05,31.96,32.48,32.806,29.4162,26.7891,DOWN,0
2012-10-08,31.32,32.04,32.32,29.4964,26.8362,DOWN,0
2012-10-09,30.73,31.36,31.814,29.5682,26.8805,DOWN,0
2012-10-10,30.4,30.73,31.318,29.6466,26.9252,UP,1
2012-10-11,30.99,31.09,31.08,29.7416,26.9732,DOWN,0
2012-10-12,30.92,31.0,30.872,29.8312,27.0233,UP,1
2012-10-15,31.8,31.03,30.968,29.9352,27.0759,DOWN,0
2012-10-16,30.85,32.75,30.992,30.0412,27.12,DOWN,0
2012-10-17,30.76,31.23,31.064,30.1186,27.1656,UP,1
2012-10-18,30.78,30.83,31.022,30.1892,27.2155,DOWN,0
2012-10-19,30.05,30.65,30.848,30.242,27.2593,UP,1
2012-10-22,30.75,29.91,30.638,30.3128,27.3014,DOWN,0
2012-10-23,29.64,30.27,30.396,30.3638,27.3413,UP,1
2012-10-24,30.62,30.13,30.368,30.4324,27.3821,UP,1
2012-10-25,31.26,30.75,30.464,30.5122,27.4194,UP,1
2012-10-26,31.53,31.22,30.76,30.5806,27.4605,DOWN,0
2012-10-31,28.41,29.63,30.292,30.5686,27.483,UP,1
2012-11-01,30.01,28.0,30.366,30.588,27.513,UP,1
