ticker,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-09-27,3.9453,3.9688,4.6021,4.0063,4.3561,UP,1
2000-09-28,4.2188,3.9688,4.5987,4.0547,4.3481,DOWN,0
2000-09-29,4.1406,4.2266,4.5945,4.0781,4.3386,UP,1
2000-10-02,4.1953,4.1484,4.5905,4.1,4.3325,DOWN,0
2000-10-03,4.1797,4.2266,4.587,4.1359,4.3264,UP,1
2000-10-04,4.6328,4.25,4.5859,4.2734,4.33,UP,1
2000-10-05,4.6719,4.6563,4.5847,4.3641,4.3367,DOWN,0
2000-10-06,4.5156,4.6406,4.5827,4.4391,4.3409,UP,1
2000-10-09,4.5703,4.5313,4.5804,4.5141,4.3489,DOWN,0
2000-10-10,4.2656,4.5859,4.5771,4.5313,4.3494,DOWN,0
2000-10-11,4.2578,4.2656,4.5731,4.4563,4.3486,DOWN,0
2000-10-12,4.125,4.2734,4.5684,4.3469,4.3434,UP,1
2000-10-13,4.1797,4.125,4.5641,4.2797,4.338,DOWN,0
2000-10-16,4.1797,4.2031,4.5596,4.2016,4.3316,UP,1
2000-10-17,4.1875,4.1953,4.5564,4.1859,4.3256,UP,1
2000-10-18,4.1953,4.1641,4.5532,4.1734,4.3192,UP,1
2000-10-19,4.2813,4.2031,4.5503,4.2047,4.3166,DOWN,0
2000-10-20,4.1406,4.2813,4.547,4.1969,4.3113,UP,1
2000-10-23,4.3359,4.1406,4.5441,4.2281,4.3055,UP,1
2000-10-24,4.4375,4.2578,4.5419,4.2781,4.3022,UP,1
2000-10-25,4.4766,4.4219,4.54,4.3344,4.3003,DOWN,0
2000-10-26,4.4297,4.5234,4.5379,4.3641,4.2967,UP,1
2000-10-27,4.4609,4.4063,4.5357,4.4281,4.295,UP,1
2000-10-30,4.6563,4.4688,4.5348,4.4922,4.2975,UP,1
2000-10-31,4.7188,4.6797,4.5346,4.5484,4.3019,UP,1
2000-11-01,4.7344,4.7031,4.5348,4.6,4.3047,UP,1
2000-11-02,4.7656,4.7188,4.5352,4.6672,4.3087,DOWN,0
2000-11-03,4.5625,4.7813,4.5346,4.6875,4.3088,UP,1
2000-11-06,4.6406,4.5938,4.535,4.6844,4.3118,DOWN,0
2000-11-07,4.5313,4.6563,4.5354,4.6469,4.3134,UP,1
2000-11-08,4.5391,4.5469,4.5359,4.6078,4.3146,UP,1
2000-11-09,4.5938,4.5625,4.5371,4.5734,4.321,DOWN,0
2000-11-10,4.5313,4.6094,4.5386,4.5672,4.3257,UP,1
2000-11-13,4.5859,4.5156,4.5405,4.5563,4.3302,DOWN,0
2000-11-14,4.5625,4.5625,4.5431,4.5625,4.334,UP,1
2000-11-15,4.6641,4.5625,4.5461,4.5875,4.339,DOWN,0
2000-11-16,4.5547,4.6484,4.5479,4.5797,4.3432,DOWN,0
2000-11-17,4.4922,4.5547,4.5497,4.5719,4.3458,UP,1
2000-11-20,4.5078,4.4922,4.5518,4.5563,4.3492,DOWN,0
2000-11-21,4.4688,4.5078,4.5535,4.5375,4.3538,DOWN,0
2000-11-22,4.4063,4.375,4.5547,4.4859,4.357,UP,1
2000-11-24,4.5625,4.4063,4.5565,4.4875,4.3647,UP,1
2000-11-27,4.5859,4.5781,4.5586,4.5063,4.3758,DOWN,0
2000-11-28,4.5391,4.5859,4.5603,4.5125,4.3861,UP,1
2000-11-29,4.5938,4.5234,4.562,4.5375,4.3983,DOWN,0
2000-11-30,4.5781,4.5859,4.5643,4.5719,4.4097,UP,1
2000-12-01,4.5938,4.5,4.5671,4.5781,4.422,DOWN,0
2000-12-04,4.4141,4.5625,4.5696,4.5438,4.4298,UP,1
2000-12-05,4.4219,4.4453,4.572,4.5203,4.4366,DOWN,0
2000-12-06,4.4219,4.4141,4.5747,4.4859,4.445,DOWN,0
2000-12-07,4.3984,4.4219,4.5779,4.45,4.4541,UP,1
2000-12-08,4.5469,4.3906,4.5813,4.4406,4.4606,DOWN,0
2000-12-11,4.4297,4.5547,4.584,4.4438,4.4664,DOWN,0
2000-12-12,4.3438,4.4297,4.5857,4.4281,4.4694,DOWN,0
2000-12-13,4.2891,4.3125,4.5869,4.4016,4.4716,UP,1
2000-12-14,4.2969,4.3125,4.5877,4.3813,4.4648,UP,1
