ticker,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-07,147.4844,146.625,139.9693,146.8469,144.7194,DOWN,0
2000-06-08,146.9063,147.5,140.019,147.1656,144.6363,DOWN,0
2000-06-09,146.5938,147.5,140.0601,146.9156,144.5438,DOWN,0
2000-06-12,144.875,146.9688,140.1009,146.4656,144.4675,UP,1
2000-06-13,147.5938,144.8125,140.1635,146.6906,144.4119,UP,1
2000-06-14,147.8438,148.25,140.2399,146.7625,144.3438,UP,1
2000-06-15,148.1563,148.125,140.3204,147.0125,144.3919,DOWN,0
2000-06-16,146.5938,148.3125,140.3849,147.0125,144.34,UP,1
2000-06-19,148.4688,146.4688,140.4667,147.7313,144.2997,DOWN,0
2000-06-20,147.9375,148.1875,140.5266,147.8,144.2297,DOWN,0
2000-06-21,147.875,146.9375,140.5886,147.8063,144.1703,DOWN,0
2000-06-22,145.625,147.5625,140.6427,147.3,144.0747,DOWN,0
2000-06-23,144.375,145.8125,140.6908,146.8563,144.0366,UP,1
2000-06-26,146.2344,145.375,140.7426,146.4094,144.0762,DOWN,0
2000-06-27,145.1563,145.9844,140.7936,145.8531,144.2594,UP,1
2000-06-28,145.5625,145.625,140.8511,145.3906,144.3556,DOWN,0
2000-06-29,144.1875,144.75,140.9124,145.1031,144.35,UP,1
2000-06-30,145.2813,143.9375,140.9765,145.2844,144.3931,UP,1
2000-07-03,147.2813,145.4375,141.0442,145.4938,144.4625,DOWN,0
2000-07-05,144.625,146.375,141.0995,145.3875,144.51,UP,1
2000-07-06,145.75,144.9375,141.1745,145.425,144.4619,UP,1
2000-07-07,148.0938,146.6875,141.2619,146.2063,144.4941,DOWN,0
2000-07-10,147.8438,147.875,141.3618,146.7188,144.5309,UP,1
2000-07-11,148.1563,147.4688,141.4638,146.8938,144.5922,UP,1
2000-07-12,149.125,149.2813,141.5665,147.7938,144.6334,UP,1
2000-07-13,149.7813,149.9844,141.6737,148.6,144.7466,UP,1
2000-07-14,151.25,150.4375,141.7958,149.2313,144.9566,DOWN,0
2000-07-17,151.0,150.9844,141.9071,149.8625,145.1403,DOWN,0
2000-07-18,149.7656,150.625,142.0136,150.1844,145.265,DOWN,0
2000-07-19,148.5625,149.4688,142.1026,150.0719,145.3872,UP,1
2000-07-20,150.625,149.0,142.2026,150.2406,145.5734,DOWN,0
2000-07-21,147.6875,149.75,142.2779,149.5281,145.7647,DOWN,0
2000-07-24,146.8438,148.125,142.3528,148.6969,145.8759,UP,1
2000-07-25,147.3125,147.75,142.42,148.2063,145.9659,DOWN,0
2000-07-26,145.875,146.9688,142.4811,147.6688,145.9778,DOWN,0
2000-07-27,145.375,145.9375,142.55,146.6188,145.9516,DOWN,0
2000-07-28,142.0938,145.7188,142.6195,145.5,145.8903,UP,1
2000-07-31,143.0,142.9375,142.6937,144.7313,145.8828,UP,1
2000-08-01,143.875,143.625,142.7887,144.0438,145.9378,UP,1
2000-08-02,144.5938,143.875,142.8828,143.7875,146.0284,UP,1
2000-08-03,145.5938,142.875,142.9758,143.8313,146.1803,UP,1
2000-08-04,146.375,146.3125,143.0664,144.6875,146.3028,UP,1
2000-08-07,148.125,146.7188,143.162,145.7125,146.5084,UP,1
2000-08-08,148.6875,147.5,143.255,146.675,146.7222,DOWN,0
2000-08-09,147.4375,149.1406,143.345,147.2438,146.8209,DOWN,0
2000-08-10,146.7188,147.5313,143.4395,147.4688,146.8991,UP,1
2000-08-11,147.4063,146.625,143.5259,147.675,146.9409,UP,1
2000-08-14,149.2813,147.7813,143.5995,147.9063,146.9697,DOWN,0
2000-08-15,149.1563,149.3438,143.6603,148.0,147.0103,DOWN,0
2000-08-16,148.625,149.3125,143.7256,148.2375,147.0534,UP,1
2000-08-17,150.1875,148.6875,143.8036,148.9313,147.1075,DOWN,0
2000-08-18,149.6875,150.375,143.8745,149.3875,147.1631,UP,1
2000-08-21,150.5,150.0313,143.9444,149.6313,147.2413,DOWN,0
2000-08-22,150.25,150.5625,144.0062,149.85,147.3488,UP,1
2000-08-23,150.8438,149.8125,144.0704,150.2938,147.4138,UP,1
2000-08-24,151.3125,151.1563,144.1435,150.5188,147.4831,DOWN,0
2000-08-25,151.25,151.1563,144.2112,150.8313,147.545,UP,1
2000-08-28,151.7656,151.25,144.2775,151.0844,147.6484,UP,1
2000-08-29,151.7969,151.4375,144.3377,151.3938,147.715,DOWN,0
2000-08-30,150.3438,151.3125,144.389,151.2938,147.7631,UP,1
2000-08-31,152.3438,151.0625,144.4445,151.5,147.8525,UP,1
2000-09-01,152.5,153.25,144.4989,151.75,147.99,DOWN,0
2000-09-05,151.2813,151.875,144.5422,151.6531,148.1281,DOWN,0
2000-09-06,149.5625,151.1875,144.5775,151.2063,148.1947,UP,1
2000-09-07,150.8438,150.25,144.6194,151.3063,148.3084,DOWN,0
2000-09-08,149.8125,150.2813,144.6623,150.8,148.3934,DOWN,0
2000-09-11,149.5938,149.75,144.7005,150.2188,148.5016,DOWN,0
2000-09-12,148.5,149.75,144.7358,149.6625,148.5659,UP,1
2000-09-13,148.8906,148.0,144.7755,149.5281,148.5981,UP,1
2000-09-14,149.6406,149.875,144.8273,149.2875,148.6984,DOWN,0
2000-09-15,146.0,148.1875,144.8553,148.525,148.7034,DOWN,0
2000-09-18,144.6563,146.375,144.8723,147.5375,148.6347,UP,1
2000-09-19,145.9688,145.125,144.883,147.0313,148.5972,DOWN,0
2000-09-20,144.8906,145.6875,144.8935,146.2313,148.5319,DOWN,0
2000-09-21,142.6875,144.4688,144.8988,144.8406,148.4031,UP,1
2000-09-22,145.2813,142.625,144.9216,144.6969,148.3131,DOWN,0
2000-09-25,144.25,145.9375,144.9359,144.6156,148.1731,DOWN,0
2000-09-26,142.4063,144.375,144.9385,143.9031,148.0013,UP,1
2000-09-27,143.1563,143.5625,144.9437,143.5563,147.8691,UP,1
2000-09-28,145.0,143.1875,144.9649,144.0188,147.7978,DOWN,0
2000-09-29,143.625,145.4688,144.9755,143.6875,147.6578,UP,1
2000-10-02,143.8438,144.2813,144.9841,143.6063,147.5809,DOWN,0
2000-10-03,142.5,144.5313,144.9832,143.625,147.4941,UP,1
2000-10-04,143.6875,142.875,144.9934,143.7313,147.4216,UP,1
2000-10-05,144.1875,143.4063,144.9952,143.5688,147.3878,DOWN,0
2000-10-06,141.0625,143.875,144.9796,143.0563,147.3016,DOWN,0
2000-10-09,140.0,141.3125,144.9472,142.2875,147.2597,DOWN,0
2000-10-10,137.6875,140.0938,144.9042,141.325,147.1534,DOWN,0
2000-10-11,136.5313,137.625,144.8559,139.8938,147.0066,DOWN,0
2000-10-12,133.125,137.2813,144.7875,137.6813,146.7772,UP,1
2000-10-13,137.5625,132.9375,144.7421,136.9813,146.6166,UP,1
2000-10-16,138.1875,137.4063,144.6987,136.6188,146.4528,DOWN,0
2000-10-17,134.75,138.4375,144.6452,136.0313,146.1853,DOWN,0
2000-10-18,134.25,132.625,144.6177,135.575,145.8966,UP,1
2000-10-19,139.2813,136.8438,144.6141,136.8063,145.7334,UP,1
2000-10-20,139.9063,138.375,144.6249,137.275,145.5972,UP,1
2000-10-23,140.5313,139.9375,144.5988,137.7438,145.4597,DOWN,0
2000-10-24,139.5938,140.9688,144.5655,138.7125,145.2659,DOWN,0
2000-10-25,136.3125,138.75,144.5246,139.125,145.0091,UP,1
2000-10-26,136.6875,137.125,144.4927,138.6063,144.7703,UP,1
2000-10-27,139.2813,137.875,144.4641,138.4813,144.5522,UP,1
2000-10-30,140.5313,138.4375,144.432,138.4813,144.3691,UP,1
2000-10-31,142.9531,141.0156,144.4177,139.1531,144.2181,DOWN,0
2000-11-01,142.4688,142.25,144.395,140.3844,144.0625,UP,1
2000-11-02,142.7031,143.1563,144.3848,141.5875,143.8997,UP,1
2000-11-03,142.7813,143.4688,144.3765,142.2875,143.7291,UP,1
2000-11-06,143.7813,143.1563,144.3937,142.9375,143.5797,DOWN,0
2000-11-07,143.75,143.1406,144.4027,143.0969,143.4194,DOWN,0
2000-11-08,140.5625,144.0625,144.4015,142.7156,143.1947,DOWN,0
2000-11-09,140.0313,140.0,144.4004,142.1813,142.9884,DOWN,0
2000-11-10,136.625,139.0,144.4041,140.95,142.6741,DOWN,0
2000-11-13,135.5625,135.625,144.3841,139.3063,142.3353,UP,1
2000-11-14,139.125,137.4688,144.3751,138.3813,142.0922,UP,1
2000-11-15,139.5625,139.0625,144.3676,138.1813,141.8922,DOWN,0
2000-11-16,137.375,138.5781,144.3385,137.65,141.6228,DOWN,0
2000-11-17,136.6406,137.3125,144.3088,137.6531,141.3594,DOWN,0
2000-11-20,134.6875,135.75,144.2703,137.4781,141.0613,UP,1
2000-11-21,135.375,134.875,144.2256,136.7281,140.7988,DOWN,0
2000-11-22,132.1406,134.3438,144.1799,135.2438,140.4638,UP,1
2000-11-24,134.8438,133.625,144.1463,134.7375,140.1678,UP,1
2000-11-27,136.0313,136.4688,144.133,134.6156,139.9684,DOWN,0
2000-11-28,133.6875,135.125,144.104,134.4156,139.7491,DOWN,0
2000-11-29,133.4375,134.375,144.0657,134.0281,139.4984,DOWN,0
2000-11-30,132.2813,132.5,144.0321,134.0563,139.2463,DOWN,0
2000-12-01,132.2188,133.1875,144.0018,133.5313,139.0369,UP,1
2000-12-04,133.3438,131.875,143.992,132.9938,138.7981,UP,1
2000-12-05,137.7188,134.875,144.0057,133.8,138.6675,DOWN,0
2000-12-06,135.5156,137.7813,144.0005,134.2156,138.5297,DOWN,0
2000-12-07,133.6563,134.875,143.9997,134.4906,138.3397,UP,1
2000-12-08,133.9688,137.0625,144.0029,134.8406,138.1191,UP,1
2000-12-11,138.625,137.375,144.0154,135.8969,138.0191,DOWN,0
2000-12-12,138.0313,138.1875,144.0184,135.9594,137.9028,DOWN,0
2000-12-13,136.1406,139.25,144.0069,136.0844,137.7756,DOWN,0
2000-12-14,134.4063,135.875,143.9863,136.2344,137.59,DOWN,0
2000-12-15,130.9688,133.125,143.9355,135.6344,137.3256,UP,1
2000-12-18,132.7188,132.0625,143.9003,134.4531,137.1588,DOWN,0
2000-12-19,130.0156,132.4688,143.8652,132.85,136.9591,DOWN,0
2000-12-20,126.25,128.625,143.812,130.8719,136.7303,UP,1
2000-12-21,127.125,126.0,143.7433,129.4156,136.5422,UP,1
2000-12-22,130.9375,129.0,143.6973,129.4094,136.4984,UP,1
2000-12-26,132.3438,130.8438,143.6661,129.3344,136.3941,UP,1
2000-12-27,133.3125,132.0,143.6495,129.9938,136.2966,UP,1
2000-12-28,133.7188,132.8125,143.6191,131.4875,136.2759,DOWN,0
2000-12-29,131.1875,134.0625,143.5433,132.3,136.2147,DOWN,0
2001-01-02,128.8125,132.0,143.4527,131.875,136.0053,UP,1
2001-01-03,135.0,128.3125,143.3967,132.4063,135.9072,DOWN,0
2001-01-04,133.5469,134.9375,143.3185,132.4531,135.7675,DOWN,0
2001-01-05,129.1875,133.4688,143.214,131.5469,135.5594,UP,1
2001-01-08,130.1875,129.875,143.1016,131.3469,135.4369,DOWN,0
2001-01-09,129.8438,131.0469,142.983,131.5531,135.3,UP,1
2001-01-10,132.125,129.0,142.884,130.9781,135.1569,UP,1
2001-01-11,132.25,131.0938,142.7899,130.7188,134.9913,DOWN,0
2001-01-12,132.0,132.6875,142.6938,131.2813,134.7722,UP,1
2001-01-16,132.8438,132.0,142.6146,131.8125,134.5797,UP,1
2001-01-17,133.4531,134.8438,142.53,132.5344,134.3947,UP,1
