ticker,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-22,23.688,24.188,22.4994,24.2375,24.6375,UP,1
2000-06-23,24.188,23.875,22.4441,24.2125,24.68,UP,1
2000-06-26,24.813,23.938,22.3888,24.2375,24.7438,DOWN,0
2000-06-27,24.313,24.938,22.3291,24.2,24.8163,DOWN,0
2000-06-28,23.688,23.5,22.2651,24.1375,24.8638,UP,1
2000-06-29,25.0,23.063,22.2151,24.4,24.9438,DOWN,0
2000-06-30,24.813,24.5,22.1707,24.525,25.0225,DOWN,0
2000-07-03,24.313,24.625,22.1201,24.425,25.055,UP,1
2000-07-05,25.0,24.188,22.0757,24.5625,25.0375,UP,1
2000-07-06,25.25,24.5,22.0366,24.875,25.0313,UP,1
2000-07-07,25.313,25.125,21.9991,24.9375,25.055,DOWN,0
2000-07-10,25.188,25.313,21.9679,25.0125,25.0813,DOWN,0
2000-07-11,24.75,24.938,21.9385,25.1,25.0788,UP,1
2000-07-12,25.063,24.188,21.9029,25.1125,25.04,DOWN,0
2000-07-13,25.0,25.063,21.8704,25.0625,25.0188,UP,1
2000-07-14,26.375,25.875,21.8407,25.275,25.035,DOWN,0
2000-07-17,25.375,26.5,21.8041,25.3125,25.0163,DOWN,0
2000-07-18,25.313,25.5,21.7676,25.425,24.9988,UP,1
2000-07-19,25.375,25.25,21.7307,25.4875,24.985,UP,1
2000-07-20,26.75,25.688,21.7035,25.8375,25.0,DOWN,0
2000-07-21,26.313,26.5,21.6826,25.825,25.005,UP,1
2000-07-24,26.563,26.375,21.6576,26.0625,25.0125,UP,1
2000-07-25,27.188,26.75,21.6394,26.4375,25.04,UP,1
2000-07-26,27.5,27.313,21.6251,26.8625,25.0775,DOWN,0
2000-07-27,27.188,27.125,21.6176,26.95,25.1175,UP,1
2000-07-28,28.0,27.188,21.6194,27.2875,25.1863,UP,1
2000-07-31,28.125,27.75,21.6301,27.6,25.2513,UP,1
2000-08-01,29.125,28.313,21.6551,27.9875,25.3475,DOWN,0
2000-08-02,28.75,29.5,21.6772,28.2375,25.4513,DOWN,0
2000-08-03,28.375,28.438,21.6954,28.475,25.5163,UP,1
2000-08-04,28.813,28.938,21.7194,28.6375,25.5913,UP,1
2000-08-07,29.438,29.375,21.7479,28.9,25.6938,DOWN,0
2000-08-08,29.188,29.5,21.7751,28.9125,25.7963,UP,1
2000-08-09,29.5,29.5,21.8076,29.0625,25.8913,UP,1
2000-08-10,29.625,29.625,21.8416,29.3125,25.99,DOWN,0
2000-08-11,29.625,29.25,21.8776,29.475,26.0813,DOWN,0
2000-08-14,29.25,29.625,21.9091,29.4375,26.1475,DOWN,0
