ticker,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2013-05-23,87.21,87.11,74.2228,88.072,83.6174,DOWN,0
2013-05-24,86.82,86.8,74.3127,87.818,83.7718,UP,1
2013-05-28,87.61,87.54,74.4093,87.738,83.9402,DOWN,0
2013-05-29,85.65,87.08,74.4958,87.15,84.077,UP,1
2013-05-30,85.99,85.71,74.5841,86.656,84.2196,DOWN,0
2013-05-31,84.18,85.68,74.6619,86.05,84.3142,UP,1
2013-06-03,84.71,84.28,74.7431,85.628,84.4282,DOWN,0
2013-06-04,84.1,84.72,74.8204,84.926,84.5154,DOWN,0
2013-06-05,83.68,83.91,74.897,84.532,84.5954,UP,1
2013-06-06,84.46,83.59,74.9783,84.226,84.6676,UP,1
2013-06-07,84.91,84.96,75.0639,84.372,84.7404,UP,1
2013-06-10,85.14,85.01,75.1511,84.458,84.8126,DOWN,0
2013-06-11,84.69,84.76,75.2356,84.576,84.8678,DOWN,0
2013-06-12,83.74,85.18,75.3156,84.588,84.8888,UP,1
2013-06-13,84.91,83.6,75.4014,84.678,84.9456,DOWN,0
2013-06-14,84.91,84.71,75.488,84.678,84.9956,UP,1
2013-06-17,85.63,85.37,75.5787,84.776,85.0674,UP,1
2013-06-18,86.36,85.75,75.6729,85.11,85.1724,DOWN,0
2013-06-19,84.86,86.43,75.7604,85.334,85.2392,DOWN,0
2013-06-20,82.62,84.21,75.8374,84.876,85.2512,UP,1
2013-06-21,83.2,83.0,75.9163,84.534,85.2688,UP,1
2013-06-24,84.61,82.92,76.003,84.33,85.3062,UP,1
2013-06-25,85.35,85.16,76.0934,84.128,85.379,UP,1
2013-06-26,86.99,85.95,76.1892,84.554,85.45,DOWN,0
2013-06-27,86.71,87.53,76.2833,85.372,85.5062,DOWN,0
2013-06-28,85.86,86.72,76.3717,85.904,85.5598,UP,1
2013-07-01,86.63,85.72,76.4639,86.308,85.6026,DOWN,0
2013-07-02,86.57,86.65,76.556,86.552,85.6374,UP,1
2013-07-03,86.78,86.54,76.645,86.51,85.664,UP,1
2013-07-05,87.87,87.58,76.742,86.742,85.7336,UP,1
2013-07-08,88.59,88.09,76.8437,87.288,85.801,UP,1
2013-07-09,88.88,88.65,76.9453,87.738,85.8762,UP,1
2013-07-10,89.24,88.88,77.0485,88.272,85.9494,UP,1
2013-07-11,89.67,89.81,77.1524,88.85,86.0382,UP,1
2013-07-12,89.99,89.69,77.257,89.274,86.1534,UP,1
2013-07-15,90.4,89.91,77.364,89.636,86.2582,DOWN,0
2013-07-16,90.4,91.04,77.4694,89.94,86.3512,DOWN,0
2013-07-17,90.13,90.58,77.575,90.118,86.4602,UP,1
2013-07-18,90.17,90.33,77.6808,90.218,86.553,UP,1
2013-07-19,92.23,90.24,77.7974,90.666,86.6884,UP,1
2013-07-22,92.28,92.08,77.9132,91.042,86.831,UP,1
2013-07-23,92.42,92.39,78.0305,91.446,86.9642,DOWN,0
2013-07-24,92.36,92.65,78.1473,91.892,87.0944,UP,1
2013-07-25,92.57,92.0,78.2638,92.372,87.2064,UP,1
2013-07-26,92.83,92.32,78.3797,92.492,87.3102,UP,1
2013-07-29,93.21,92.63,78.4986,92.678,87.4254,DOWN,0
2013-07-30,93.17,93.47,78.6224,92.828,87.527,UP,1
2013-07-31,93.5,93.23,78.7488,93.056,87.6368,UP,1
