ticker,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2019-02-15,59.1,58.45,65.8269,57.692,55.7694,UP,1
2019-02-19,59.14,59.04,65.8057,58.322,55.6708,DOWN,0
2019-02-20,59.06,59.4,65.7845,58.662,55.6156,UP,1
2019-02-21,59.21,59.14,65.7486,58.92,55.6206,DOWN,0
2019-02-22,58.7,59.14,65.712,59.042,55.6344,DOWN,0
2019-02-25,58.24,58.74,65.6824,58.87,55.6478,DOWN,0
2019-02-26,57.99,58.14,65.6484,58.64,55.6372,DOWN,0
2019-02-27,56.92,57.8,65.6041,58.212,55.5876,DOWN,0
2019-02-28,56.9,56.97,65.5586,57.75,55.5652,UP,1
2019-03-01,57.05,57.26,65.5108,57.42,55.5722,DOWN,0
2019-03-04,55.44,55.78,65.4566,56.86,55.5794,DOWN,0
2019-03-05,53.1,55.6,65.3879,55.882,55.5738,DOWN,0
2019-03-06,51.04,53.23,65.3052,54.706,55.5702,DOWN,0
2019-03-07,50.54,51.14,65.2173,53.434,55.5846,DOWN,0
2019-03-08,49.95,50.16,65.1275,52.014,55.609,UP,1
2019-03-11,50.47,49.96,65.0402,51.02,55.602,UP,1
2019-03-12,51.33,50.67,64.9542,50.666,55.615,UP,1
2019-03-13,53.6,51.62,64.8818,51.178,55.6796,DOWN,0
2019-03-14,53.58,53.61,64.8102,51.786,55.722,DOWN,0
2019-03-15,53.53,53.6,64.7426,52.502,55.758,DOWN,0
2019-03-18,52.07,53.35,64.6612,52.822,55.7798,UP,1
2019-03-19,53.91,52.51,64.5965,53.338,55.778,DOWN,0
2019-03-20,53.71,53.96,64.5296,53.36,55.7648,UP,1
2019-03-21,55.0,53.85,64.4701,53.644,55.7836,DOWN,0
2019-03-22,54.05,54.74,64.4034,53.748,55.7862,DOWN,0
2019-03-25,53.24,53.97,64.3261,53.982,55.7478,DOWN,0
2019-03-26,53.09,53.39,64.2468,53.818,55.6882,UP,1
2019-03-27,53.48,53.03,64.159,53.772,55.6386,UP,1
2019-03-28,53.52,53.65,64.066,53.476,55.5736,UP,1
2019-03-29,54.29,53.93,63.9787,53.524,55.514,UP,1
2019-04-01,54.92,54.64,63.8984,53.86,55.478,DOWN,0
2019-04-02,54.6,54.77,63.8162,54.162,55.4226,UP,1
2019-04-03,55.27,54.9,63.7252,54.52,55.391,DOWN,0
2019-04-04,55.11,55.27,63.6362,54.838,55.354,UP,1
