ticker,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-08-17,55.23,55.01,55.004,53.447,40.3636,UP,1
2018-08-20,56.03,55.12,55.226,53.542,40.4989,UP,1
2018-08-21,56.08,56.32,55.33,53.6314,40.6369,UP,1
2018-08-22,57.26,56.02,55.892,53.7178,40.7807,UP,1
2018-08-23,58.51,57.26,56.622,53.8362,40.9286,UP,1
2018-08-24,59.95,58.63,57.566,53.979,41.0857,DOWN,0
2018-08-27,59.51,60.0,58.262,54.0796,41.2374,UP,1
2018-08-28,60.47,59.75,59.14,54.189,41.3948,UP,1
2018-08-29,61.94,60.5,60.076,54.3692,41.5585,DOWN,0
2018-08-30,61.69,61.94,60.712,54.5292,41.7212,UP,1
2018-08-31,61.83,61.24,61.088,54.7014,41.8846,UP,1
2018-09-04,63.12,61.98,61.81,54.926,42.0571,DOWN,0
2018-09-05,59.88,63.71,61.692,55.1432,42.208,UP,1
2018-09-06,60.2,60.2,61.344,55.3558,42.3629,UP,1
2018-09-07,71.92,69.25,63.39,55.828,42.5747,UP,1
2018-09-10,72.08,71.65,65.44,56.262,42.7853,UP,1
2018-09-11,72.9,71.02,67.396,56.7126,42.9998,UP,1
2018-09-12,74.17,73.87,70.254,57.1676,43.2142,DOWN,0
2018-09-13,72.49,74.81,72.712,57.601,43.4225,DOWN,0
2018-09-14,72.13,73.5,72.754,58.0118,43.6271,DOWN,0
2018-09-17,69.51,71.71,72.24,58.3506,43.8276,UP,1
2018-09-18,69.87,69.26,71.634,58.7108,44.0309,DOWN,0
2018-09-19,69.84,70.21,70.768,59.089,44.2365,UP,1
2018-09-20,71.0,69.35,70.47,59.4858,44.45,DOWN,0
2018-09-21,68.5,71.3,69.744,59.7626,44.6507,UP,1
2018-09-24,68.52,67.73,69.546,60.05,44.851,UP,1
2018-09-25,69.42,68.37,69.456,60.357,45.0522,UP,1
2018-09-26,69.59,69.83,69.406,60.6322,45.2644,UP,1
2018-09-27,70.41,70.1,69.288,60.9134,45.484,DOWN,0
2018-09-28,70.36,70.28,69.66,61.201,45.708,UP,1
2018-10-01,71.82,71.06,70.32,61.5108,45.9368,DOWN,0
2018-10-02,68.1,71.57,70.056,61.7298,46.147,UP,1
2018-10-03,68.27,68.0,69.792,61.9928,46.3586,DOWN,0
2018-10-04,65.08,68.02,68.726,62.1468,46.5579,UP,1
2018-10-05,65.11,64.64,67.676,62.2932,46.756,DOWN,0
2018-10-08,61.31,64.31,65.574,62.4172,46.9356,DOWN,0
2018-10-09,59.69,60.47,63.892,62.6148,47.1056,DOWN,0
2018-10-10,55.42,59.51,61.322,62.7302,47.2551,DOWN,0
2018-10-11,54.64,54.82,59.234,62.7828,47.398,UP,1
2018-10-12,57.59,57.71,57.73,62.8428,47.5559,UP,1
2018-10-15,58.22,57.59,57.112,62.9486,47.7182,UP,1
2018-10-16,61.91,59.0,57.556,63.0792,47.8997,UP,1
2018-10-17,62.26,62.24,58.924,63.227,48.0787,DOWN,0
2018-10-18,59.39,61.8,59.874,63.3166,48.2432,DOWN,0
2018-10-19,55.76,60.2,59.508,63.2976,48.3891,UP,1
2018-10-22,57.42,56.52,59.348,63.3238,48.5435,DOWN,0
2018-10-23,57.27,54.93,58.42,63.3708,48.6979,DOWN,0
2018-10-24,52.78,56.81,56.524,63.3152,48.8297,UP,1
2018-10-25,54.94,53.5,55.634,63.325,48.9719,DOWN,0
2018-10-26,51.94,51.01,54.87,63.2666,49.0987,UP,1
2018-10-29,52.48,54.0,53.882,63.2116,49.2261,UP,1
2018-10-30,53.53,52.48,53.134,63.1616,49.362,UP,1
2018-10-31,58.36,54.99,54.25,63.2072,49.5199,UP,1
2018-11-01,59.93,59.24,55.248,63.2606,49.6846,DOWN,0
2018-11-02,57.77,60.0,56.414,63.2458,49.8275,DOWN,0
2018-11-05,56.53,57.9,57.224,63.1774,49.9612,DOWN,0
2018-11-06,56.1,56.76,57.738,63.1092,50.0898,UP,1
2018-11-07,62.6,57.35,58.586,63.1518,50.2488,DOWN,0
2018-11-08,61.49,62.2,58.898,63.1428,50.4037,DOWN,0
2018-11-09,59.28,60.31,59.2,63.0946,50.5452,DOWN,0
2018-11-12,54.62,58.89,58.818,62.9504,50.6662,UP,1
