ticker,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-24,22.5625,22.5313,22.4259,22.7969,23.3701,UP,1
2000-08-25,22.5938,22.5313,22.4425,22.7094,23.342,DOWN,0
2000-08-28,22.1875,22.5625,22.4569,22.5719,23.3107,DOWN,0
2000-08-29,22.0938,22.1875,22.4716,22.3938,23.2951,DOWN,0
2000-08-30,21.9063,21.9688,22.483,22.2688,23.2801,DOWN,0
2000-08-31,21.5625,21.7813,22.4922,22.0688,23.252,DOWN,0
2000-09-01,21.5,21.5938,22.5025,21.85,23.2226,UP,1
2000-09-05,22.25,21.4375,22.5155,21.8625,23.2063,UP,1
2000-09-06,23.25,22.25,22.5336,22.0938,23.2063,DOWN,0
2000-09-07,22.6563,22.9688,22.5494,22.2438,23.1745,DOWN,0
2000-09-08,21.7188,22.6563,22.5602,22.275,23.1253,DOWN,0
2000-09-11,21.625,21.7188,22.5705,22.3,23.0834,DOWN,0
2000-09-12,21.5,21.6563,22.5803,22.15,23.0359,UP,1
2000-09-13,21.7031,21.5625,22.5918,21.8406,22.9769,DOWN,0
2000-09-14,21.2188,21.875,22.6007,21.5531,22.9066,DOWN,0
2000-09-15,20.8438,20.9688,22.6079,21.3781,22.8559,DOWN,0
2000-09-18,20.4063,20.7188,22.6081,21.1344,22.7809,DOWN,0
2000-09-19,20.0625,20.375,22.6031,20.8469,22.7022,DOWN,0
2000-09-20,19.625,20.1875,22.5959,20.4313,22.5966,DOWN,0
2000-09-21,19.3125,19.625,22.589,20.05,22.4922,DOWN,0
2000-09-22,19.1563,19.3125,22.5798,19.7125,22.3772,DOWN,0
2000-09-25,18.5938,19.0938,22.5653,19.35,22.2603,DOWN,0
2000-09-26,18.2813,18.4688,22.5442,18.9938,22.1478,UP,1
2000-09-27,18.3125,18.2188,22.5238,18.7313,22.0334,UP,1
2000-09-28,18.4375,18.2188,22.5006,18.5563,21.9297,UP,1
2000-09-29,18.4688,18.75,22.4773,18.4188,21.8309,UP,1
2000-10-02,18.5625,18.6563,22.4567,18.4125,21.7278,UP,1
2000-10-03,19.1563,18.5313,22.437,18.5875,21.6391,UP,1
2000-10-04,19.8125,19.1563,22.4249,18.8875,21.5691,DOWN,0
2000-10-05,19.6563,19.8125,22.4109,19.1313,21.5016,DOWN,0
2000-10-06,19.5,19.6563,22.3962,19.3375,21.4178,UP,1
2000-10-09,19.5938,19.625,22.3812,19.5438,21.3391,DOWN,0
2000-10-10,19.375,19.7188,22.3651,19.5875,21.2578,DOWN,0
2000-10-11,18.6875,19.25,22.3413,19.3625,21.1666,UP,1
2000-10-12,18.7813,18.6875,22.3142,19.1875,21.0791,DOWN,0
2000-10-13,17.8438,18.2813,22.2843,18.8563,20.9616,UP,1
2000-10-16,19.0,18.0,22.2601,18.7375,20.9128,DOWN,0
2000-10-17,18.4375,18.875,22.2362,18.55,20.8391,UP,1
2000-10-18,18.5313,18.3438,22.2156,18.5188,20.7697,DOWN,0
2000-10-19,18.25,18.4375,22.1879,18.4125,20.6872,UP,1
2000-10-20,18.625,18.25,22.1546,18.5688,20.6191,UP,1
2000-10-23,18.7188,18.4688,22.1221,18.5125,20.5447,UP,1
