ticker,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-09-29,258.88,263.41,270.072,257.9947,212.2767,UP,1
2021-09-30,262.22,260.41,266.512,258.6179,212.6705,UP,1
2021-10-01,263.16,263.17,263.146,259.1693,213.0801,DOWN,0
2021-10-04,251.86,261.35,258.972,259.4321,213.4193,UP,1
2021-10-05,258.5,253.45,258.924,259.9117,213.773,UP,1
2021-10-06,264.25,256.28,259.998,260.5361,214.1148,UP,1
2021-10-07,269.88,266.02,261.53,261.1969,214.4661,DOWN,0
2021-10-08,266.66,272.3,262.23,261.7895,214.7655,UP,1
2021-10-11,267.7,263.6,265.398,262.4253,215.0667,UP,1
2021-10-12,277.72,270.08,269.242,263.1989,215.4289,UP,1
2021-10-13,286.64,279.78,273.72,264.0703,215.8653,UP,1
2021-10-14,293.89,290.0,278.522,264.9895,216.3455,DOWN,0
2021-10-15,292.7,294.5,283.73,265.8901,216.8025,UP,1
2021-10-18,301.31,292.51,290.452,267.0753,217.3105,DOWN,0
2021-10-19,298.03,301.5,294.514,268.1351,217.8202,DOWN,0
2021-10-20,297.67,300.2082,296.72,269.2785,218.3411,UP,1
2021-10-21,305.69,298.7,299.08,270.6389,218.9475,UP,1
2021-10-22,307.87,305.73,302.114,271.9375,219.5216,UP,1
2021-10-25,311.2,308.0,304.092,273.2585,220.0907,UP,1
2021-10-26,315.32,313.88,307.55,274.6963,220.6738,DOWN,0
2021-10-27,310.1,316.2,310.036,276.0689,221.1948,UP,1
2021-10-28,316.34,310.94,312.166,277.5449,221.7411,UP,1
2021-10-29,318.86,315.95,314.364,279.0245,222.2861,DOWN,0
2021-11-01,318.68,319.46,315.86,280.4701,222.8242,UP,1
2021-11-02,325.87,318.51,317.97,281.9713,223.3935,UP,1
2021-11-03,327.5,328.5,321.45,283.3619,223.9572,UP,1
2021-11-04,331.9,329.0,324.562,284.7393,224.5486,UP,1
2021-11-05,338.49,333.95,328.488,286.1697,225.1542,UP,1
2021-11-08,350.17,340.55,334.786,287.6985,225.8668,UP,1
2021-11-09,352.61,353.4,340.134,289.1873,226.6448,DOWN,0
2021-11-10,337.11,348.27,342.056,290.3627,227.3343,UP,1
2021-11-11,343.62,343.17,344.4,291.7009,228.021,UP,1
2021-11-12,349.07,346.76,346.516,293.0383,228.7678,DOWN,0
2021-11-15,345.8,352.91,345.642,294.2063,229.4745,UP,1
2021-11-16,353.75,345.8,345.87,295.6232,230.1597,UP,1
2021-11-17,356.0,352.75,349.648,297.13,230.8919,UP,1
2021-11-18,365.65,358.26,354.054,298.8386,231.6514,UP,1
2021-11-19,368.78,372.5,357.996,300.8014,232.4114,DOWN,0
2021-11-22,343.86,367.07,357.608,302.3218,233.0513,DOWN,0
2021-11-23,336.11,336.6,354.08,303.528,233.6319,UP,1
2021-11-24,342.47,334.77,351.374,304.9086,234.2288,DOWN,0
2021-11-26,336.9,343.04,345.624,306.1588,234.7988,UP,1
2021-11-29,355.92,342.27,343.052,307.764,235.446,DOWN,0
2021-11-30,346.97,355.88,343.674,309.3038,236.0627,DOWN,0
2021-12-01,318.21,371.06,340.094,310.2214,236.5296,UP,1
2021-12-02,331.97,318.22,337.994,311.3068,237.0726,DOWN,0
2021-12-03,313.35,330.0,333.284,311.9734,237.5092,DOWN,0
2021-12-06,274.36,301.94,316.972,311.8608,237.8137,UP,1
2021-12-07,297.76,286.0,307.13,312.3614,238.27,UP,1
2021-12-08,311.81,298.38,305.85,313.4228,238.79,DOWN,0
2021-12-09,303.04,313.0,300.064,314.306,239.3262,UP,1
2021-12-10,305.75,303.5,298.544,315.1766,239.8298,UP,1
2021-12-13,308.54,311.1,305.38,316.0842,240.3217,DOWN,0
2021-12-14,284.34,285.44,302.696,316.7338,240.7304,UP,1
2021-12-15,307.24,282.97,301.782,317.7086,241.3274,DOWN,0
2021-12-16,295.25,305.0,300.224,318.3286,241.8992,UP,1
2021-12-17,304.87,286.71,300.048,319.0284,242.5467,UP,1
2021-12-20,305.94,298.45,299.528,319.814,243.2372,UP,1
2021-12-21,319.42,307.88,306.544,320.8484,243.9271,UP,1
2021-12-22,322.01,319.08,309.498,321.7342,244.6368,UP,1
2021-12-23,323.0,322.0,315.048,322.4614,245.3075,UP,1
2021-12-27,329.89,326.85,320.052,323.1814,246.0339,DOWN,0
2021-12-28,324.66,331.55,323.796,323.8206,246.7358,DOWN,0
2021-12-29,323.18,326.0,324.548,324.258,247.4408,UP,1
2021-12-30,324.59,323.18,325.064,324.7892,248.1371,DOWN,0
2021-12-31,321.33,324.46,324.73,325.2624,248.8527,DOWN,0
