ticker,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-05-15,6.8438,6.5703,4.8798,6.6875,6.3777,UP,1
2000-05-16,6.9063,6.75,4.8915,6.725,6.3739,DOWN,0
2000-05-17,6.6875,6.7813,4.9025,6.7719,6.3692,DOWN,0
2000-05-18,6.4844,6.6875,4.9129,6.7219,6.3589,UP,1
2000-05-19,6.5,6.3125,4.9243,6.6844,6.3464,DOWN,0
2000-05-22,6.3125,6.5,4.9354,6.5781,6.333,DOWN,0
2000-05-23,6.3125,6.2969,4.947,6.4594,6.3267,UP,1
2000-05-24,6.375,6.3125,4.9591,6.3969,6.3264,DOWN,0
2000-05-25,6.25,6.4297,4.9716,6.35,6.318,DOWN,0
2000-05-26,6.0625,6.25,4.9826,6.2625,6.2983,UP,1
2000-05-30,6.1875,5.9063,4.9934,6.2375,6.293,UP,1
2000-05-31,6.2031,6.1875,5.0038,6.2156,6.2852,DOWN,0
2000-06-01,6.125,5.8125,5.0134,6.1656,6.2723,UP,1
2000-06-02,6.3438,6.125,5.0247,6.1844,6.2639,DOWN,0
2000-06-05,6.0,6.3125,5.034,6.1719,6.2486,UP,1
2000-06-06,6.4063,5.9375,5.0453,6.2156,6.2423,UP,1
2000-06-07,6.5156,6.4531,5.0571,6.2781,6.2387,DOWN,0
2000-06-08,6.2031,6.5156,5.0673,6.2938,6.2319,DOWN,0
2000-06-09,6.125,6.25,5.0769,6.25,6.2269,DOWN,0
2000-06-12,5.625,6.2188,5.0838,6.175,6.2294,UP,1
2000-06-13,5.8438,5.8594,5.0911,6.0625,6.2297,UP,1
2000-06-14,5.9531,5.9063,5.0994,5.95,6.2341,DOWN,0
2000-06-15,5.9219,5.9375,5.1078,5.8938,6.2425,DOWN,0
2000-06-16,5.8906,5.7969,5.1159,5.8469,6.2494,DOWN,0
2000-06-19,5.875,5.9063,5.1244,5.8969,6.2484,DOWN,0
2000-06-20,5.7656,5.8594,5.1318,5.8813,6.2491,UP,1
2000-06-21,5.8438,5.7031,5.1398,5.8594,6.2563,DOWN,0
2000-06-22,5.6094,5.75,5.1467,5.7969,6.2619,DOWN,0
2000-06-23,5.6094,5.625,5.1525,5.7406,6.2653,UP,1
2000-06-26,5.7813,5.5781,5.158,5.7219,6.2697,DOWN,0
2000-06-27,5.6406,5.7656,5.1621,5.6969,6.2641,DOWN,0
2000-06-28,5.4844,5.6406,5.1644,5.625,6.2469,UP,1
