ticker,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2006-11-22,41.44,40.9,36.2819,40.144,36.0042,UP,1
2006-11-24,41.58,41.25,36.304,41.06,36.146,DOWN,0
2006-11-27,40.53,41.63,36.319,41.056,36.2408,DOWN,0
2006-11-28,40.5,40.72,36.335,40.996,36.325,UP,1
2006-11-29,40.58,40.8495,36.354,40.926,36.4138,UP,1
2006-11-30,41.18,40.48,36.3751,40.874,36.4992,DOWN,0
2006-12-01,41.11,41.12,36.3917,40.78,36.5908,UP,1
2006-12-04,42.09,40.925,36.4199,41.092,36.7108,DOWN,0
2006-12-05,41.93,42.26,36.4487,41.378,36.8166,UP,1
2006-12-06,42.3,41.6,36.4786,41.722,36.9676,DOWN,0
2006-12-07,41.75,42.519,36.5036,41.836,37.1084,UP,1
2006-12-08,42.02,41.75,36.5263,42.018,37.2582,DOWN,0
2006-12-11,41.16,41.15,36.5396,41.832,37.3858,DOWN,0
2006-12-12,41.06,41.34,36.5566,41.658,37.5366,DOWN,0
2006-12-13,41.06,41.23,36.5535,41.41,37.692,UP,1
2006-12-14,41.34,41.3,36.5544,41.328,37.8364,UP,1
2006-12-15,41.81,41.57,36.561,41.286,37.9694,DOWN,0
2006-12-18,40.63,42.0,36.5674,41.18,38.08,DOWN,0
2006-12-19,40.56,40.45,36.5739,41.08,38.1858,UP,1
2006-12-20,41.06,40.77,36.5863,41.08,38.2932,DOWN,0
2006-12-21,40.4,41.19,36.5983,40.892,38.4062,DOWN,0
2006-12-22,40.04,40.54,36.6094,40.538,38.5012,UP,1
2006-12-26,40.57,39.95,36.6231,40.526,38.6148,UP,1
2006-12-27,40.78,40.839,36.6351,40.57,38.7244,DOWN,0
2006-12-28,40.54,40.65,36.6399,40.466,38.8392,DOWN,0
2006-12-29,40.46,40.39,36.6474,40.478,38.9434,UP,1
2007-01-03,40.56,40.63,36.6537,40.582,39.056,UP,1
2007-01-04,41.33,40.69,36.6676,40.734,39.181,UP,1
2007-01-05,41.93,41.5,36.687,40.964,39.3012,DOWN,0
2007-01-08,41.8,41.9,36.7073,41.216,39.4064,UP,1
2007-01-09,42.32,42.0,36.7354,41.588,39.5154,UP,1
2007-01-10,42.72,42.26,36.7632,42.02,39.6242,UP,1
2007-01-11,43.92,42.99,36.7978,42.538,39.7784,DOWN,0
2007-01-12,43.74,43.83,36.8285,42.9,39.9106,UP,1
2007-01-16,44.2,44.03,36.8581,43.38,40.0596,UP,1
2007-01-17,44.49,44.03,36.8902,43.814,40.2242,DOWN,0
2007-01-18,43.09,44.65,36.9131,43.888,40.3656,DOWN,0
2007-01-19,42.23,42.735,36.938,43.55,40.49,UP,1
2007-01-22,42.42,42.13,36.9607,43.286,40.6176,UP,1
2007-01-23,42.7,42.21,36.9776,42.986,40.7628,UP,1
2007-01-24,42.83,43.099,36.9852,42.654,40.909,DOWN,0
2007-01-25,42.27,42.77,36.9836,42.49,41.0596,UP,1
2007-01-26,42.45,42.33,36.9824,42.534,41.215,DOWN,0
2007-01-29,42.2,42.639,36.9796,42.49,41.3522,UP,1
2007-01-30,43.38,42.35,36.9846,42.626,41.4992,UP,1
2007-01-31,43.72,43.51,36.9932,42.804,41.6412,UP,1
2007-02-01,44.26,43.74,37.0062,43.202,41.7864,UP,1
2007-02-02,44.29,44.28,37.0095,43.57,41.8612,UP,1
2007-02-05,44.72,44.4,37.0166,44.074,41.9396,DOWN,0
2007-02-06,43.72,44.72,37.0205,44.142,41.9954,DOWN,0
2007-02-07,42.29,43.68,37.0177,43.856,42.0124,DOWN,0
2007-02-08,42.26,42.21,37.0171,43.456,42.026,DOWN,0
2007-02-09,41.93,42.59,37.012,42.984,42.054,DOWN,0
2007-02-12,41.48,41.96,37.0082,42.336,42.0736,DOWN,0
2007-02-13,41.33,41.52,37.0046,41.858,42.0886,UP,1
2007-02-14,42.68,41.49,37.0078,41.936,42.1186,DOWN,0
2007-02-15,42.61,42.34,37.0135,42.006,42.1486,DOWN,0
2007-02-16,42.21,42.5,37.0221,42.062,42.151,DOWN,0
