ticker,INCY US Equity,INCY US Equity,INCY US Equity,INCY US Equity,INCY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2019-10-15,78.52,77.42,80.421,76.51,78.9094,DOWN,0
2019-10-16,78.12,78.06,80.4936,77.198,78.8192,DOWN,0
2019-10-17,77.43,78.35,80.563,77.53,78.7586,UP,1
2019-10-18,77.76,77.64,80.6115,77.858,78.6886,UP,1
2019-10-21,78.59,77.89,80.6431,78.084,78.6246,DOWN,0
2019-10-22,78.51,78.76,80.6646,78.082,78.5452,DOWN,0
2019-10-23,78.1,78.67,80.6806,78.078,78.4494,DOWN,0
2019-10-24,77.5,78.18,80.6996,78.092,78.3782,UP,1
2019-10-25,77.55,76.41,80.7117,78.05,78.317,UP,1
2019-10-28,79.86,77.79,80.7378,78.304,78.2518,UP,1
2019-10-29,83.35,80.0,80.7868,79.272,78.2284,UP,1
2019-10-30,83.66,83.06,80.8113,80.384,78.2196,UP,1
2019-10-31,83.92,83.78,80.8481,81.668,78.1766,DOWN,0
2019-11-01,83.58,84.14,80.8727,82.874,78.137,UP,1
2019-11-04,84.43,84.36,80.9027,83.788,78.1874,DOWN,0
2019-11-05,84.13,84.29,80.9367,83.944,78.2138,DOWN,0
2019-11-06,83.68,84.06,80.9791,83.948,78.2822,DOWN,0
2019-11-07,82.76,83.84,81.0079,83.716,78.3104,UP,1
2019-11-08,85.1,82.24,81.0336,84.02,78.3636,DOWN,0
2019-11-11,84.86,85.11,81.0546,84.106,78.4244,UP,1
2019-11-12,86.14,84.88,81.0889,84.508,78.546,UP,1
2019-11-13,87.43,85.95,81.1261,85.258,78.7422,DOWN,0
2019-11-14,85.79,87.56,81.1521,85.864,78.8726,UP,1
2019-11-15,86.7,86.46,81.171,86.184,79.0218,UP,1
2019-11-18,87.49,86.5,81.2005,86.71,79.1922,UP,1
2019-11-19,87.94,87.85,81.2332,87.07,79.3928,UP,1
2019-11-20,88.9,87.73,81.2706,87.364,79.6012,DOWN,0
2019-11-21,88.4,89.5,81.3134,87.886,79.8478,UP,1
2019-11-22,88.73,89.29,81.3527,88.292,80.0938,UP,1
2019-11-25,94.0,89.78,81.4217,89.594,80.407,DOWN,0
2019-11-26,93.76,94.0,81.4835,90.758,80.7002,UP,1
2019-11-27,94.12,94.41,81.5488,91.802,81.0118,UP,1
2019-11-29,94.16,94.89,81.6025,92.954,81.3326,UP,1
2019-12-02,94.47,94.82,81.6541,94.102,81.5978,DOWN,0
2019-12-03,94.1,94.2,81.7042,94.122,81.927,UP,1
2019-12-04,95.0,93.81,81.7605,94.37,82.288,DOWN,0
2019-12-05,93.99,95.14,81.8138,94.344,82.6664,UP,1
2019-12-06,94.48,94.54,81.8619,94.408,83.0808,UP,1
2019-12-09,94.79,94.6,81.9015,94.472,83.5202,UP,1
2019-12-10,95.72,94.64,81.9516,94.796,83.95,DOWN,0
2019-12-11,94.93,96.02,81.9912,94.782,84.3694,DOWN,0
2019-12-12,92.85,94.67,82.0243,94.554,84.7656,DOWN,0
2019-12-13,91.51,91.58,82.041,93.96,85.0982,UP,1
2019-12-16,92.66,91.61,82.0773,93.534,85.454,DOWN,0
2019-12-17,91.31,93.43,82.1086,92.652,85.785,DOWN,0
2019-12-18,91.18,90.84,82.1477,91.902,86.1198,DOWN,0
2019-12-19,91.14,90.9,82.1911,91.56,86.449,DOWN,0
2019-12-20,90.1,92.01,82.231,91.278,86.7356,UP,1
2019-12-23,90.16,90.68,82.261,90.778,87.0164,UP,1
2019-12-24,91.43,90.47,82.2936,90.802,87.2958,DOWN,0
2019-12-26,88.785,91.2,82.3123,90.323,87.5011,DOWN,0
2019-12-27,88.39,89.17,82.3327,89.773,87.7065,DOWN,0
2019-12-30,88.05,88.27,82.3489,89.363,87.9189,DOWN,0
2019-12-31,87.32,87.7,82.3574,88.795,88.1101,DOWN,0
2020-01-02,85.97,86.91,82.3589,87.703,88.2577,DOWN,0
2020-01-03,77.9,76.15,82.3169,85.526,88.2455,DOWN,0
2020-01-06,77.34,77.27,82.2682,83.316,88.2303,DOWN,0
2020-01-07,77.14,77.28,82.2272,81.134,88.2231,DOWN,0
2020-01-08,76.53,77.29,82.1797,78.976,88.2027,UP,1
2020-01-09,77.95,76.5,82.1339,77.372,88.1645,DOWN,0
2020-01-10,76.47,77.7,82.0861,77.086,88.0269,UP,1
2020-01-13,77.1,76.58,82.0429,77.038,87.8957,UP,1
2020-01-14,81.47,77.38,82.0202,77.904,87.8467,DOWN,0
2020-01-15,80.54,81.12,81.9932,78.706,87.7859,UP,1
2020-01-16,80.62,81.08,81.9628,79.24,87.7097,DOWN,0
2020-01-17,80.5,80.98,81.9435,80.046,87.6371,DOWN,0
2020-01-21,78.65,80.17,81.9207,80.356,87.5365,DOWN,0
2020-01-22,78.48,78.83,81.8893,79.758,87.4509,DOWN,0
2020-01-23,78.24,78.57,81.8583,79.298,87.3137,DOWN,0
2020-01-24,76.74,78.15,81.8284,78.522,87.1513,DOWN,0
2020-01-27,76.07,75.68,81.7917,77.636,86.9499,UP,1
2020-01-28,76.46,79.0,81.7687,77.198,86.7305,DOWN,0
2020-01-29,74.99,76.09,81.7466,76.5,86.5145,DOWN,0
2020-01-30,73.14,74.55,81.7216,75.48,86.2433,DOWN,0
2020-01-31,73.07,72.55,81.702,74.746,85.9549,DOWN,0
2020-02-03,72.94,73.95,81.6951,74.12,85.6549,UP,1
2020-02-04,73.88,73.73,81.6947,73.604,85.3545,UP,1
2020-02-05,76.0,74.56,81.7064,73.806,85.1065,DOWN,0
2020-02-06,75.81,76.19,81.7084,74.34,84.8481,DOWN,0
2020-02-07,74.14,75.66,81.7115,74.554,84.4509,UP,1
2020-02-10,75.11,73.66,81.7174,74.988,84.0779,UP,1
2020-02-11,76.14,75.28,81.7229,75.44,83.7183,DOWN,0
2020-02-12,75.83,76.4,81.7302,75.406,83.3517,UP,1
2020-02-13,78.05,77.6,81.7364,75.854,83.0233,UP,1
2020-02-14,78.45,78.01,81.7341,76.716,82.7103,UP,1
2020-02-18,79.3,79.0,81.7259,77.554,82.3963,UP,1
2020-02-19,82.42,79.69,81.7227,78.81,82.1649,UP,1
2020-02-20,82.77,82.0,81.7116,80.198,81.9307,DOWN,0
2020-02-21,80.89,82.28,81.6999,80.766,81.6527,DOWN,0
2020-02-24,78.87,79.88,81.68,80.85,81.3157,DOWN,0
2020-02-25,77.32,79.06,81.6565,80.454,80.9635,UP,1
2020-02-26,77.97,78.06,81.6429,79.564,80.6659,DOWN,0
2020-02-27,75.84,76.95,81.6434,78.178,80.3525,DOWN,0
2020-02-28,75.41,73.69,81.6399,77.082,80.0075,UP,1
2020-03-02,79.06,75.73,81.6552,77.12,79.7625,DOWN,0
2020-03-03,77.8,78.55,81.656,77.216,79.4949,UP,1
2020-03-04,80.16,79.15,81.6708,77.654,79.2753,DOWN,0
2020-03-05,78.61,78.35,81.6797,78.208,79.0455,DOWN,0
2020-03-06,76.04,75.18,81.6665,78.334,78.7631,DOWN,0
2020-03-09,71.09,72.47,81.6269,76.74,78.3563,UP,1
2020-03-10,74.31,72.69,81.5959,76.042,78.0668,DOWN,0
2020-03-11,71.9,72.18,81.5467,74.39,77.737,DOWN,0
2020-03-12,68.02,68.15,81.478,72.272,77.3364,UP,1
2020-03-13,73.84,69.55,81.4592,71.832,77.0668,DOWN,0
2020-03-16,71.6,67.95,81.4235,71.934,76.7794,DOWN,0
2020-03-17,70.37,73.11,81.3822,71.146,76.6288,DOWN,0
2020-03-18,66.9,67.9,81.3189,70.146,76.42,DOWN,0
2020-03-19,66.51,66.3,81.2437,69.844,76.2074,UP,1
2020-03-20,66.96,67.26,81.1734,68.468,76.016,DOWN,0
2020-03-23,63.18,67.7,81.09,66.784,75.7206,UP,1
2020-03-24,67.43,65.39,81.023,66.196,75.5398,UP,1
2020-03-25,69.59,66.75,80.9869,66.734,75.3896,UP,1
2020-03-26,73.05,68.7,80.9744,68.042,75.2212,DOWN,0
2020-03-27,68.96,71.2,80.9402,68.442,74.9896,UP,1
2020-03-30,72.17,70.2,80.9192,70.24,74.8206,UP,1
2020-03-31,73.23,71.44,80.8968,71.4,74.6752,UP,1
2020-04-01,74.18,72.05,80.8585,72.318,74.5858,UP,1
2020-04-02,77.07,73.51,80.8224,73.122,74.5576,UP,1
2020-04-03,78.59,77.59,80.791,75.048,74.5646,UP,1
2020-04-06,85.11,80.55,80.7837,77.636,74.732,UP,1
2020-04-07,86.66,86.21,80.7735,80.322,74.9438,UP,1
2020-04-08,87.75,86.74,80.7777,83.036,75.1696,DOWN,0
2020-04-09,86.81,87.34,80.7737,84.984,75.406,UP,1
2020-04-13,88.01,85.68,80.7856,86.868,75.7034,UP,1
2020-04-14,91.28,88.24,80.8184,88.102,76.0676,DOWN,0
2020-04-15,90.95,89.22,80.8483,88.96,76.4278,UP,1
2020-04-16,95.66,91.99,80.8995,90.542,76.8634,UP,1
2020-04-17,100.0,97.8276,80.9745,93.18,77.3434,UP,1
2020-04-20,101.19,99.8,81.0478,95.816,77.851,DOWN,0
2020-04-21,99.46,99.5,81.1187,97.452,78.3574,UP,1
2020-04-22,100.97,100.29,81.2085,99.456,78.8746,UP,1
2020-04-23,101.9,101.41,81.2989,100.704,79.3898,UP,1
2020-04-24,103.48,102.74,81.3975,101.4,79.9428,DOWN,0
2020-04-27,102.98,104.0,81.5062,101.758,80.4414,DOWN,0
2020-04-28,97.67,104.28,81.5941,101.4,80.8258,DOWN,0
2020-04-29,95.96,98.14,81.6669,100.398,81.159,UP,1
2020-04-30,97.66,95.69,81.7558,99.55,81.4638,DOWN,0
2020-05-01,97.3,97.25,81.8412,98.314,81.7544,UP,1
2020-05-04,100.99,97.71,81.9396,97.916,82.1564,DOWN,0
2020-05-05,98.82,99.35,82.031,98.146,82.5554,DOWN,0
2020-05-06,96.08,96.84,82.1028,98.17,82.9306,UP,1
2020-05-07,96.47,97.16,82.1926,97.932,83.3006,DOWN,0
2020-05-08,95.92,96.88,82.2765,97.656,83.7022,UP,1
2020-05-11,99.33,96.09,82.3791,97.324,84.1806,DOWN,0
2020-05-12,96.74,100.0,82.4621,96.908,84.5342,DOWN,0
2020-05-13,96.45,96.98,82.543,96.982,84.9072,DOWN,0
2020-05-14,94.83,95.85,82.59,96.654,85.2006,UP,1
2020-05-15,96.12,94.09,82.646,96.694,85.5508,UP,1
2020-05-18,96.46,97.88,82.7041,96.12,85.9592,DOWN,0
2020-05-19,94.92,97.33,82.7613,95.756,86.4358,UP,1
2020-05-20,98.32,95.43,82.8483,96.13,86.916,UP,1
2020-05-21,98.68,98.49,82.9286,96.9,87.4516,UP,1
2020-05-22,99.37,97.67,83.0231,97.55,88.0786,DOWN,0
2020-05-26,98.68,100.41,83.1102,97.994,88.5754,DOWN,0
2020-05-27,98.22,98.73,83.1924,98.654,89.1078,UP,1
2020-05-28,100.55,98.36,83.2827,99.1,89.7114,UP,1
2020-05-29,101.91,101.21,83.3778,99.746,90.4116,DOWN,0
2020-06-01,101.75,101.7,83.4813,100.222,91.1164,DOWN,0
2020-06-02,100.9,101.12,83.5827,100.666,91.7952,DOWN,0
2020-06-03,98.83,100.81,83.6613,100.788,92.5082,DOWN,0
2020-06-04,93.8,98.19,83.7077,99.438,93.0356,DOWN,0
2020-06-05,93.51,93.17,83.7547,97.758,93.514,UP,1
2020-06-08,94.58,91.87,83.7973,96.324,93.9446,DOWN,0
2020-06-09,93.0,95.09,83.8345,94.744,94.4254,UP,1
2020-06-10,93.04,94.19,83.8901,93.586,94.8428,DOWN,0
2020-06-11,90.81,93.39,83.9301,92.988,95.1944,UP,1
2020-06-12,92.07,92.35,83.9892,92.7,95.5522,UP,1
2020-06-15,93.51,90.49,84.05,92.486,95.881,UP,1
2020-06-16,95.53,94.45,84.1154,92.992,96.2198,UP,1
2020-06-17,96.28,96.24,84.1877,93.64,96.4432,UP,1
2020-06-18,97.36,96.28,84.2742,94.95,96.6572,UP,1
2020-06-19,105.4,98.34,84.4131,97.616,97.0102,UP,1
2020-06-22,108.93,104.84,84.5614,100.7,97.4526,DOWN,0
2020-06-23,106.52,109.46,84.6978,102.898,97.8228,DOWN,0
2020-06-24,104.33,105.65,84.8246,104.508,98.0838,UP,1
2020-06-25,105.95,105.08,84.9648,106.226,98.3838,DOWN,0
2020-06-26,101.43,105.3,85.0796,105.432,98.4992,UP,1
2020-06-29,102.48,101.48,85.2116,104.142,98.5488,UP,1
2020-06-30,103.97,102.53,85.3493,103.632,98.6044,DOWN,0
2020-07-01,102.65,103.99,85.4709,103.296,98.6682,UP,1
2020-07-02,106.47,102.82,85.6077,103.4,98.7782,UP,1
2020-07-06,107.79,106.58,85.754,104.672,98.896,UP,1
2020-07-07,108.65,107.73,85.9066,105.906,98.9994,DOWN,0
2020-07-08,108.27,108.56,86.0419,106.766,99.1052,DOWN,0
2020-07-09,107.87,108.0,86.1931,107.81,99.3092,DOWN,0
2020-07-10,104.76,107.74,86.3321,107.468,99.4852,DOWN,0
2020-07-13,100.56,104.52,86.4596,106.022,99.5432,UP,1
2020-07-14,103.02,100.2,86.6059,104.896,99.6576,UP,1
2020-07-15,104.25,103.26,86.763,104.092,99.7228,DOWN,0
2020-07-16,101.58,103.83,86.8998,102.834,99.778,UP,1
2020-07-17,104.11,102.32,87.0505,102.704,99.9386,UP,1
2020-07-20,109.69,105.19,87.2338,104.53,100.203,DOWN,0
2020-07-21,106.65,109.67,87.3926,105.256,100.4176,DOWN,0
2020-07-22,105.37,107.06,87.5451,105.48,100.5384,DOWN,0
2020-07-23,101.68,106.33,87.6797,105.5,100.6372,DOWN,0
2020-07-24,99.42,100.72,87.8046,104.562,100.6966,UP,1
2020-07-27,102.09,100.15,87.9417,103.042,100.8418,DOWN,0
2020-07-28,100.61,101.76,88.0659,101.834,100.9316,DOWN,0
2020-07-29,98.04,101.09,88.1755,100.368,100.9632,UP,1
2020-07-30,100.51,97.32,88.2907,100.134,101.075,DOWN,0
2020-07-31,98.76,100.3892,88.3919,100.002,101.0838,UP,1
2020-08-03,101.79,100.95,88.5103,99.942,101.146,DOWN,0
2020-08-04,99.95,101.0,88.6229,99.81,101.1576,DOWN,0
2020-08-05,97.62,100.0,88.7222,99.726,101.1364,DOWN,0
2020-08-06,97.25,97.8,88.8155,99.074,101.117,DOWN,0
2020-08-07,96.93,97.25,88.9076,98.708,101.0446,DOWN,0
2020-08-10,94.32,96.76,88.9887,97.214,100.8928,DOWN,0
2020-08-11,92.98,94.12,89.0661,95.82,100.7174,UP,1
2020-08-12,94.22,93.05,89.1494,95.14,100.5838,UP,1
2020-08-13,95.56,94.59,89.2279,94.802,100.5184,DOWN,0
2020-08-14,94.87,95.62,89.2855,94.39,100.5398,UP,1
2020-08-17,97.48,95.3,89.3546,95.022,100.6192,UP,1
2020-08-18,97.56,97.51,89.4228,95.938,100.6788,DOWN,0
2020-08-19,96.27,96.96,89.4863,96.348,100.7442,DOWN,0
2020-08-20,95.53,96.05,89.5418,96.342,100.794,DOWN,0
2020-08-21,94.11,95.5,89.5917,96.19,100.86,DOWN,0
2020-08-24,94.04,94.56,89.6435,95.502,100.8994,UP,1
2020-08-25,95.31,94.04,89.7062,95.052,100.9354,DOWN,0
2020-08-26,93.75,94.02,89.7495,94.548,100.8998,UP,1
2020-08-27,94.3,94.41,89.7967,94.302,100.8602,DOWN,0
2020-08-28,93.9,94.13,89.8355,94.26,100.791,UP,1
2020-08-31,96.35,93.79,89.8801,94.722,100.61,DOWN,0
2020-09-01,92.97,95.62,89.916,94.254,100.2908,UP,1
