ticker,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-07-25,73.21,71.59,72.024,68.0756,63.2787,UP,1
2016-07-26,73.79,73.08,72.586,68.3224,63.3712,UP,1
2016-07-27,73.94,74.33,72.912,68.544,63.4659,DOWN,0
2016-07-28,73.27,73.79,73.258,68.7676,63.5563,DOWN,0
2016-07-29,72.72,73.28,73.386,68.9618,63.6476,UP,1
2016-08-01,72.83,72.67,73.31,69.176,63.7303,DOWN,0
2016-08-02,71.2,72.79,72.792,69.3176,63.8005,UP,1
2016-08-03,71.81,70.9,72.366,69.4464,63.8748,UP,1
2016-08-04,72.28,71.86,72.168,69.5542,63.949,UP,1
2016-08-05,72.98,72.81,72.22,69.676,64.0284,DOWN,0
2016-08-08,72.86,73.2,72.226,69.776,64.1135,UP,1
2016-08-09,73.71,72.76,72.728,69.8798,64.1933,DOWN,0
2016-08-10,73.28,73.66,73.022,69.9788,64.266,UP,1
2016-08-11,73.37,73.58,73.24,70.0718,64.344,UP,1
2016-08-12,73.55,73.11,73.354,70.169,64.4035,UP,1
2016-08-15,74.62,73.58,73.706,70.2874,64.4617,DOWN,0
2016-08-16,73.76,74.26,73.716,70.3872,64.5218,DOWN,0
2016-08-17,73.76,73.48,73.812,70.458,64.5785,UP,1
2016-08-18,74.29,73.52,73.996,70.5312,64.636,UP,1
2016-08-19,75.01,74.22,74.288,70.6164,64.6971,UP,1
2016-08-22,75.6,74.86,74.484,70.747,64.7606,UP,1
2016-08-23,75.91,76.16,74.914,70.8932,64.8246,DOWN,0
2016-08-24,75.02,75.85,75.166,71.0186,64.8776,UP,1
2016-08-25,75.29,75.06,75.366,71.1452,64.934,UP,1
2016-08-26,76.69,75.8,75.702,71.3008,64.9994,DOWN,0
2016-08-29,76.17,76.63,75.816,71.4662,65.0612,UP,1
2016-08-30,76.37,76.23,75.908,71.626,65.1263,UP,1
2016-08-31,76.72,76.35,76.248,71.7958,65.1971,UP,1
2016-09-01,77.66,76.65,76.722,71.9856,65.2678,DOWN,0
2016-09-02,77.37,78.05,76.858,72.1352,65.3326,DOWN,0
2016-09-06,76.65,77.83,76.954,72.3442,65.3838,UP,1
2016-09-07,76.68,76.5,77.016,72.6118,65.4379,DOWN,0
2016-09-08,75.56,76.33,76.784,72.796,65.4826,DOWN,0
2016-09-09,73.42,74.93,75.936,72.926,65.5187,UP,1
2016-09-12,75.38,73.42,75.538,73.0672,65.5589,DOWN,0
2016-09-13,74.69,75.03,75.146,73.209,65.593,DOWN,0
2016-09-14,74.66,74.8,74.742,73.38,65.6272,UP,1
2016-09-15,75.21,74.79,74.672,73.5538,65.6616,UP,1
2016-09-16,75.62,75.78,75.112,73.7176,65.6953,UP,1
2016-09-19,75.96,76.21,75.228,73.8602,65.7386,DOWN,0
2016-09-20,75.57,76.17,75.404,73.9754,65.7837,UP,1
2016-09-21,76.45,75.88,75.762,74.0902,65.8301,UP,1
2016-09-22,77.36,77.26,76.192,74.2308,65.8835,DOWN,0
2016-09-23,76.53,77.07,76.374,74.3492,65.935,DOWN,0
