ticker,APD US Equity,APD US Equity,APD US Equity,APD US Equity,APD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-04-26,28.4863,28.6596,28.5623,28.2667,25.9219,DOWN,0
2000-04-27,28.4285,28.1396,28.5123,28.7983,25.9543,UP,1
2000-04-28,28.7174,27.7351,28.4649,29.0179,26.0109,UP,1
2000-05-01,29.1797,28.4863,28.4401,29.0179,26.0675,UP,1
2000-05-02,29.6419,28.9485,28.4221,28.8907,26.16,DOWN,0
2000-05-03,28.2552,29.2374,28.395,28.8445,26.2108,UP,1
2000-05-04,28.6596,29.0641,28.3736,28.8907,26.2813,UP,1
2000-05-05,29.0063,28.1974,28.356,28.9485,26.3738,DOWN,0
2000-05-08,28.8908,28.8908,28.336,28.8907,26.4685,DOWN,0
2000-05-09,28.024,28.6596,28.315,28.5672,26.546,UP,1
2000-05-10,28.833,28.1396,28.2988,28.6827,26.6465,UP,1
2000-05-11,32.1265,30.5086,28.3014,29.3761,26.8095,UP,1
2000-05-12,33.051,30.9709,28.3129,30.1851,26.999,DOWN,0
2000-05-15,32.1843,31.8954,28.3193,30.8438,27.1561,DOWN,0
2000-05-16,31.4909,32.8199,28.3138,31.5371,27.3179,UP,1
2000-05-17,31.6643,31.4909,28.31,32.1034,27.504,UP,1
2000-05-18,32.3287,31.6643,28.3142,32.1438,27.6918,UP,1
2000-05-19,33.2821,32.1265,28.3212,32.1901,27.8986,UP,1
2000-05-22,33.8311,33.5133,28.3311,32.5194,28.1142,UP,1
2000-05-23,35.709,33.86,28.3519,33.363,28.3719,DOWN,0
2000-05-24,34.4956,35.8245,28.3672,33.9293,28.6018,DOWN,0
2000-05-25,32.8777,34.2066,28.3765,34.0391,28.7532,DOWN,0
2000-05-26,31.8376,32.3576,28.3837,33.7502,28.8411,UP,1
2000-05-30,32.011,31.8954,28.3831,33.3862,28.9716,DOWN,0
2000-05-31,32.011,32.4732,28.3826,32.6465,29.0941,UP,1
2000-06-01,33.5711,32.011,28.3875,32.4616,29.2386,UP,1
2000-06-02,33.6866,33.5711,28.3933,32.6234,29.4119,DOWN,0
2000-06-05,33.2821,33.7444,28.3961,32.9123,29.5541,DOWN,0
2000-06-06,32.531,32.8199,28.3895,33.0163,29.6696,DOWN,0
2000-06-07,31.8954,32.1265,28.3829,32.9932,29.791,DOWN,0
2000-06-08,31.202,31.7798,28.373,32.5194,29.8961,DOWN,0
2000-06-09,31.202,31.3176,28.3632,32.0225,29.9944,DOWN,0
2000-06-12,31.1442,32.011,28.3525,31.5949,30.0857,DOWN,0
2000-06-13,31.1442,31.8954,28.345,31.3176,30.1827,UP,1
2000-06-14,31.8376,31.0287,28.345,31.306,30.2625,UP,1
2000-06-15,32.1843,32.7043,28.3488,31.5025,30.3561,DOWN,0
2000-06-16,32.1265,31.6643,28.3502,31.6874,30.4497,DOWN,0
2000-06-19,31.5487,32.0687,28.3502,31.7683,30.5341,DOWN,0
2000-06-20,29.8153,31.3176,28.3401,31.5025,30.5895,DOWN,0
2000-06-21,28.8908,29.4686,28.3265,30.9131,30.623,UP,1
2000-06-22,29.0641,28.9485,28.3147,30.2891,30.6323,DOWN,0
2000-06-23,28.6596,29.1797,28.2991,29.5957,30.6196,UP,1
2000-06-26,28.7752,29.2374,28.2826,29.041,30.6392,UP,1
2000-06-27,30.682,29.0063,28.2757,29.2143,30.7178,UP,1
2000-06-28,30.7651,30.1619,28.2746,29.5892,30.7807,DOWN,0
