ticker,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-06-21,155.72,154.52,149.05,144.7508,138.8175,UP,1
2021-06-22,159.06,155.96,152.394,145.0414,139.0601,UP,1
2021-06-23,161.53,158.82,156.096,145.349,139.338,UP,1
2021-06-24,164.27,162.6,158.9,145.7508,139.6491,DOWN,0
2021-06-25,161.99,165.47,160.514,146.0612,139.9312,DOWN,0
2021-06-28,161.53,161.14,161.676,146.3858,140.2116,UP,1
2021-06-29,162.28,160.5,162.32,146.7114,140.5047,DOWN,0
2021-06-30,161.25,162.27,162.264,147.142,140.7697,DOWN,0
2021-07-01,159.48,160.6,161.306,147.5106,141.0122,UP,1
2021-07-02,161.4,160.41,161.188,147.869,141.2777,DOWN,0
2021-07-06,161.24,161.35,161.13,148.1136,141.5461,DOWN,0
2021-07-07,157.69,162.49,160.212,148.2174,141.7925,UP,1
2021-07-08,158.25,155.81,159.612,148.2264,142.0495,UP,1
2021-07-09,162.63,159.76,160.242,148.2964,142.3301,UP,1
2021-07-12,162.84,163.21,160.53,148.4222,142.6298,UP,1
2021-07-13,164.61,162.75,161.204,148.6018,142.9357,DOWN,0
2021-07-14,161.53,165.25,161.972,148.8636,143.2146,UP,1
2021-07-15,162.83,162.1,162.888,149.3416,143.4858,DOWN,0
2021-07-16,161.17,163.17,162.596,149.6916,143.7461,DOWN,0
2021-07-19,153.33,159.4,160.694,149.959,143.9595,UP,1
2021-07-20,153.77,153.51,158.526,150.1106,144.1473,UP,1
2021-07-21,159.7,154.3,158.16,150.4684,144.3861,UP,1
2021-07-22,160.5,159.29,157.694,150.7504,144.6183,UP,1
2021-07-23,165.86,161.18,158.632,151.2352,144.8766,DOWN,0
2021-07-26,164.23,165.18,160.812,151.7518,145.1252,DOWN,0
2021-07-27,162.18,164.57,162.494,152.1516,145.3689,UP,1
2021-07-28,163.62,162.91,163.278,152.6242,145.6251,DOWN,0
2021-07-29,163.4,163.7,163.858,153.155,145.8906,DOWN,0
2021-07-30,159.27,161.44,162.54,153.5636,146.1311,UP,1
2021-08-02,161.34,161.05,161.962,153.9348,146.389,DOWN,0
2021-08-03,158.47,162.45,161.22,154.2378,146.6255,DOWN,0
2021-08-04,150.57,152.1,158.61,154.3032,146.8173,DOWN,0
2021-08-05,146.42,149.88,155.214,154.3464,146.9844,DOWN,0
2021-08-06,145.79,146.4,152.518,154.3694,147.139,DOWN,0
2021-08-09,141.13,145.4,148.476,154.3318,147.2544,DOWN,0
2021-08-10,139.0,141.41,144.582,154.2442,147.3658,UP,1
2021-08-11,140.45,140.77,142.558,154.1888,147.4665,DOWN,0
2021-08-12,139.1,139.9,141.094,154.1822,147.5657,DOWN,0
2021-08-13,136.25,138.97,139.186,154.171,147.6181,DOWN,0
2021-08-16,134.71,135.09,137.902,154.1066,147.699,DOWN,0
2021-08-17,130.97,133.92,136.296,153.8564,147.7433,UP,1
2021-08-18,133.73,131.15,134.952,153.674,147.828,DOWN,0
2021-08-19,133.55,131.455,133.842,153.5096,147.9009,DOWN,0
2021-08-20,132.66,133.4,133.124,153.3252,147.956,UP,1
2021-08-23,136.53,133.5,133.488,153.2244,147.9952,UP,1
2021-08-24,140.16,137.4,135.326,153.1504,148.0212,DOWN,0
2021-08-25,136.93,138.4,135.966,153.0422,148.043,DOWN,0
2021-08-26,136.74,137.21,136.604,152.9166,148.0406,UP,1
2021-08-27,141.0,136.74,138.272,152.7316,148.0845,DOWN,0
2021-08-30,139.53,140.76,138.872,152.4438,148.1151,DOWN,0
2021-08-31,137.44,139.94,138.328,152.0782,148.146,UP,1
2021-09-01,138.62,139.06,138.666,151.6694,148.1811,UP,1
2021-09-02,147.11,143.09,140.74,151.381,148.2425,UP,1
2021-09-03,148.19,145.34,142.178,151.0594,148.3267,UP,1
2021-09-07,159.36,161.01,146.144,151.0068,148.4668,DOWN,0
2021-09-08,158.29,158.73,150.314,150.942,148.5967,DOWN,0
2021-09-09,157.71,157.13,154.132,150.8506,148.7324,UP,1
2021-09-10,164.38,158.54,157.586,150.9132,148.8631,DOWN,0
2021-09-13,162.01,165.16,160.35,150.9638,148.9798,DOWN,0
2021-09-14,157.36,161.72,159.95,150.883,149.0716,UP,1
2021-09-15,158.89,157.795,160.07,150.836,149.1679,UP,1
2021-09-16,160.06,158.15,160.54,150.8834,149.2721,DOWN,0
2021-09-17,157.14,160.59,159.092,150.8612,149.3413,DOWN,0
2021-09-20,151.46,155.96,156.982,150.6378,149.4039,UP,1
2021-09-21,151.92,152.0,155.894,150.4194,149.4628,UP,1
2021-09-22,153.65,151.5,154.846,150.2002,149.5041,UP,1
2021-09-23,154.77,154.51,153.788,150.065,149.5476,UP,1
2021-09-24,160.91,154.46,154.542,150.0266,149.6251,UP,1
2021-09-27,164.64,159.55,157.178,150.096,149.7307,DOWN,0
2021-09-28,156.49,162.94,158.092,150.1592,149.7765,DOWN,0
2021-09-29,152.38,158.22,157.838,150.1314,149.7979,UP,1
2021-09-30,156.99,152.94,158.282,150.0772,149.8588,UP,1
2021-10-01,158.63,157.25,157.826,150.0398,149.8977,DOWN,0
2021-10-04,152.65,157.87,155.428,149.7756,149.8915,UP,1
2021-10-05,154.5,153.57,155.03,149.581,149.9202,UP,1
2021-10-06,157.31,152.1,156.016,149.4836,149.9314,UP,1
2021-10-07,159.93,158.61,156.604,149.4098,149.9603,DOWN,0
2021-10-08,157.54,160.17,156.386,149.2926,149.9674,DOWN,0
2021-10-11,155.64,156.44,156.984,149.22,149.9787,UP,1
2021-10-12,158.8,155.96,157.844,149.1692,150.0123,UP,1
2021-10-13,158.96,160.11,158.174,149.179,150.0567,DOWN,0
2021-10-14,157.01,161.21,157.59,149.3078,150.0906,UP,1
2021-10-15,160.02,157.99,158.086,149.5798,150.1307,DOWN,0
2021-10-18,158.23,159.02,158.604,149.8286,150.1659,UP,1
2021-10-19,160.69,159.0,158.982,150.2198,150.2198,DOWN,0
2021-10-20,159.16,161.52,159.022,150.623,150.2641,UP,1
2021-10-21,175.53,158.97,162.726,151.3246,150.3977,DOWN,0
2021-10-22,169.32,172.43,164.586,151.929,150.48,DOWN,0
2021-10-25,167.65,168.045,166.47,152.557,150.5593,DOWN,0
2021-10-26,163.2,167.9,166.972,153.1268,150.6158,DOWN,0
2021-10-27,158.46,162.86,166.832,153.6766,150.6403,DOWN,0
2021-10-28,156.06,159.125,162.938,154.1232,150.6455,DOWN,0
2021-10-29,150.78,155.86,159.23,154.4678,150.6541,UP,1
2021-11-01,154.09,150.8,156.518,154.8964,150.6703,DOWN,0
2021-11-02,148.55,152.86,153.588,155.1368,150.6824,UP,1
2021-11-03,152.94,148.55,152.484,155.3924,150.7089,UP,1
2021-11-04,156.98,152.05,152.668,155.7934,150.7714,UP,1
2021-11-05,160.73,158.0,154.658,156.2732,150.87,DOWN,0
2021-11-08,155.91,160.48,155.022,156.5714,150.9525,DOWN,0
2021-11-09,155.59,156.72,156.43,156.8926,151.0383,DOWN,0
2021-11-10,154.05,154.13,156.652,157.2248,151.1508,DOWN,0
