ticker,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-05-10,14.345,14.075,14.2003,14.106,13.484,UP,1
2001-05-11,14.4,14.375,14.1977,14.169,13.472,UP,1
2001-05-14,14.435,14.35,14.1962,14.261,13.4632,UP,1
2001-05-15,14.945,14.25,14.196,14.426,13.4665,UP,1
2001-05-16,14.995,14.925,14.1913,14.624,13.4631,UP,1
2001-05-17,15.475,14.905,14.1939,14.85,13.4626,UP,1
2001-05-18,15.495,15.045,14.1983,15.069,13.4675,UP,1
2001-05-21,15.64,15.29,14.2039,15.31,13.4766,DOWN,0
2001-05-22,15.085,15.6,14.207,15.338,13.4926,DOWN,0
2001-05-23,14.65,14.645,14.2077,15.269,13.5031,UP,1
2001-05-24,15.005,14.75,14.2118,15.175,13.5393,DOWN,0
2001-05-25,14.95,15.005,14.2139,15.066,13.584,DOWN,0
2001-05-29,14.76,14.8625,14.2138,14.89,13.6429,DOWN,0
2001-05-30,14.5,14.765,14.2111,14.773,13.6742,UP,1
2001-05-31,14.925,14.715,14.2106,14.828,13.6995,DOWN,0
2001-06-01,14.38,15.0,14.2105,14.703,13.7145,UP,1
2001-06-04,14.605,14.505,14.2082,14.634,13.736,UP,1
2001-06-05,14.925,14.565,14.2065,14.667,13.7568,DOWN,0
2001-06-06,14.49,14.875,14.2025,14.665,13.7672,UP,1
2001-06-07,14.61,14.495,14.1998,14.602,13.7888,UP,1
2001-06-08,14.725,14.605,14.1999,14.671,13.8272,DOWN,0
2001-06-11,14.5,14.825,14.2003,14.65,13.8541,UP,1
2001-06-12,14.775,14.5,14.1998,14.62,13.8758,DOWN,0
2001-06-13,14.68,14.835,14.196,14.658,13.9051,UP,1
