ticker,LW US Equity,LW US Equity,LW US Equity,LW US Equity,LW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-08-23,45.59,45.57,45.468,44.4856,40.7085,DOWN,0
2017-08-24,45.0,45.61,45.394,44.4738,40.7684,UP,1
2017-08-25,45.04,45.06,45.348,44.4682,40.8236,DOWN,0
2017-08-28,44.88,45.19,45.234,44.4644,40.8888,UP,1
2017-08-29,45.07,44.78,45.116,44.4548,40.9625,UP,1
2017-08-30,45.17,45.11,45.032,44.4436,41.0389,UP,1
2017-08-31,45.48,45.11,45.128,44.4368,41.1154,UP,1
2017-09-01,45.99,45.72,45.318,44.4448,41.1932,DOWN,0
2017-09-05,45.74,46.05,45.49,44.4484,41.2634,DOWN,0
2017-09-06,45.32,45.74,45.54,44.448,41.3274,DOWN,0
2017-09-07,45.28,45.39,45.562,44.4598,41.3904,UP,1
2017-09-08,45.44,45.21,45.554,44.4612,41.4589,UP,1
2017-09-11,45.63,45.67,45.482,44.4912,41.5236,UP,1
2017-09-12,46.0,45.67,45.534,44.5304,41.5885,UP,1
2017-09-13,46.55,46.04,45.78,44.5842,41.6583,DOWN,0
2017-09-14,46.07,46.49,45.938,44.6402,41.7249,UP,1
2017-09-15,46.39,46.16,46.128,44.71,41.7909,DOWN,0
2017-09-18,46.28,46.3,46.258,44.7736,41.8549,UP,1
2017-09-19,46.39,46.29,46.336,44.8466,41.9243,UP,1
2017-09-20,46.65,46.37,46.356,44.9038,41.9926,DOWN,0
2017-09-21,45.86,46.72,46.314,44.941,42.0537,DOWN,0
2017-09-22,45.38,45.98,46.112,44.9732,42.1115,DOWN,0
2017-09-25,45.17,45.36,45.89,45.0036,42.1636,UP,1
2017-09-26,45.53,45.26,45.718,45.0344,42.2116,UP,1
2017-09-27,46.04,45.83,45.596,45.0726,42.2599,UP,1
2017-09-28,46.58,45.98,45.74,45.1166,42.3091,UP,1
2017-09-29,46.89,46.46,46.042,45.1688,42.3607,UP,1
2017-10-02,47.54,46.8,46.516,45.2196,42.4226,DOWN,0
2017-10-03,47.17,47.54,46.844,45.268,42.4866,UP,1
2017-10-04,48.41,48.67,47.318,45.3226,42.5523,UP,1
2017-10-05,48.59,48.84,47.72,45.4088,42.6229,UP,1
2017-10-06,49.13,48.59,48.168,45.5142,42.6938,DOWN,0
2017-10-09,48.83,49.14,48.426,45.6144,42.7628,UP,1
2017-10-10,49.04,49.09,48.8,45.7156,42.8264,UP,1
2017-10-11,49.37,49.05,48.992,45.8222,42.889,UP,1
2017-10-12,49.7,49.36,49.214,45.941,42.9508,UP,1
2017-10-13,50.0,49.89,49.388,46.0766,43.0146,UP,1
2017-10-16,50.69,50.0,49.76,46.218,43.0792,DOWN,0
2017-10-17,50.22,50.55,49.996,46.3452,43.1411,UP,1
2017-10-18,50.56,50.38,50.234,46.4852,43.2064,DOWN,0
2017-10-19,50.3,50.47,50.354,46.621,43.273,UP,1
2017-10-20,50.63,50.41,50.48,46.7468,43.3431,UP,1
2017-10-23,50.9,50.61,50.522,46.8686,43.4134,DOWN,0
2017-10-24,50.72,50.66,50.622,46.9868,43.4826,DOWN,0
2017-10-25,50.62,51.05,50.634,47.0988,43.5515,DOWN,0
2017-10-26,50.6,50.65,50.694,47.2036,43.62,UP,1
2017-10-27,50.82,50.61,50.732,47.3126,43.6893,DOWN,0
2017-10-30,50.38,50.7,50.628,47.4148,43.7551,UP,1
2017-10-31,50.99,50.53,50.682,47.5256,43.8256,UP,1
2017-11-01,51.35,51.02,50.828,47.6394,43.8992,UP,1
2017-11-02,51.8,51.1,51.068,47.7636,43.9734,UP,1
2017-11-03,52.12,51.73,51.328,47.906,44.0484,DOWN,0
2017-11-06,52.06,52.4,51.664,48.0464,44.1249,DOWN,0
2017-11-07,51.66,52.19,51.798,48.182,44.1957,UP,1
2017-11-08,52.39,51.73,52.006,48.3284,44.2743,DOWN,0
2017-11-09,51.62,52.2,51.97,48.4574,44.3508,UP,1
2017-11-10,51.96,51.36,51.938,48.587,44.4284,UP,1
2017-11-13,52.78,51.88,52.082,48.7228,44.5084,UP,1
2017-11-14,53.39,52.71,52.428,48.8758,44.5885,DOWN,0
2017-11-15,52.74,53.29,52.498,49.0242,44.6634,UP,1
2017-11-16,53.45,52.98,52.864,49.1876,44.7385,DOWN,0
2017-11-17,53.21,53.21,53.114,49.343,44.8101,UP,1
2017-11-20,53.69,53.21,53.296,49.5042,44.8823,UP,1
2017-11-21,53.74,53.73,53.366,49.659,44.954,UP,1
2017-11-22,54.25,53.74,53.668,49.813,45.0294,UP,1
2017-11-24,54.44,54.4,53.866,49.9804,45.1062,DOWN,0
2017-11-27,54.03,54.43,54.03,50.1332,45.18,DOWN,0
2017-11-28,54.03,54.08,54.098,50.2882,45.253,DOWN,0
2017-11-29,53.95,53.98,54.14,50.4394,45.3245,UP,1
2017-11-30,54.37,53.94,54.164,50.5938,45.3983,UP,1
2017-12-01,54.86,54.5,54.248,50.7738,45.4731,UP,1
2017-12-04,54.95,55.01,54.432,50.9652,45.5497,DOWN,0
2017-12-05,54.45,55.1,54.516,51.1508,45.6239,DOWN,0
2017-12-06,54.45,54.45,54.616,51.3292,45.6969,UP,1
2017-12-07,54.98,54.25,54.738,51.508,45.7743,UP,1
2017-12-08,56.2,55.05,55.006,51.7004,45.8574,UP,1
2017-12-11,56.88,56.15,55.392,51.9002,45.9444,DOWN,0
2017-12-12,55.75,56.98,55.652,52.0644,46.0272,UP,1
2017-12-13,55.8,55.9,55.922,52.237,46.1064,DOWN,0
2017-12-14,55.45,55.71,56.016,52.3778,46.1826,UP,1
2017-12-15,55.5,55.32,55.876,52.516,46.2581,UP,1
2017-12-18,56.12,55.65,55.724,52.6558,46.3366,DOWN,0
2017-12-19,55.85,56.33,55.744,52.7962,46.4121,UP,1
2017-12-20,55.98,56.03,55.78,52.935,46.4884,DOWN,0
2017-12-21,55.43,56.04,55.776,53.0562,46.5607,UP,1
2017-12-22,55.82,55.68,55.84,53.1786,46.6328,DOWN,0
2017-12-26,55.18,55.81,55.652,53.2822,46.701,UP,1
2017-12-27,55.46,55.33,55.574,53.3776,46.7673,UP,1
2017-12-28,55.86,55.63,55.55,53.4904,46.8348,UP,1
2017-12-29,56.45,55.92,55.754,53.6082,46.9071,DOWN,0
2018-01-02,55.37,56.49,55.664,53.7096,46.9727,UP,1
2018-01-03,56.06,55.6,55.84,53.8182,47.0406,UP,1
2018-01-04,57.22,55.55,56.192,53.9446,47.1123,UP,1
2018-01-05,57.7,57.24,56.56,54.0842,47.1886,UP,1
2018-01-08,58.56,57.82,56.982,54.243,47.2664,DOWN,0
2018-01-09,58.04,58.49,57.516,54.3918,47.3432,DOWN,0
2018-01-10,57.87,58.26,57.878,54.5328,47.4178,UP,1
2018-01-11,58.0,58.02,58.034,54.6852,47.4932,UP,1
2018-01-12,58.28,57.99,58.15,54.831,47.5714,UP,1
