ticker,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2005-11-07,38.67,37.8,36.278,33.7786,39.0707,DOWN,0
2005-11-08,37.72,38.42,37.044,33.808,39.0488,UP,1
2005-11-09,38.12,37.64,37.718,33.8562,39.0291,UP,1
2005-11-10,40.59,38.2,38.552,33.9622,39.0218,UP,1
2005-11-11,40.79,40.5,39.178,34.0644,39.0148,UP,1
2005-11-14,41.39,40.79,39.722,34.1774,39.0047,DOWN,0
2005-11-15,40.14,40.25,40.206,34.2586,38.9892,DOWN,0
2005-11-16,39.89,39.84,40.56,34.2866,38.963,UP,1
2005-11-17,41.58,40.0,40.758,34.3492,38.9421,UP,1
2005-11-18,41.89,41.58,40.978,34.4286,38.9135,UP,1
2005-11-21,44.48,41.76,41.596,34.5782,38.8911,UP,1
2005-11-22,45.03,44.48,42.574,34.7586,38.8812,UP,1
2005-11-23,45.83,45.09,43.762,34.9692,38.8738,DOWN,0
2005-11-25,45.41,45.84,44.528,35.1796,38.8631,DOWN,0
2005-11-28,44.65,45.41,45.08,35.3728,38.8511,DOWN,0
2005-11-29,42.8,42.5,44.744,35.5556,38.825,DOWN,0
2005-11-30,41.71,42.8,44.08,35.7132,38.7796,DOWN,0
2005-12-01,41.5,41.75,43.214,35.9036,38.7385,DOWN,0
2005-12-02,40.84,41.03,42.3,36.0744,38.692,DOWN,0
2005-12-05,40.07,40.59,41.384,36.2282,38.6471,UP,1
2005-12-06,40.45,40.11,40.914,36.4036,38.6112,UP,1
2005-12-07,40.91,40.45,40.754,36.5888,38.5788,UP,1
2005-12-08,41.2,40.85,40.694,36.7604,38.5482,DOWN,0
2005-12-09,40.21,40.8,40.568,36.9024,38.5068,UP,1
2005-12-12,40.79,40.34,40.712,37.06,38.4712,DOWN,0
2005-12-13,39.64,40.35,40.55,37.1912,38.4193,DOWN,0
2005-12-14,39.56,39.64,40.28,37.312,38.3672,DOWN,0
2005-12-15,38.86,39.53,39.812,37.4298,38.313,DOWN,0
2005-12-16,38.73,39.09,39.516,37.5678,38.265,DOWN,0
2005-12-19,38.47,38.78,39.052,37.6862,38.2084,UP,1
2005-12-20,39.12,38.7,38.948,37.8422,38.1672,UP,1
2005-12-21,40.29,39.44,39.094,38.0284,38.1432,UP,1
2005-12-22,40.84,40.15,39.49,38.2434,38.1187,DOWN,0
2005-12-23,40.59,40.84,39.862,38.4578,38.0917,DOWN,0
2005-12-27,40.22,40.68,40.212,38.6348,38.0555,DOWN,0
2005-12-28,39.67,40.05,40.322,38.8086,38.0068,UP,1
2005-12-29,39.76,39.67,40.216,39.01,37.9641,DOWN,0
2005-12-30,39.47,39.66,39.942,39.1694,37.9189,DOWN,0
2006-01-03,38.68,39.72,39.56,39.313,37.8686,UP,1
2006-01-04,40.09,38.8,39.534,39.4678,37.8275,UP,1
2006-01-05,40.53,40.1,39.706,39.5904,37.7977,UP,1
2006-01-06,41.61,40.85,40.076,39.7474,37.7769,UP,1
2006-01-09,42.8,41.51,40.742,39.9524,37.7609,UP,1
2006-01-10,42.98,42.38,41.602,40.174,37.7459,UP,1
2006-01-11,47.32,43.08,43.048,40.4582,37.7625,DOWN,0
2006-01-12,46.75,47.0,44.292,40.7072,37.7682,UP,1
2006-01-13,48.35,46.84,45.64,40.9964,37.785,DOWN,0
2006-01-17,47.55,47.9,46.59,41.2524,37.8014,UP,1
2006-01-18,47.82,47.3,47.558,41.4804,37.8262,DOWN,0
2006-01-19,47.78,47.59,47.65,41.6828,37.8546,UP,1
2006-01-20,49.66,47.78,48.232,41.9026,37.8839,DOWN,0
2006-01-23,46.53,49.32,47.868,42.0788,37.8958,UP,1
2006-01-24,47.73,46.511,47.904,42.271,37.9173,DOWN,0
2006-01-25,47.25,47.5,47.79,42.4042,37.936,UP,1
2006-01-26,47.75,47.81,47.784,42.5434,37.955,UP,1
2006-01-27,48.54,47.75,47.56,42.6864,37.9777,UP,1
2006-01-30,49.91,48.31,48.236,42.8818,38.0107,UP,1
2006-01-31,51.35,50.75,48.96,43.111,38.0632,DOWN,0
2006-02-01,50.24,51.325,49.558,43.2842,38.1152,DOWN,0
2006-02-02,50.14,50.27,50.036,43.4492,38.1669,DOWN,0
2006-02-03,49.16,50.16,50.16,43.5428,38.2233,DOWN,0
2006-02-06,48.43,49.27,49.864,43.6108,38.2786,DOWN,0
2006-02-07,46.7,48.43,48.934,43.6282,38.3271,UP,1
2006-02-08,46.89,47.0,48.264,43.6578,38.3752,UP,1
2006-02-09,47.38,47.14,47.712,43.7124,38.4184,UP,1
2006-02-10,47.71,47.53,47.422,43.8106,38.4647,UP,1
2006-02-13,50.25,47.37,47.786,43.9814,38.5259,UP,1
