ticker,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-01,40.375,40.625,37.1276,40.1375,39.7416,UP,1
2000-08-02,41.0,40.0,37.1938,40.1,39.8728,UP,1
2000-08-03,41.125,40.75,37.2588,40.425,39.9853,UP,1
2000-08-04,43.75,41.313,37.337,41.35,40.1141,DOWN,0
2000-08-07,42.75,43.688,37.4066,41.8,40.1978,DOWN,0
2000-08-08,42.313,42.625,37.4704,42.1875,40.3041,UP,1
2000-08-09,43.0,42.5,37.5423,42.5875,40.3953,UP,1
2000-08-10,43.25,42.938,37.6098,43.0125,40.4766,UP,1
2000-08-11,45.625,43.313,37.687,43.3875,40.5903,DOWN,0
2000-08-14,45.563,45.0,37.7663,43.95,40.6941,UP,1
2000-08-15,45.813,45.438,37.8463,44.65,40.8153,DOWN,0
2000-08-16,45.438,45.875,37.9273,45.1375,40.9178,UP,1
2000-08-17,45.813,45.5,38.0129,45.65,41.0141,DOWN,0
2000-08-18,44.813,45.688,38.0941,45.4875,41.0691,UP,1
2000-08-21,44.875,45.0,38.1776,45.35,41.1303,UP,1
2000-08-22,46.563,45.063,38.2479,45.5,41.2153,DOWN,0
2000-08-23,45.125,46.375,38.3141,45.4375,41.2391,UP,1
2000-08-24,46.313,45.125,38.3857,45.5375,41.3791,DOWN,0
2000-08-25,46.0,46.313,38.4591,45.775,41.5278,UP,1
2000-08-28,46.125,45.938,38.5373,46.025,41.7053,UP,1
2000-08-29,46.938,46.313,38.6173,46.1,41.9153,DOWN,0
2000-08-30,45.625,46.75,38.6782,46.2,42.0778,UP,1
2000-08-31,47.313,45.625,38.7488,46.4,42.2653,UP,1
2000-09-01,48.375,47.5,38.8145,46.875,42.4691,DOWN,0
2000-09-05,46.813,48.375,38.8698,47.0125,42.6516,DOWN,0
2000-09-06,45.875,46.813,38.9232,46.8,42.7778,UP,1
2000-09-07,46.563,45.75,38.9851,46.9875,42.9191,DOWN,0
2000-09-08,45.813,46.938,39.0479,46.6875,43.0353,UP,1
2000-09-11,46.813,45.688,39.1113,46.375,43.1803,DOWN,0
2000-09-12,46.313,46.813,39.1701,46.275,43.3063,DOWN,0
2000-09-13,46.313,46.313,39.2291,46.3625,43.4563,DOWN,0
2000-09-14,45.875,46.375,39.2807,46.225,43.6188,DOWN,0
2000-09-15,45.313,45.875,39.3288,46.125,43.7438,DOWN,0
2000-09-18,45.25,45.438,39.3788,45.8125,43.8513,UP,1
2000-09-19,45.938,45.188,39.4354,45.7375,43.9513,UP,1
2000-09-20,46.313,45.938,39.4954,45.7375,44.0363,DOWN,0
2000-09-21,46.125,46.375,39.5485,45.7875,44.0925,DOWN,0
2000-09-22,46.125,45.938,39.5957,45.95,44.1638,DOWN,0
2000-09-25,45.563,46.125,39.6404,46.0125,44.23,DOWN,0
2000-09-26,44.625,45.313,39.6704,45.75,44.2925,DOWN,0
2000-09-27,43.688,44.625,39.696,45.225,44.3513,UP,1
2000-09-28,44.688,43.0,39.7288,44.9375,44.46,DOWN,0
2000-09-29,44.0,44.5,39.7645,44.5125,44.52,DOWN,0
2000-10-02,43.375,44.25,39.7963,44.075,44.56,DOWN,0
2000-10-03,42.75,43.563,39.8282,43.7,44.585,UP,1
2000-10-04,43.125,42.938,39.862,43.5875,44.6287,DOWN,0
2000-10-05,42.438,43.0,39.8926,43.1375,44.6538,UP,1
2000-10-06,43.5,42.5,39.9323,43.0375,44.7338,UP,1
2000-10-09,44.313,43.75,39.9735,43.225,44.8375,UP,1
2000-10-10,45.625,45.25,40.0254,43.8,44.94,UP,1
2000-10-11,47.563,45.625,40.0876,44.6875,45.0838,DOWN,0
2000-10-12,44.188,47.563,40.1248,45.0375,45.1475,DOWN,0
2000-10-13,41.313,44.125,40.1438,44.6,45.1513,UP,1
2000-10-16,43.0,42.313,40.1679,44.3375,45.1362,UP,1
2000-10-17,43.563,43.0,40.2088,43.925,45.1525,UP,1
2000-10-18,46.313,43.375,40.2673,43.675,45.2325,UP,1
2000-10-19,46.875,46.25,40.3323,44.2125,45.31,DOWN,0
2000-10-20,44.625,46.875,40.3823,44.875,45.3375,UP,1
2000-10-23,45.438,44.875,40.4313,45.3625,45.3338,DOWN,0
2000-10-24,44.75,45.313,40.4688,45.6,45.3175,DOWN,0
2000-10-25,43.75,44.563,40.5073,45.0875,45.2763,UP,1
2000-10-26,45.25,43.75,40.5541,44.7625,45.2725,DOWN,0
2000-10-27,44.125,45.25,40.5954,44.6625,45.2388,UP,1
2000-10-30,47.063,44.0,40.6532,44.9875,45.2838,DOWN,0
2000-10-31,46.688,47.0,40.711,45.375,45.32,DOWN,0
2000-11-01,46.375,46.875,40.7663,45.9,45.3162,UP,1
2000-11-02,47.438,46.625,40.8291,46.3375,45.3625,UP,1
2000-11-03,50.063,48.0,40.9051,47.525,45.4375,DOWN,0
2000-11-06,49.875,51.5,40.9813,48.0875,45.515,DOWN,0
2000-11-07,49.563,49.875,41.0582,48.6625,45.5838,DOWN,0
2000-11-08,48.875,49.5,41.1329,49.1625,45.6225,UP,1
2000-11-09,48.938,48.875,41.2116,49.4625,45.6888,DOWN,0
2000-11-10,47.375,48.313,41.287,48.925,45.69,DOWN,0
2000-11-13,47.25,47.125,41.3638,48.4,45.6675,UP,1
2000-11-14,48.813,47.063,41.4479,48.25,45.7075,UP,1
2000-11-15,50.313,48.688,41.5376,48.5375,45.7963,DOWN,0
2000-11-16,50.063,50.438,41.6129,48.7625,45.8663,UP,1
2000-11-17,50.875,50.313,41.6779,49.4625,45.9675,DOWN,0
2000-11-20,47.875,50.75,41.7273,49.5875,45.9888,UP,1
2000-11-21,48.063,47.938,41.7807,49.4375,46.0238,DOWN,0
2000-11-22,47.625,47.875,41.8335,48.9,46.05,UP,1
2000-11-24,50.0,47.625,41.8966,48.8875,46.1325,UP,1
2000-11-27,50.063,49.75,41.9604,48.725,46.2275,DOWN,0
2000-11-28,48.625,49.188,42.0141,48.875,46.295,DOWN,0
2000-11-29,48.563,48.625,42.066,48.975,46.3475,DOWN,0
