ticker,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-09-13,25.29,24.81,24.64,26.9652,,DOWN,0
2011-09-14,25.21,25.35,24.674,26.8494,,DOWN,0
2011-09-15,25.12,25.33,24.898,26.7438,,UP,1
2011-09-16,25.31,25.14,25.15,26.6388,,DOWN,0
2011-09-19,24.92,25.03,25.17,26.532,,UP,1
2011-09-20,24.94,24.99,25.1,26.4298,,DOWN,0
2011-09-21,24.18,24.88,24.894,26.305,,DOWN,0
2011-09-22,23.7,23.94,24.61,26.167,29.3479,DOWN,0
2011-09-23,23.63,23.4,24.274,26.0432,29.3385,UP,1
2011-09-26,24.0,23.93,24.09,25.9256,29.3189,UP,1
2011-09-27,24.43,24.46,23.988,25.8318,29.304,DOWN,0
2011-09-28,23.08,24.5,23.768,25.7144,29.2824,UP,1
2011-09-29,23.58,23.38,23.744,25.6088,29.2638,DOWN,0
2011-09-30,23.16,23.2,23.65,25.4894,29.2423,DOWN,0
2011-10-03,22.48,23.01,23.346,25.3602,29.2165,UP,1
2011-10-04,24.17,22.16,23.294,25.2666,29.197,UP,1
2011-10-05,24.22,24.16,23.522,25.1664,29.1774,UP,1
2011-10-06,24.67,24.13,23.74,25.0878,29.1562,DOWN,0
2011-10-07,23.37,24.85,23.782,24.9834,29.1258,UP,1
2011-10-10,25.03,23.83,24.292,24.9176,29.1055,UP,1
2011-10-11,25.14,24.8,24.486,24.8502,29.0863,UP,1
2011-10-12,25.87,25.54,24.816,24.8114,29.0704,DOWN,0
2011-10-13,25.09,25.75,24.9,24.758,29.0504,UP,1
2011-10-14,25.6,25.4,25.346,24.7244,29.0336,DOWN,0
2011-10-17,25.07,25.38,25.354,24.6856,29.0134,UP,1
2011-10-18,26.38,25.06,25.602,24.711,29.0004,DOWN,0
2011-10-19,25.84,26.27,25.596,24.6994,28.9869,DOWN,0
2011-10-20,25.27,24.91,25.632,24.7056,28.9712,UP,1
2011-10-21,26.5,25.6,25.812,24.7134,28.9587,UP,1
2011-10-24,27.34,26.67,26.266,24.7542,28.9427,DOWN,0
2011-10-25,27.03,27.12,26.396,24.7714,28.9232,UP,1
2011-10-26,28.28,27.43,26.884,24.8222,28.9117,UP,1
2011-10-27,29.01,29.07,27.632,24.8858,28.9053,DOWN,0
2011-10-28,28.61,28.97,28.054,24.97,28.8958,DOWN,0
2011-10-31,27.7,28.28,28.126,25.0452,28.8775,DOWN,0
