ticker,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2012-11-12,37.87,37.77,47.9732,38.32,44.2929,DOWN,0
2012-11-13,37.71,37.68,47.9501,38.056,44.0853,UP,1
2012-11-14,37.76,37.9,47.9265,37.842,43.8771,UP,1
2012-11-15,39.7,39.0,47.913,38.156,43.7073,DOWN,0
2012-11-16,38.8202,39.79,47.8929,38.372,43.5371,UP,1
2012-11-19,40.45,38.99,47.8801,38.888,43.3861,UP,1
2012-11-20,41.61,40.23,47.874,39.668,43.2641,DOWN,0
2012-11-21,41.47,41.51,47.8668,40.41,43.1453,UP,1
2012-11-23,42.03,41.55,47.8619,40.876,43.0575,UP,1
2012-11-26,42.175,42.01,47.8595,41.547,42.9796,DOWN,0
2012-11-27,41.13,42.05,47.8479,41.683,42.8652,UP,1
2012-11-28,41.42,41.13,47.838,41.645,42.7496,UP,1
2012-11-29,41.73,41.65,47.8273,41.697,42.6456,UP,1
2012-11-30,41.74,41.78,47.8148,41.639,42.544,DOWN,0
2012-12-03,41.34,41.91,47.8022,41.472,42.4296,UP,1
2012-12-04,41.36,41.88,47.7896,41.518,42.2686,DOWN,0
2012-12-05,40.55,41.28,47.769,41.344,42.1086,DOWN,0
2012-12-06,40.3916,40.56,47.7509,41.0763,41.9358,DOWN,0
2012-12-07,39.82,40.64,47.7316,40.6923,41.7579,DOWN,0
2012-12-10,39.4408,39.8,47.7087,40.3125,41.5791,DOWN,0
2012-12-11,37.98,39.62,47.679,39.6365,41.3673,UP,1
2012-12-12,38.65,38.14,47.6513,39.2565,41.1745,UP,1
2012-12-13,38.84,38.48,47.6242,38.9462,40.9853,DOWN,0
2012-12-14,38.63,38.9,47.5961,38.7082,40.8053,UP,1
2012-12-17,39.47,38.65,47.5665,38.714,40.6543,UP,1
2012-12-18,40.26,39.46,47.5413,39.17,40.5225,DOWN,0
2012-12-19,39.55,40.3,47.5087,39.35,40.3521,UP,1
2012-12-20,39.9904,39.5,47.4801,39.5801,40.2065,UP,1
2012-12-21,40.03,39.49,47.4512,39.8601,40.0913,UP,1
2012-12-24,40.05,39.85,47.42,39.9761,39.9541,DOWN,0
2012-12-26,39.72,40.12,47.3858,39.8681,39.8829,UP,1
2012-12-27,39.73,39.89,47.3511,39.9041,39.8553,DOWN,0
2012-12-28,39.6,39.48,47.3153,39.826,39.8369,UP,1
2012-12-31,40.56,39.47,47.2827,39.932,39.8377,DOWN,0
2013-01-02,39.9,41.07,47.2485,39.902,39.8283,DOWN,0
2013-01-03,39.48,38.49,47.2127,39.854,39.8308,UP,1
2013-01-04,39.62,39.45,47.1765,39.832,39.8402,UP,1
2013-01-07,39.9591,39.44,47.1409,39.9038,39.8597,DOWN,0
2013-01-08,39.01,39.79,47.0991,39.5938,39.8561,DOWN,0
