ticker,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2017-09-01,28.702,28.778,23.0491,28.4368,27.6042,28.219
2017-09-05,28.219,28.745,23.0916,28.4532,27.6347,28.147
2017-09-06,28.147,28.213,23.1328,28.4334,27.6697,28.231
2017-09-07,28.231,28.244,23.1766,28.3922,27.7088,28.04
2017-09-08,28.04,28.179,23.2182,28.2678,27.7387,28.156
2017-09-11,28.156,28.204,23.26,28.1586,27.7823,28.212
2017-09-12,28.212,28.26,23.3005,28.1572,27.8193,27.526
2017-09-13,27.526,28.3,23.3364,28.033,27.8426,27.461
2017-09-14,27.461,27.47,23.3745,27.879,27.8582,27.78
2017-09-15,27.78,27.329,23.4159,27.827,27.8818,27.663
2017-09-18,27.663,27.78,23.4587,27.7284,27.8934,28.06
2017-09-19,28.06,27.668,23.5088,27.698,27.9069,28.21
2017-09-20,28.21,28.003,23.5582,27.8348,27.9202,28.023
2017-09-21,28.023,28.123,23.6062,27.9472,27.9335,28.082
2017-09-22,28.082,27.931,23.653,28.0076,27.9492,27.92
2017-09-25,27.92,27.972,23.6983,28.059,27.9643,26.675
2017-09-26,26.675,27.6,23.7361,27.782,27.9565,26.705
2017-09-27,26.705,26.733,23.7737,27.481,27.9446,26.61
2017-09-28,26.61,26.497,23.8107,27.1984,27.9193,26.825
2017-09-29,26.825,26.5,23.8475,26.947,27.9,27.169
2017-10-02,27.169,26.95,23.8869,26.7968,27.8894,27.163
2017-10-03,27.163,27.2,23.9264,26.8944,27.875,27.179
2017-10-04,27.179,27.113,23.967,26.9892,27.8547,27.439
2017-10-05,27.439,27.313,24.0094,27.155,27.8408,27.691
2017-10-06,27.691,27.253,24.0515,27.3282,27.8457,27.678
2017-10-09,27.678,27.666,24.0945,27.43,27.8509,27.929
2017-10-10,27.929,27.843,24.1392,27.5832,27.8584,28.92
2017-10-11,28.92,28.008,24.1884,27.9314,27.8863,28.724
2017-10-12,28.724,28.924,24.2364,28.1884,27.9136,28.702
2017-10-13,28.702,28.818,24.2846,28.3906,27.9376,28.622
2017-10-16,28.622,28.82,24.3337,28.5794,27.9606,28.372
2017-10-17,28.372,28.638,24.3813,28.668,27.9716,28.375
2017-10-18,28.375,28.469,24.4301,28.559,27.98,28.048
2017-10-19,28.048,28.195,24.475,28.4237,27.9786,28.256
2017-10-20,28.256,28.239,24.5205,28.3345,27.9854,28.37
2017-10-23,28.37,28.227,24.5665,28.2841,27.993,28.074
