ticker,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2010-06-04,12.48,12.505,12.3404,13.2363,13.5302,12.15
2010-06-07,12.15,12.489,12.3399,13.1975,13.5354,12.131
2010-06-08,12.131,12.208,12.3519,13.1586,13.5385,11.862
2010-06-09,11.862,12.192,12.2551,13.1143,13.5396,12.187
2010-06-10,12.187,12.021,12.162,13.0744,13.5419,12.224
2010-06-11,12.224,12.074,12.1109,13.0351,13.544,12.091
2010-06-14,12.091,12.374,12.0992,12.9922,13.5459,12.462
2010-06-15,12.462,12.089,12.1653,12.9557,13.5499,12.544
2010-06-16,12.544,12.416,12.3017,12.9222,13.5545,12.514
2010-06-17,12.514,12.598,12.3671,12.8904,13.5593,12.513
2010-06-18,12.513,12.575,12.4248,12.8566,13.5648,12.226
2010-06-21,12.226,12.51,12.4517,12.8178,13.5693,12.168
2010-06-22,12.168,12.259,12.393,12.7745,13.5729,12.063
2010-06-23,12.063,12.184,12.2968,12.7221,13.5755,11.889
2010-06-24,11.889,12.003,12.1717,12.6651,13.5775,11.828
2010-06-25,11.828,11.938,12.0349,12.6037,13.5786,11.813
2010-06-28,11.813,11.826,11.9524,12.5646,13.5788,11.368
2010-06-29,11.368,11.597,11.7923,12.5167,13.5765,11.135
2010-06-30,11.135,11.385,11.6066,12.4616,13.5728,10.998
2010-07-01,10.998,11.143,11.4284,12.4041,13.568,10.924
2010-07-02,10.924,11.051,11.2475,12.3488,13.5615,10.912
2010-07-06,10.912,11.111,11.0673,12.2943,13.5546,11.266
2010-07-07,11.266,10.968,11.047,12.2535,13.5494,11.425
2010-07-08,11.425,11.35,11.1051,12.2172,13.5443,11.699
2010-07-09,11.699,11.81,11.2452,12.1864,13.5404,11.907
2010-07-12,11.907,11.821,11.4418,12.1582,13.5376,12.242
