ticker,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2004-06-14,8.6588,8.7238,7.6098,8.719,8.4496,8.6675
2004-06-15,8.6675,8.6688,7.6225,8.6973,8.4516,8.6525
2004-06-16,8.6525,8.6225,7.6342,8.6778,8.4512,8.6788
2004-06-17,8.6788,8.6375,7.6445,8.6763,8.4508,8.8313
2004-06-18,8.8313,8.68,7.6557,8.6978,8.4511,8.7875
2004-06-21,8.7875,8.7875,7.6664,8.7235,8.4524,8.8575
2004-06-22,8.8575,8.7688,7.6776,8.7615,8.4547,8.935
2004-06-23,8.935,8.8263,7.6889,8.818,8.4566,8.8863
2004-06-24,8.8863,8.9125,7.7001,8.8595,8.4591,8.9438
2004-06-25,8.9438,8.8875,7.7119,8.882,8.4641,8.8675
2004-06-28,8.8675,8.9938,7.7241,8.898,8.4669,8.9438
2004-06-29,8.9438,8.8675,7.737,8.9153,8.4716,9.0063
2004-06-30,9.0063,9.0563,7.7492,8.9295,8.4776,8.9138
2004-07-01,8.9138,9.0125,7.7604,8.935,8.4817,8.845
2004-07-02,8.845,8.9275,7.7713,8.9153,8.4857,9.0138
2004-07-06,9.0138,8.845,7.783,8.9445,8.4893,9.0813
2004-07-07,9.0813,9.0063,7.7945,8.972,8.4956,8.9513
2004-07-08,8.9513,9.0813,7.8055,8.961,8.5002,8.8825
2004-07-09,8.8825,8.9513,7.8165,8.9548,8.5037,8.95
2004-07-12,8.95,8.9075,7.8274,8.9758,8.5122,9.05
2004-07-13,9.05,8.925,7.8386,8.983,8.5289,9.0813
2004-07-14,9.0813,9.0375,7.8502,8.983,8.5455,9.1688
2004-07-15,9.1688,9.125,7.862,9.0265,8.5617,9.1738
2004-07-16,9.1738,9.2,7.8741,9.0848,8.5791,9.0338
2004-07-19,9.0338,9.1813,7.8855,9.1015,8.5954,9.0075
2004-07-20,9.0075,9.0375,7.8962,9.093,8.6146,8.825
2004-07-21,8.825,9.0325,7.9057,9.0418,8.6377,8.7613
2004-07-22,8.7613,8.8188,7.9147,8.9603,8.6563,8.7525
2004-07-23,8.7525,8.7525,7.9235,8.876,8.6733,8.595
2004-07-26,8.595,8.75,7.9313,8.7883,8.6834,8.6975
2004-07-27,8.6975,8.5963,7.9397,8.7263,8.6935,8.875
2004-07-28,8.875,8.6875,7.9487,8.7363,8.7076,9.0513
2004-07-29,9.0513,9.0938,7.9589,8.7943,8.7292,9.0225
2004-07-30,9.0225,9.0625,7.9685,8.8483,8.7471,9.115
2004-08-02,9.115,9.0225,7.9788,8.9523,8.768,9.19
2004-08-03,9.19,9.1375,7.9896,9.0508,8.7891,9.1875
2004-08-04,9.1875,9.19,8.0005,9.1133,8.8103,9.0988
2004-08-05,9.0988,9.2188,8.0116,9.1228,8.8283,8.9588
2004-08-06,8.9588,9.0375,8.022,9.11,8.8426,9.0475
2004-08-09,9.0475,8.9838,8.0333,9.0965,8.8577,9.1325
2004-08-10,9.1325,9.0438,8.0454,9.085,8.8725,9.1063
2004-08-11,9.1063,9.1325,8.0572,9.0688,8.8839,9.0
2004-08-12,9.0,9.0375,8.0684,9.049,8.895,9.0225
2004-08-13,9.0225,9.0125,8.0793,9.0618,8.9053,9.1113
2004-08-16,9.1113,9.0125,8.0897,9.0745,8.9184,9.1925
2004-08-17,9.1925,9.1438,8.1004,9.0865,8.931,9.3013
