ticker,FOXA US Equity,FOXA US Equity,FOXA US Equity,FOXA US Equity,FOXA US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2020-02-05,38.67,38.54,37.68,36.9206,35.3068,37.11
2020-02-06,37.11,39.1,37.696,36.9496,35.3019,37.0
2020-02-07,37.0,36.98,37.68,36.976,35.2971,37.3
2020-02-10,37.3,36.87,37.622,37.0034,35.2929,37.13
2020-02-11,37.13,37.23,37.442,37.0304,35.2861,37.67
2020-02-12,37.67,37.33,37.242,37.0686,35.2785,38.0
2020-02-13,38.0,37.53,37.42,37.1166,35.2735,37.8
2020-02-14,37.8,38.08,37.58,37.1688,35.2655,37.78
2020-02-18,37.78,37.76,37.676,37.2144,35.268,38.03
2020-02-19,38.03,37.93,37.856,37.265,35.2708,37.03
2020-02-20,37.03,37.7,37.728,37.2972,35.2664,35.99
2020-02-21,35.99,36.71,37.326,37.3046,35.26,34.69
2020-02-24,34.69,35.65,36.704,37.2822,35.2464,33.21
2020-02-25,33.21,34.81,35.79,37.2232,35.2199,32.79
2020-02-26,32.79,33.56,34.742,37.142,35.1912,31.34
2020-02-27,31.34,32.23,33.604,37.0334,35.1581,30.74
2020-02-28,30.74,30.25,32.554,36.912,35.1223,32.11
2020-03-02,32.11,30.73,32.038,36.811,35.0943,30.99
2020-03-03,30.99,31.42,31.594,36.6922,35.0656,30.93
2020-03-04,30.93,31.32,31.222,36.5708,35.0336,29.44
2020-03-05,29.44,30.16,30.842,36.4162,34.9951,28.84
2020-03-06,28.84,28.25,30.462,36.2439,34.9509,27.48
2020-03-09,27.48,26.93,29.536,36.0475,34.9027,29.11
2020-03-10,29.11,28.27,29.16,35.8783,34.8637,27.78
2020-03-11,27.78,28.21,28.53,35.6857,34.818,26.22
2020-03-12,26.22,26.76,27.886,35.4685,34.7659,26.15
2020-03-13,26.15,27.56,27.348,35.2501,34.7177,24.01
2020-03-16,24.01,23.81,26.654,34.9889,34.6616,25.14
2020-03-17,25.14,24.37,25.86,34.7584,34.6112,22.34
2020-03-18,22.34,23.72,24.772,34.4738,34.5517,22.82
2020-03-19,22.82,22.29,24.092,34.1888,34.4934,20.99
2020-03-20,20.99,23.17,23.06,33.8664,34.4265,20.2
2020-03-23,20.2,21.13,22.298,33.5268,34.3569,22.29
2020-03-24,22.29,21.12,21.728,33.2382,34.2983,24.14
2020-03-25,24.14,22.36,22.088,32.9812,34.2489,24.97
2020-03-26,24.97,24.2,22.518,32.7354,34.2028,22.51
2020-03-27,22.51,24.16,22.822,32.436,34.1401,24.31
2020-03-30,24.31,22.3,23.644,32.14,34.0852,23.63
2020-03-31,23.63,24.69,23.912,31.8258,34.0272,22.34
2020-04-01,22.34,22.67,23.552,31.4906,33.9582,22.67
2020-04-02,22.67,22.49,23.092,31.1624,33.8906,22.3
2020-04-03,22.3,22.51,23.05,30.8586,33.8222,25.06
2020-04-06,25.06,23.42,23.2,30.6276,33.7696,25.49
2020-04-07,25.49,26.21,23.572,30.3998,33.7161,26.3
2020-04-08,26.3,25.94,24.364,30.183,33.6686,25.99
2020-04-09,25.99,26.54,25.028,29.9712,33.6219,25.99
2020-04-13,25.99,25.83,25.766,29.7504,33.5745,26.51
2020-04-14,26.51,26.34,26.056,29.539,33.5271,25.7
2020-04-15,25.7,25.77,26.098,29.3012,33.4724,25.54
2020-04-16,25.54,25.64,25.946,29.0514,33.4205,26.875
2020-04-17,26.875,26.195,26.123,28.8155,33.3719,26.06
2020-04-20,26.06,26.17,26.137,28.5945,33.3204,25.54
2020-04-21,25.54,25.38,25.943,28.3653,33.2651,24.77
2020-04-22,24.77,26.05,25.757,28.1147,33.2083,24.86
2020-04-23,24.86,24.88,25.621,27.8693,33.1525,24.835
2020-04-24,24.835,24.9,25.213,27.6126,33.096,26.39
2020-04-27,26.39,25.21,25.279,27.3804,33.0465,27.14
2020-04-28,27.14,26.99,25.599,27.1672,32.9974,28.37
2020-04-29,28.37,28.02,26.319,26.979,32.9542,25.87
2020-04-30,25.87,27.56,26.521,26.7358,32.9001,25.43
2020-05-01,25.43,25.43,26.64,26.5038,32.8464,24.995
2020-05-04,24.995,25.32,26.361,26.2839,32.7886,24.1
2020-05-05,24.1,25.04,25.753,26.0721,32.727,24.81
2020-05-06,24.81,24.3,25.041,25.9041,32.6705,25.25
2020-05-07,25.25,26.46,24.917,25.7533,32.6157,26.0
2020-05-08,26.0,25.97,25.031,25.6465,32.5627,25.67
2020-05-11,25.67,25.54,25.166,25.5451,32.5052,25.355
2020-05-12,25.355,25.81,25.417,25.41,32.4459,24.52
2020-05-13,24.52,25.22,25.359,25.2806,32.381,25.77
2020-05-14,25.77,24.12,25.463,25.1774,32.3207,26.06
2020-05-15,26.06,25.52,25.475,25.1098,32.2644,27.47
2020-05-18,27.47,26.99,25.835,25.0824,32.2173,27.57
2020-05-19,27.57,27.49,26.278,25.0842,32.172,27.81
2020-05-20,27.81,27.88,26.936,25.0582,32.1308,27.62
2020-05-21,27.62,27.61,27.306,25.055,32.0867,27.8
2020-05-22,27.8,27.53,27.654,25.0866,32.0405,29.03
2020-05-26,29.03,28.74,27.966,25.1442,32.01,29.65
2020-05-27,29.65,29.68,28.382,25.257,31.9812,28.93
2020-05-28,28.93,29.61,28.606,25.3328,31.9511,29.17
2020-05-29,29.17,28.77,28.916,25.4694,31.9217,29.54
2020-06-01,29.54,29.13,29.264,25.6038,31.9009,29.3
2020-06-02,29.3,29.63,29.318,25.77,31.8837,30.77
2020-06-03,30.77,29.81,29.542,25.9814,31.8726,30.53
2020-06-04,30.53,30.57,29.862,26.1462,31.8559,30.85
2020-06-05,30.85,31.92,30.198,26.2804,31.8422,32.48
2020-06-08,32.48,31.03,30.786,26.4306,31.8375,30.81
2020-06-09,30.81,31.72,31.088,26.5966,31.8263,30.14
2020-06-10,30.14,30.7,30.962,26.7132,31.8183,28.06
2020-06-11,28.06,29.36,30.468,26.8018,31.7982,28.29
2020-06-12,28.29,28.9,29.956,26.9208,31.78,29.29
2020-06-15,29.29,27.36,29.318,27.0532,31.7675,28.31
2020-06-16,28.31,30.15,28.818,27.1734,31.7453,28.07
2020-06-17,28.07,28.28,28.404,27.2336,31.7198,29.0
2020-06-18,29.0,28.03,28.592,27.3038,31.701,28.32
2020-06-19,28.32,30.15,28.598,27.3442,31.6748,28.11
2020-06-22,28.11,28.04,28.362,27.3866,31.6441,28.26
2020-06-23,28.26,28.47,28.352,27.432,31.6142,27.38
2020-06-24,27.38,27.95,28.214,27.4494,31.5796,26.93
2020-06-25,26.93,26.99,27.8,27.474,31.5428,25.7
2020-06-26,25.7,26.68,27.276,27.4772,31.5013,26.9
2020-06-29,26.9,25.87,27.034,27.4777,31.4668,26.82
2020-06-30,26.82,26.8,26.746,27.4929,31.4318,26.93
2020-07-01,26.93,26.92,26.656,27.5207,31.3984,26.56
2020-07-02,26.56,27.63,26.582,27.5565,31.3669,26.5
2020-07-06,26.5,27.01,26.742,27.5893,31.3362,25.69
2020-07-07,25.69,26.24,26.5,27.6064,31.3045,25.3
2020-07-08,25.3,25.58,26.196,27.5846,31.2696,24.37
2020-07-09,24.37,25.28,25.684,27.5292,31.2301,25.32
2020-07-10,25.32,24.43,25.436,27.4682,31.1988,24.96
2020-07-13,24.96,25.11,25.128,27.45,31.1635,25.03
2020-07-14,25.03,24.78,24.996,27.442,31.1314,26.06
2020-07-15,26.06,25.33,25.148,27.4633,31.1045,26.17
2020-07-16,26.17,25.87,25.508,27.5047,31.0777,25.28
2020-07-17,25.28,26.18,25.5,27.5141,31.0479,24.76
2020-07-20,24.76,25.14,25.46,27.5043,31.0196,25.4
2020-07-21,25.4,24.92,25.534,27.4923,30.9943,25.91
2020-07-22,25.91,25.47,25.504,27.4971,30.971,26.24
2020-07-23,26.24,26.07,25.518,27.5148,30.9492,26.66
2020-07-24,26.66,26.42,25.794,27.5576,30.9322,25.72
2020-07-27,25.72,26.58,25.986,27.5566,30.9097,25.74
2020-07-28,25.74,25.54,26.054,27.5502,30.8858,25.86
2020-07-29,25.86,25.87,26.044,27.518,30.8578,25.82
2020-07-30,25.82,25.5,25.96,27.483,30.8299,25.77
2020-07-31,25.77,25.84,25.782,27.4422,30.8003,26.36
2020-08-03,26.36,25.77,25.91,27.417,30.7721,26.67
2020-08-04,26.67,26.31,26.096,27.3944,30.7456,24.725
2020-08-05,24.725,25.36,25.869,27.3083,30.7081,24.99
2020-08-06,24.99,24.9,25.703,27.2151,30.6694,24.67
2020-08-07,24.67,24.87,25.483,27.1299,30.6255,24.4
2020-08-10,24.4,24.61,25.091,27.0345,30.5813,24.66
2020-08-11,24.66,24.78,24.689,26.9369,30.5431,24.92
2020-08-12,24.92,24.95,24.728,26.8493,30.5056,25.57
2020-08-13,25.57,24.84,24.844,26.7453,30.4685,25.74
2020-08-14,25.74,25.59,25.058,26.6495,30.433,25.56
2020-08-17,25.56,25.89,25.29,26.5437,30.4004,25.635
2020-08-18,25.635,25.57,25.485,26.4068,30.3684,25.85
2020-08-19,25.85,25.6,25.671,26.3076,30.3357,25.89
2020-08-20,25.89,25.71,25.735,26.2226,30.3024,26.0
2020-08-21,26.0,25.82,25.787,26.1814,30.2682,26.98
2020-08-24,26.98,26.08,26.071,26.1552,30.2376,26.9
2020-08-25,26.9,26.95,26.324,26.1074,30.1974,27.15
2020-08-26,27.15,26.79,26.584,26.0842,30.1575,27.57
2020-08-27,27.57,27.4,26.92,26.0742,30.1204,27.815
2020-08-28,27.815,27.6,27.283,26.0505,30.087,27.86
2020-08-31,27.86,28.0,27.459,26.0413,30.055,27.44
2020-09-01,27.44,26.8,27.567,26.0279,30.0211,27.88
2020-09-02,27.88,27.48,27.713,26.0203,29.9892,27.35
2020-09-03,27.35,28.07,27.669,26.0197,29.95,27.66
2020-09-04,27.66,27.88,27.638,26.0343,29.907,27.69
2020-09-08,27.69,27.53,27.604,26.0741,29.866,28.2
2020-09-09,28.2,27.75,27.756,26.1001,29.8285,28.19
2020-09-10,28.19,28.27,27.818,26.1275,29.7911,28.14
2020-09-11,28.14,28.32,27.976,26.1517,29.7534,28.66
2020-09-14,28.66,28.29,28.176,26.1937,29.7171,28.61
2020-09-15,28.61,28.73,28.36,26.2359,29.6812,29.34
2020-09-16,29.34,28.86,28.588,26.3089,29.6491,28.63
2020-09-17,28.63,28.7,28.676,26.3755,29.6143,27.96
2020-09-18,27.96,28.65,28.64,26.4473,29.5781,26.78
2020-09-21,26.78,27.53,28.264,26.4765,29.5345,26.77
2020-09-22,26.77,26.85,27.896,26.5127,29.4909,25.91
2020-09-23,25.91,26.59,27.21,26.5303,29.4433,26.2
2020-09-24,26.2,25.97,26.724,26.5331,29.3962,26.7
2020-09-25,26.7,25.98,26.472,26.5437,29.3507,27.84
2020-09-28,27.84,27.09,26.684,26.5949,29.3091,27.77
2020-09-29,27.77,27.71,26.884,26.6551,29.2637,27.83
2020-09-30,27.83,27.99,27.268,26.7037,29.219,28.02
2020-10-01,28.02,27.96,27.632,26.7459,29.175,28.08
2020-10-02,28.08,27.68,27.908,26.7827,29.1296,28.71
2020-10-05,28.71,28.23,28.082,26.8237,29.0885,27.92
2020-10-06,27.92,28.78,28.112,26.8677,29.0431,28.97
2020-10-07,28.97,28.2,28.34,26.9323,29.0021,29.56
2020-10-08,29.56,29.25,28.648,27.0063,28.9626,29.19
2020-10-09,29.19,29.77,28.87,27.0737,28.9221,28.94
2020-10-12,28.94,29.44,28.916,27.1371,28.8789,27.23
2020-10-13,27.23,28.89,28.778,27.1545,28.828,26.93
2020-10-14,26.93,27.26,28.37,27.1597,28.7773,26.93
2020-10-15,26.93,26.79,27.844,27.2038,28.7266,26.86
2020-10-16,26.86,27.11,27.378,27.2412,28.6755,26.02
2020-10-19,26.02,27.09,26.794,27.2682,28.6223,26.05
2020-10-20,26.05,26.4,26.558,27.3012,28.5697,26.57
2020-10-21,26.57,25.9,26.486,27.3394,28.5172,27.46
2020-10-22,27.46,26.84,26.592,27.3902,28.469,27.08
2020-10-23,27.08,27.62,26.636,27.4204,28.4185,26.41
2020-10-26,26.41,26.82,26.714,27.4338,28.3669,26.185
2020-10-27,26.185,26.35,26.741,27.4463,28.3129,25.31
2020-10-28,25.31,25.78,26.489,27.4398,28.2532,25.57
2020-10-29,25.57,24.935,26.111,27.4342,28.1936,26.52
2020-10-30,26.52,25.56,25.999,27.4468,28.1307,27.4
2020-11-02,27.4,26.66,26.197,27.4748,28.071,27.04
2020-11-03,27.04,28.81,26.368,27.476,28.0107,25.63
2020-11-04,25.63,26.93,26.432,27.4506,27.9434,26.61
2020-11-05,26.61,26.07,26.64,27.4398,27.889,25.95
2020-11-06,25.95,26.43,26.526,27.4074,27.8357,26.25
2020-11-09,26.25,26.97,26.296,27.3761,27.7826,26.85
2020-11-10,26.85,26.01,26.258,27.3559,27.7311,27.46
2020-11-11,27.46,26.95,26.624,27.3563,27.6855,25.64
2020-11-12,25.64,27.12,26.43,27.3115,27.6286,26.635
2020-11-13,26.635,25.95,26.567,27.2972,27.5763,27.18
2020-11-16,27.18,26.83,26.753,27.2876,27.5243,28.16
2020-11-17,28.16,27.07,27.015,27.297,27.4749,27.66
2020-11-18,27.66,28.1,27.055,27.2862,27.4199,27.71
2020-11-19,27.71,27.61,27.469,27.2766,27.3729,27.83
2020-11-20,27.83,27.73,27.708,27.2704,27.327,28.53
2020-11-23,28.53,28.0,27.978,27.2678,27.2832,29.48
2020-11-24,29.48,28.85,28.242,27.2852,27.2449,29.3
2020-11-25,29.3,29.45,28.57,27.2844,27.2031,29.16
2020-11-27,29.16,29.07,28.86,27.295,27.1589,28.84
2020-11-30,28.84,29.06,29.062,27.3126,27.1141,30.14
2020-12-01,30.14,29.12,29.384,27.3798,27.0759,30.6
2020-12-02,30.6,30.22,29.608,27.4564,27.0387,30.32
2020-12-03,30.32,30.68,29.812,27.5446,27.0052,29.84
2020-12-04,29.84,30.47,29.948,27.6174,26.9744,29.68
2020-12-07,29.68,29.62,30.116,27.677,26.9494,29.255
2020-12-08,29.255,29.58,29.939,27.7053,26.9296,29.24
