ticker,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2001-03-01,21.0,20.8,19.2344,20.781,21.9189,21.34
2001-03-02,21.34,21.12,19.2405,21.04,21.9225,22.165
2001-03-05,22.165,21.825,19.2513,21.31,21.9371,22.255
2001-03-06,22.255,22.54,19.2656,21.512,21.9515,23.4
2001-03-07,23.4,22.95,19.2824,22.032,21.9721,23.895
2001-03-08,23.895,23.5,19.3014,22.611,21.9837,23.42
2001-03-09,23.42,23.88,19.3198,23.027,21.9746,22.48
2001-03-12,22.48,22.75,19.333,23.09,21.9492,23.025
2001-03-13,23.025,22.5,19.3529,23.244,21.9335,22.395
2001-03-14,22.395,22.355,19.3696,23.043,21.9082,22.5
2001-03-15,22.5,22.435,19.3863,22.764,21.8951,22.3
2001-03-16,22.3,22.775,19.4022,22.54,21.8761,22.57
2001-03-19,22.57,22.055,19.4157,22.558,21.8406,21.935
2001-03-20,21.935,22.45,19.4227,22.34,21.8206,21.09
2001-03-21,21.09,21.625,19.4281,22.079,21.7849,20.685
2001-03-22,20.685,20.975,19.4339,21.716,21.7417,20.885
2001-03-23,20.885,20.935,19.4413,21.433,21.7088,21.47
2001-03-26,21.47,21.3,19.4533,21.213,21.6838,22.4
2001-03-27,22.4,21.47,19.4697,21.306,21.6949,22.75
2001-03-28,22.75,22.4,19.4869,21.638,21.703,22.31
2001-03-29,22.31,22.2,19.5053,21.963,21.6992,22.19
2001-03-30,22.19,22.21,19.5222,22.224,21.7255,22.22
2001-04-02,22.22,22.195,19.5408,22.374,21.7637,21.08
2001-04-03,21.08,21.975,19.5564,22.11,21.7765,21.775
2001-04-04,21.775,20.98,19.5774,21.915,21.7958,22.89
2001-04-05,22.89,21.775,19.6042,22.031,21.8317,22.275
2001-04-06,22.275,22.54,19.6278,22.048,21.8441,22.49
2001-04-09,22.49,22.35,19.6541,22.102,21.8614,22.85
2001-04-10,22.85,22.55,19.6818,22.456,21.8874,22.57
2001-04-11,22.57,23.0,19.7077,22.615,21.8948,23.505
2001-04-12,23.505,22.475,19.736,22.738,21.9227,23.375
2001-04-16,23.375,23.15,19.7624,22.958,21.9469,22.875
2001-04-17,22.875,23.25,19.7893,23.035,21.9617,24.225
2001-04-18,24.225,22.95,19.8258,23.31,22.0085,23.84
2001-04-19,23.84,24.0,19.855,23.564,22.0501,23.94
2001-04-20,23.94,23.5,19.8867,23.651,22.0928,24.125
2001-04-23,24.125,24.125,19.9203,23.801,22.1435,24.15
2001-04-24,24.15,24.275,19.9562,24.056,22.1965,25.0
2001-04-25,25.0,24.175,19.9956,24.211,22.2652,24.675
2001-04-26,24.675,25.0,20.0286,24.378,22.3261,25.155
2001-04-27,25.155,24.875,20.063,24.621,22.4,25.1
2001-04-30,25.1,25.175,20.0987,24.816,22.4608,25.39
2001-05-01,25.39,25.1,20.1362,25.064,22.5319,25.15
2001-05-02,25.15,25.5,20.1727,25.094,22.6169,25.02
2001-05-03,25.02,24.925,20.2034,25.163,22.7077,25.275
2001-05-04,25.275,24.55,20.2349,25.187,22.8063,25.755
2001-05-07,25.755,25.05,20.2711,25.318,22.9205,25.925
2001-05-08,25.925,25.9,20.3094,25.425,23.0227,26.0
2001-05-09,26.0,25.93,20.3488,25.595,23.1178,26.715
2001-05-10,26.715,26.1,20.3927,25.934,23.2361,26.6
2001-05-11,26.6,26.8,20.4388,26.199,23.3481,26.41
2001-05-14,26.41,26.5,20.4837,26.33,23.4495,26.57
2001-05-15,26.57,26.0,20.5289,26.459,23.5376,27.955
2001-05-16,27.955,26.45,20.5835,26.85,23.6516,27.625
2001-05-17,27.625,27.75,20.6358,27.032,23.7361,27.625
2001-05-18,27.625,27.63,20.6865,27.237,23.8107,27.85
2001-05-21,27.85,27.25,20.7381,27.525,23.8993,28.1
2001-05-22,28.1,27.85,20.7914,27.831,24.0117,27.5
2001-05-23,27.5,28.095,20.8372,27.74,24.1012,27.2
2001-05-24,27.2,27.5,20.8773,27.655,24.1973,27.0
2001-05-25,27.0,27.25,20.9182,27.53,24.2873,27.57
2001-05-29,27.57,26.76,20.9623,27.474,24.3927,26.7
2001-05-30,26.7,27.5,20.9993,27.194,24.4753,27.08
2001-05-31,27.08,26.8,21.037,27.11,24.5782,27.425
2001-06-01,27.425,27.05,21.0775,27.155,24.7049,27.89
2001-06-04,27.89,27.425,21.1204,27.333,24.849,27.945
2001-06-05,27.945,27.875,21.1645,27.408,24.9902,27.325
2001-06-06,27.325,27.7,21.2056,27.533,25.1073,27.49
2001-06-07,27.49,27.0,21.2489,27.615,25.2091,27.165
2001-06-08,27.165,27.49,21.2902,27.563,25.2974,26.68
2001-06-11,26.68,26.8,21.3307,27.321,25.3848,26.91
2001-06-12,26.91,26.6,21.3711,27.114,25.4792,27.02
2001-06-13,27.02,26.91,21.4121,27.053,25.5752,27.095
2001-06-14,27.095,26.995,21.4546,26.974,25.6955,27.075
2001-06-15,27.075,27.095,21.4948,26.956,25.8015,27.23
2001-06-18,27.23,27.025,21.5371,27.066,25.8883,26.945
2001-06-19,26.945,27.275,21.5799,27.073,25.9817,27.75
2001-06-20,27.75,27.005,21.6254,27.219,26.0869,27.995
2001-06-21,27.995,27.705,21.6702,27.399,26.1898,27.325
2001-06-22,27.325,27.725,21.7101,27.449,26.2849,26.325
2001-06-25,26.325,27.25,21.7466,27.268,26.3413,26.6
2001-06-26,26.6,25.875,21.785,27.199,26.4058,26.145
2001-06-27,26.145,26.625,21.82,26.878,26.4712,25.33
2001-06-28,25.33,26.15,21.8516,26.345,26.4933,25.025
2001-06-29,25.025,24.875,21.88,25.885,26.517,25.98
2001-07-02,25.98,25.025,21.9118,25.816,26.5578,25.995
2001-07-03,25.995,26.0,21.9482,25.695,26.5952,25.84
2001-07-05,25.84,25.955,21.9872,25.634,26.629,24.8
2001-07-06,24.8,25.875,22.0225,25.528,26.625,25.2
2001-07-09,25.2,25.125,22.0605,25.563,26.6355,24.39
2001-07-10,24.39,25.45,22.0954,25.245,26.6202,24.5
2001-07-11,24.5,24.575,22.1301,24.946,26.6082,25.95
2001-07-12,25.95,24.95,22.1711,24.968,26.6194,26.24
2001-07-13,26.24,26.0,22.2148,25.256,26.6412,25.185
2001-07-16,25.185,26.175,22.257,25.253,26.6445,26.775
2001-07-17,26.775,25.75,22.3059,25.73,26.6745,26.34
2001-07-18,26.34,26.625,22.3601,26.098,26.6862,27.1
