ticker,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2014-05-29,8.43,8.38,8.558,7.8814,7.5667,8.45
2014-05-30,8.45,8.45,8.514,7.8802,7.5765,8.43
2014-06-02,8.43,8.43,8.45,7.882,7.5831,8.38
2014-06-03,8.38,8.4,8.422,7.8842,7.5907,8.59
2014-06-04,8.59,8.34,8.456,7.8914,7.6012,8.87
2014-06-05,8.87,8.51,8.544,7.903,7.6131,8.78
2014-06-06,8.78,8.9,8.61,7.923,7.6249,8.78
2014-06-09,8.78,8.8,8.68,7.9548,7.637,8.61
2014-06-10,8.61,8.89,8.726,7.9826,7.647,8.44
2014-06-11,8.44,8.57,8.696,8.0042,7.6543,8.39
2014-06-12,8.39,8.45,8.6,8.014,7.6601,8.43
2014-06-13,8.43,8.43,8.53,8.0146,7.6694,8.57
2014-06-16,8.57,8.38,8.488,8.0262,7.6797,8.66
2014-06-17,8.66,8.6,8.498,8.0458,7.6908,8.8
2014-06-18,8.8,8.75,8.57,8.067,7.7033,8.66
2014-06-19,8.66,8.81,8.624,8.0862,7.7136,8.47
2014-06-20,8.47,8.72,8.632,8.096,7.721,8.48
2014-06-23,8.48,8.49,8.614,8.1182,7.7279,8.38
2014-06-24,8.38,8.5,8.558,8.1384,7.7351,8.51
2014-06-25,8.51,8.3,8.5,8.1644,7.7404,8.5
2014-06-26,8.5,8.49,8.468,8.1912,7.744,8.49
2014-06-27,8.49,8.49,8.472,8.2164,7.7464,8.55
2014-06-30,8.55,8.52,8.486,8.236,7.7498,9.0
2014-07-01,9.0,8.49,8.61,8.2627,7.7545,9.07
2014-07-02,9.07,9.25,8.722,8.2811,7.7591,9.36
2014-07-03,9.36,9.1,8.894,8.3095,7.7655,9.25
2014-07-07,9.25,9.5,9.046,8.3323,7.7705,9.16
2014-07-08,9.16,9.34,9.168,8.3625,7.7748,9.26
2014-07-09,9.26,9.16,9.22,8.4003,7.7775,9.17
2014-07-10,9.17,9.0,9.24,8.4373,7.7807,9.34
2014-07-11,9.34,9.19,9.236,8.4731,7.7872,9.69
2014-07-14,9.69,9.49,9.324,8.5181,7.7957,9.54
2014-07-15,9.54,9.69,9.4,8.5629,7.8031,9.41
2014-07-16,9.41,9.61,9.43,8.6057,7.8105,9.22
2014-07-17,9.22,9.32,9.44,8.6511,7.816,9.7
2014-07-18,9.7,9.21,9.512,8.6891,7.8229,11.36
2014-07-21,11.36,9.64,9.846,8.7583,7.8379,11.59
2014-07-22,11.59,11.01,10.256,8.8297,7.8541,11.34
2014-07-23,11.34,11.5,10.642,8.8877,7.8662,11.61
2014-07-24,11.61,11.25,11.12,8.9527,7.8809,11.43
2014-07-25,11.43,11.53,11.466,9.0171,7.8978,10.56
2014-07-28,10.56,10.98,11.306,9.0665,7.9125,10.3
2014-07-29,10.3,10.58,11.048,9.1047,7.923,10.49
2014-07-30,10.49,10.39,10.878,9.1496,7.932,10.3
2014-07-31,10.3,10.66,10.616,9.194,7.9398,9.82
2014-08-01,9.82,10.23,10.294,9.2196,7.946,9.72
