ticker,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-09-08,7.5696,7.5371,5.8412,7.3357,6.4019,7.8244
2000-09-11,7.8244,7.5508,5.8505,7.4944,6.4407,7.797
2000-09-12,7.797,7.8244,5.8598,7.6093,6.4831,7.8107
2000-09-13,7.8107,7.8791,5.8698,7.7078,6.5206,7.6329
2000-09-14,7.6329,7.797,5.8785,7.7269,6.5553,7.9928
2000-09-15,7.9928,7.6192,5.8886,7.8116,6.5978,7.9749
2000-09-18,7.9749,8.0022,5.8988,7.8417,6.6405,7.756
2000-09-19,7.756,8.0022,5.9063,7.8335,6.6785,7.8107
2000-09-20,7.8107,7.7697,5.9139,7.8335,6.7154,7.7697
2000-09-21,7.7697,7.8107,5.9223,7.8608,6.7513,7.7423
2000-09-22,7.7423,7.7697,5.9309,7.8107,6.7874,7.715
2000-09-25,7.715,7.797,5.9396,7.7587,6.8246,7.8654
2000-09-26,7.8654,7.715,5.9496,7.7806,6.8648,8.0569
2000-09-27,8.0569,7.8517,5.9605,7.8299,6.9075,8.1664
2000-09-28,8.1664,8.0433,5.9723,7.9092,6.9504,8.7041
2000-09-29,8.7041,8.1116,5.9867,8.1016,7.0039,8.6725
2000-10-02,8.6725,8.6725,6.0012,8.2931,7.0578,8.7819
2000-10-03,8.7819,8.6451,6.0162,8.4764,7.1163,9.0965
2000-10-04,9.0965,8.7819,6.0329,8.6843,7.1803,9.0418
2000-10-05,9.0418,9.0692,6.0492,8.8594,7.2433,9.3428
2000-10-06,9.3428,9.0418,6.0668,8.9871,7.3114,9.1923
2000-10-09,9.1923,9.3838,6.0842,9.0911,7.38,8.9734
2000-10-10,8.9734,9.1923,6.1006,9.1294,7.4427,9.0418
2000-10-11,9.0418,8.8914,6.1171,9.1184,7.5048,9.1102
2000-10-12,9.1102,9.0281,6.1345,9.1321,7.5622,9.0692
2000-10-13,9.0692,9.1649,6.1522,9.0774,7.6159,9.1513
2000-10-16,9.1513,9.0418,6.1704,9.0692,7.6717,8.864
2000-10-17,8.864,9.1513,6.1876,9.0473,7.7206,8.7135
2000-10-18,8.7135,8.8777,6.2043,8.9816,7.7646,8.7819
2000-10-19,8.7819,8.6998,6.2212,8.916,7.8098,8.8503
2000-10-20,8.8503,8.7682,6.2383,8.8722,7.8568,8.6451
2000-10-23,8.6451,8.8093,6.2535,8.771,7.897,8.5904
2000-10-24,8.5904,8.6178,6.2684,8.7163,7.9342,8.4263
2000-10-25,8.4263,8.5631,6.2828,8.6588,7.9645,8.4673
2000-10-26,8.4673,8.4263,6.2967,8.5959,7.9949,8.4947
2000-10-27,8.4947,8.4263,6.3102,8.5248,8.0266,8.4947
2000-10-30,8.4947,8.4536,6.324,8.4947,8.06,8.6725
2000-10-31,8.6725,8.5357,6.3391,8.5111,8.0981,8.8503
2000-11-01,8.8503,8.6725,6.3547,8.5959,8.1374,8.9187
2000-11-02,8.9187,9.1923,6.3705,8.6862,8.1777,8.905
2000-11-03,8.905,8.8914,6.3849,8.7682,8.2182,9.0281
2000-11-06,9.0281,8.9461,6.3999,8.8749,8.2633,9.1923
2000-11-07,9.1923,9.0281,6.4162,8.9789,8.3106,9.2196
2000-11-08,9.2196,9.1923,6.4328,9.0528,8.3571,9.1513
2000-11-09,9.1513,9.2196,6.45,9.0993,8.4006,9.1239
2000-11-10,9.1239,9.1513,6.4671,9.143,8.4432,9.0965
2000-11-13,9.0965,9.0965,6.484,9.1567,8.4845,8.9734
2000-11-14,8.9734,9.1102,6.5002,9.1129,8.5196,9.1376
2000-11-15,9.1376,8.9871,6.5168,9.0965,8.5559,9.1102
2000-11-16,9.1102,9.1513,6.5334,9.0883,8.5874,9.247
2000-11-17,9.247,9.1786,6.5514,9.1129,8.621,9.2196
2000-11-20,9.2196,9.2196,6.5698,9.1376,8.6489,9.288
2000-11-21,9.288,9.2333,6.5891,9.2005,8.6787,9.1376
2000-11-22,9.1376,9.2607,6.608,9.2005,8.7052,9.1923
2000-11-24,9.1923,9.1649,6.627,9.2169,8.7364,9.1923
