ticker,CME US Equity,CME US Equity,CME US Equity,CME US Equity,CME US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2004-04-29,23.4,23.702,23.706,20.1056,16.038,23.46
2004-04-30,23.46,23.45,23.644,20.2325,16.0788,23.656
2004-05-03,23.656,23.484,23.6828,20.3656,16.1227,24.26
2004-05-04,24.26,23.706,23.6952,20.5034,16.1692,24.468
2004-05-05,24.468,24.38,23.8488,20.6468,16.2179,23.592
2004-05-06,23.592,23.8,23.8872,20.7682,16.2581,23.302
2004-05-07,23.302,23.594,23.8556,20.8685,16.2957,23.362
2004-05-10,23.362,23.1,23.7968,20.9627,16.3366,23.558
2004-05-11,23.558,23.4,23.6564,21.0544,16.3759,23.37
2004-05-12,23.37,23.59,23.4368,21.1442,16.4148,23.58
2004-05-13,23.58,23.32,23.4344,21.2428,16.4564,23.73
2004-05-14,23.73,23.62,23.52,21.3374,16.4996,23.392
2004-05-17,23.392,23.53,23.526,21.4165,16.5429,24.558
2004-05-18,24.558,23.442,23.726,21.5259,16.5939,24.814
2004-05-19,24.814,24.74,24.0148,21.6344,16.6448,24.744
2004-05-20,24.744,24.84,24.2476,21.7452,16.6938,24.912
2004-05-21,24.912,24.794,24.484,21.8665,16.7434,25.252
2004-05-24,25.252,25.1,24.856,21.991,16.7946,25.526
2004-05-25,25.526,25.252,25.0496,22.1276,16.8472,25.998
2004-05-26,25.998,25.6,25.2864,22.2818,16.902,26.06
2004-05-27,26.06,25.998,25.5496,22.4266,16.9568,25.84
2004-05-28,25.84,26.11,25.7352,22.5695,17.0091,24.402
2004-06-01,24.402,25.396,25.5652,22.6825,17.0529,24.64
2004-06-02,24.64,24.404,25.388,22.807,17.0976,23.69
2004-06-03,23.69,24.52,24.9264,22.9092,17.1381,24.122
2004-06-04,24.122,23.298,24.5388,23.0227,17.1871,24.87
2004-06-07,24.87,24.1,24.3448,23.1479,17.2381,24.938
2004-06-08,24.938,24.78,24.452,23.2679,17.2908,24.416
2004-06-09,24.416,24.654,24.4072,23.3696,17.3447,25.4
