ticker,APH US Equity,APH US Equity,APH US Equity,APH US Equity,APH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-11-09,3.8984,3.9844,3.3885,3.9898,3.7826,3.7734
2000-11-10,3.7734,3.8125,3.3967,3.932,3.778,3.7383
2000-11-13,3.7383,3.7188,3.4048,3.8781,3.7696,3.875
2000-11-14,3.875,3.7969,3.4136,3.8586,3.7641,4.0391
2000-11-15,4.0391,3.9141,3.423,3.8648,3.7635,3.957
2000-11-16,3.957,4.0391,3.432,3.8766,3.7614,3.9492
2000-11-17,3.9492,3.9453,3.4408,3.9117,3.7614,3.6836
2000-11-20,3.6836,3.918,3.4484,3.9008,3.7538,3.7539
2000-11-21,3.7539,3.6367,3.4563,3.8766,3.7495,3.7188
2000-11-22,3.7188,3.7148,3.4643,3.8125,3.7466,3.2891
2000-11-24,3.2891,3.7109,3.4703,3.6789,3.7349,3.7656
2000-11-27,3.7656,3.5469,3.4788,3.6422,3.7352,3.5117
2000-11-28,3.5117,3.7188,3.4836,3.6078,3.7331,3.5781
2000-11-29,3.5781,3.4805,3.4897,3.5727,3.7311,3.3359
2000-11-30,3.3359,3.5625,3.4942,3.4961,3.7257,3.4023
2000-12-01,3.4023,3.375,3.4994,3.5188,3.7222,3.293
2000-12-04,3.293,3.418,3.5045,3.4242,3.7185,3.375
2000-12-05,3.375,3.3242,3.5102,3.3969,3.7173,3.3789
2000-12-06,3.3789,3.4219,3.5158,3.357,3.7166,3.418
2000-12-07,3.418,3.3438,3.5213,3.3734,3.7181,3.5508
2000-12-08,3.5508,3.4922,3.5275,3.4031,3.7202,3.6875
2000-12-11,3.6875,3.5977,3.5342,3.482,3.7227,3.5156
2000-12-12,3.5156,3.6797,3.5393,3.5102,3.7222,3.4258
2000-12-13,3.4258,3.5469,3.5431,3.5195,3.7212,3.3125
2000-12-14,3.3125,3.4297,3.5468,3.4984,3.7159,2.7734
2000-12-15,2.7734,3.25,3.5478,3.343,3.7004,2.6797
2000-12-18,2.6797,2.8594,3.5484,3.1414,3.684,2.4844
2000-12-19,2.4844,2.7031,3.5485,2.9352,3.6641,2.1211
2000-12-20,2.1211,2.4453,3.5472,2.6742,3.6402,2.0898
2000-12-21,2.0898,2.1328,3.5457,2.4297,3.612,2.1445
2000-12-22,2.1445,2.1328,3.5429,2.3039,3.5897,2.125
2000-12-26,2.125,2.1602,3.5405,2.193,3.5595,2.1406
2000-12-27,2.1406,2.1563,3.5386,2.1242,3.5287,2.2227
2000-12-28,2.2227,2.1406,3.5363,2.1445,3.5,2.4492
2000-12-29,2.4492,2.2617,3.5347,2.2164,3.4775,2.3945
2001-01-02,2.3945,2.418,3.5319,2.2664,3.444,2.457
2001-01-03,2.457,2.3398,3.5296,2.3328,3.4118,2.5625
2001-01-04,2.5625,2.4609,3.5279,2.4172,3.3785,2.3477
2001-01-05,2.3477,2.5859,3.525,2.4422,3.3427,2.4453
2001-01-08,2.4453,2.4219,3.5219,2.4414,3.3134,2.4141
2001-01-09,2.4141,2.4414,3.5189,2.4453,3.2827,2.5703
2001-01-10,2.5703,2.3984,3.5156,2.468,3.2555,2.7461
2001-01-11,2.7461,2.5547,3.5137,2.5047,3.2311,2.832
2001-01-12,2.832,2.7891,3.5128,2.6016,3.2074,2.9063
2001-01-16,2.9063,2.8359,3.5123,2.6938,3.1848,2.9805
2001-01-17,2.9805,2.9609,3.5112,2.807,3.1633,3.0391
2001-01-18,3.0391,3.0234,3.5107,2.9008,3.1428,3.1172
2001-01-19,3.1172,3.1719,3.5105,2.975,3.125,3.0117
2001-01-22,3.0117,3.1211,3.5093,3.0109,3.1058,2.9375
2001-01-23,2.9375,3.0117,3.5067,3.0172,3.0844,3.0039
2001-01-24,3.0039,2.9141,3.5032,3.0219,3.0665,2.9492
2001-01-25,2.9492,3.0,3.4996,3.0039,3.05,2.9375
2001-01-26,2.9375,2.8672,3.496,2.968,3.034,2.9531
2001-01-29,2.9531,2.9219,3.4927,2.9563,3.0155,3.0331
2001-01-30,3.0331,2.9594,3.4902,2.9754,2.9954,3.025
2001-01-31,3.025,3.0438,3.4908,2.9796,2.9768,3.0656
2001-02-01,3.0656,3.0563,3.491,3.0029,2.9591,2.9125
2001-02-02,2.9125,3.0469,3.488,2.9979,2.9437,2.765
2001-02-05,2.765,2.8125,3.4838,2.9603,2.9239,2.8531
2001-02-06,2.8531,2.7644,3.4804,2.9243,2.9066,2.7394
2001-02-07,2.7394,2.8031,3.4769,2.8671,2.8956,2.6188
2001-02-08,2.6188,2.6875,3.4713,2.7778,2.8727,2.5338
2001-02-09,2.5338,2.6225,3.4658,2.702,2.8531,2.5219
2001-02-12,2.5219,2.5,3.4596,2.6534,2.832,2.5375
2001-02-13,2.5375,2.5375,3.4524,2.5902,2.816,2.4969
2001-02-14,2.4969,2.5625,3.4462,2.5417,2.7979,2.7031
2001-02-15,2.7031,2.5313,3.4413,2.5586,2.7861,2.5681
2001-02-16,2.5681,2.5469,3.438,2.5655,2.77,2.4381
2001-02-20,2.4381,2.5938,3.4331,2.5487,2.7512,2.4125
2001-02-21,2.4125,2.375,3.4267,2.5237,2.7311,2.42
2001-02-22,2.42,2.4094,3.4201,2.5084,2.7084,2.3813
2001-02-23,2.3813,2.3906,3.4152,2.444,2.6823,2.5875
2001-02-26,2.5875,2.4156,3.4133,2.4479,2.6637,2.3188
2001-02-27,2.3188,2.5313,3.4091,2.424,2.6416,2.2313
2001-02-28,2.2313,2.3031,3.4041,2.3877,2.62,2.2188
2001-03-01,2.2188,2.2313,3.3995,2.3475,2.6089,2.2881
2001-03-02,2.2881,2.1563,3.3956,2.3289,2.6011,2.2906
2001-03-05,2.2906,2.285,3.3917,2.2695,2.5972,2.4206
2001-03-06,2.4206,2.3125,3.3877,2.2899,2.6032,2.45
2001-03-07,2.45,2.425,3.3845,2.3336,2.6104,2.435
2001-03-08,2.435,2.425,3.3819,2.3769,2.6162,2.3156
2001-03-09,2.3156,2.4162,3.3789,2.3824,2.62,2.1406
2001-03-12,2.1406,2.2063,3.3756,2.3524,2.62,2.1431
2001-03-13,2.1431,2.1656,3.3724,2.2969,2.6184,2.0938
2001-03-14,2.0938,2.0938,3.3688,2.2256,2.6113,2.0781
2001-03-15,2.0781,2.1344,3.3642,2.1543,2.605,1.8969
2001-03-16,1.8969,2.0875,3.3594,2.0705,2.5938,1.9906
2001-03-19,1.9906,1.8969,3.354,2.0405,2.5823,1.9794
2001-03-20,1.9794,1.9813,3.3479,2.0078,2.575,1.9625
2001-03-21,1.9625,2.0063,3.3424,1.9815,2.5653,1.9431
2001-03-22,1.9431,1.9438,3.3366,1.9545,2.5559,2.1188
2001-03-23,2.1188,1.9719,3.3316,1.9989,2.5469,2.0744
2001-03-26,2.0744,2.125,3.3263,2.0156,2.5334,2.1
2001-03-27,2.1,2.0844,3.3207,2.0398,2.5188,1.9356
2001-03-28,1.9356,2.0844,3.3148,2.0344,2.4994,1.8875
2001-03-29,1.8875,1.9063,3.3087,2.0233,2.4775,1.9688
2001-03-30,1.9688,1.875,3.3032,1.9933,2.4561,1.9375
2001-04-02,1.9375,1.9688,3.2952,1.9659,2.4325,1.8563
2001-04-03,1.8563,1.9063,3.2865,1.9171,2.4094,1.8713
2001-04-04,1.8713,1.8406,3.2776,1.9043,2.3881,2.0
2001-04-05,2.0,1.9281,3.2692,1.9267,2.368,1.925
2001-04-06,1.925,1.9875,3.2593,1.918,2.3475,2.0075
2001-04-09,2.0075,1.95,3.2498,1.932,2.3289,2.1819
2001-04-10,2.1819,2.0625,3.2413,1.9971,2.3135,2.3094
2001-04-11,2.3094,2.2344,3.2337,2.0847,2.299,2.4063
2001-04-12,2.4063,2.2563,3.2272,2.166,2.2866,2.3031
2001-04-16,2.3031,2.375,3.219,2.2416,2.2714,2.3156
2001-04-17,2.3156,2.2875,3.2116,2.3032,2.2594,2.5094
2001-04-18,2.5094,2.4688,3.2035,2.3687,2.2543,2.75
2001-04-19,2.75,2.4938,3.196,2.4569,2.2523,2.6319
2001-04-20,2.6319,2.7344,3.1885,2.502,2.2501,2.5338
2001-04-23,2.5338,2.5313,3.1806,2.5481,2.2484,2.4581
2001-04-24,2.4581,2.5338,3.1715,2.5766,2.2469,2.5313
2001-04-25,2.5313,2.4219,3.1628,2.581,2.2471,2.6406
2001-04-26,2.6406,2.5625,3.1547,2.5591,2.2492,2.6781
2001-04-27,2.6781,2.6875,3.1462,2.5684,2.2528,2.6313
2001-04-30,2.6313,2.6781,3.1381,2.5879,2.2513,2.69
2001-05-01,2.69,2.6313,3.1303,2.6342,2.2538,2.8406
2001-05-02,2.8406,2.7344,3.1231,2.6961,2.2618,2.8625
2001-05-03,2.8625,2.8031,3.1169,2.7405,2.2708,2.9375
2001-05-04,2.9375,2.8125,3.1105,2.7924,2.2812,2.9162
2001-05-07,2.9162,2.9063,3.1044,2.8494,2.2919,2.9375
2001-05-08,2.9375,2.9375,3.0991,2.8989,2.2989,2.9806
2001-05-09,2.9806,2.9063,3.0937,2.9269,2.3121,2.96
2001-05-10,2.96,3.0063,3.0886,2.9464,2.3267,2.9425
2001-05-11,2.9425,2.9375,3.084,2.9474,2.3412,2.95
2001-05-14,2.95,2.9094,3.0813,2.9541,2.3544,2.9344
2001-05-15,2.9344,2.95,3.0798,2.9535,2.3673,2.9475
2001-05-16,2.9475,2.9094,3.0781,2.9469,2.3778,3.2375
2001-05-17,3.2375,2.9625,3.0776,3.0024,2.3936,3.3
2001-05-18,3.3,3.2688,3.0774,3.0739,2.4109,3.5313
2001-05-21,3.5313,3.3313,3.0791,3.1901,2.4352,3.525
2001-05-22,3.525,3.5625,3.0799,3.3083,2.4629,3.3844
2001-05-23,3.3844,3.4906,3.0792,3.3956,2.4877,3.3125
2001-05-24,3.3125,3.3856,3.0779,3.4106,2.5121,3.2969
2001-05-25,3.2969,3.3375,3.0765,3.41,2.5365,3.1662
2001-05-29,3.1662,3.2813,3.0743,3.337,2.5618,3.0375
2001-05-30,3.0375,3.0938,3.072,3.2395,2.5828,3.1644
2001-05-31,3.1644,3.0625,3.07,3.1955,2.6065,3.15
2001-06-01,3.15,3.2188,3.0673,3.163,2.6302,3.0625
2001-06-04,3.0625,3.0875,3.0637,3.1161,2.6526,3.1719
2001-06-05,3.1719,3.0781,3.0603,3.1173,2.6737,3.2006
2001-06-06,3.2006,3.1688,3.0569,3.1499,2.6962,3.1956
2001-06-07,3.1956,3.1719,3.053,3.1561,2.7181,2.9906
