ticker,WST US Equity,WST US Equity,WST US Equity,WST US Equity,WST US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2012-11-12,26.79,26.485,23.523,26.801,25.972,26.465
2012-11-13,26.465,26.755,23.5539,26.682,26.0272,25.79
2012-11-14,25.79,26.48,23.5819,26.525,26.0695,25.7
2012-11-15,25.7,25.75,23.6092,26.297,26.1037,25.525
2012-11-16,25.525,25.605,23.6331,26.054,26.1359,25.83
2012-11-19,25.83,25.755,23.6584,25.862,26.1731,26.27
2012-11-20,26.27,25.715,23.684,25.823,26.2185,26.46
2012-11-21,26.46,26.17,23.712,25.957,26.2682,26.84
2012-11-23,26.84,26.495,23.7426,26.185,26.325,27.265
2012-11-26,27.265,26.815,23.7748,26.533,26.3902,26.945
2012-11-27,26.945,27.215,23.8068,26.756,26.4388,26.94
2012-11-28,26.94,26.81,23.8399,26.89,26.4835,27.14
2012-11-29,27.14,27.15,23.873,27.026,26.5282,27.015
2012-11-30,27.015,27.225,23.9053,27.061,26.5672,26.77
2012-12-03,26.77,27.155,23.9361,26.962,26.5993,27.19
2012-12-04,27.19,26.635,23.9654,27.011,26.6376,27.495
2012-12-05,27.495,27.245,23.9962,27.122,26.6735,27.335
2012-12-06,27.335,27.465,24.0267,27.161,26.6989,27.355
2012-12-07,27.355,27.495,24.0572,27.229,26.7252,27.48
2012-12-10,27.48,27.36,24.0876,27.371,26.7515,27.865
2012-12-11,27.865,27.585,24.1207,27.506,26.7742,27.7
2012-12-12,27.7,27.995,24.1535,27.547,26.7975,27.455
2012-12-13,27.455,27.715,24.1858,27.571,26.8056,27.435
2012-12-14,27.435,27.35,24.2189,27.587,26.8128,27.57
2012-12-17,27.57,27.565,24.2522,27.605,26.8243,27.4
2012-12-18,27.4,27.5,24.2874,27.512,26.8321,27.13
2012-12-19,27.13,27.34,24.3214,27.398,26.8374,27.435
2012-12-20,27.435,27.13,24.3588,27.394,26.8482,27.135
2012-12-21,27.135,27.365,24.3939,27.334,26.8605,27.06
2012-12-24,27.06,27.045,24.4279,27.232,26.8711,26.865
2012-12-26,26.865,27.11,24.4594,27.125,26.8788,27.145
2012-12-27,27.145,26.815,24.4933,27.128,26.8953,27.055
2012-12-28,27.055,27.02,24.524,27.052,26.9048,27.375
2012-12-31,27.375,27.09,24.5576,27.1,26.9122,27.615
2013-01-02,27.615,27.83,24.5918,27.211,26.9259,27.715
2013-01-03,27.715,27.63,24.6267,27.381,26.9437,27.81
2013-01-04,27.81,27.865,24.6611,27.514,26.9631,27.64
2013-01-07,27.64,27.645,24.6952,27.631,26.9787,27.57
2013-01-08,27.57,27.66,24.7294,27.67,26.9939,27.655
2013-01-09,27.655,27.535,24.7644,27.678,27.016,27.58
2013-01-10,27.58,27.74,24.7983,27.651,27.0335,27.55
2013-01-11,27.55,27.645,24.8291,27.599,27.0504,27.525
2013-01-14,27.525,27.465,24.86,27.576,27.0622,27.49
2013-01-15,27.49,27.42,24.8908,27.56,27.077,27.4
2013-01-16,27.4,27.395,24.9208,27.509,27.0984,27.445
2013-01-17,27.445,27.5,24.9517,27.482,27.1087,27.62
2013-01-18,27.62,27.38,24.9825,27.496,27.1199,27.995
2013-01-22,27.995,27.545,25.0158,27.59,27.1483,27.985
2013-01-23,27.985,27.99,25.0518,27.689,27.1712,29.165
2013-01-24,29.165,28.0,25.0945,28.042,27.2197,29.405
2013-01-25,29.405,29.265,25.1407,28.434,27.272,29.675
2013-01-28,29.675,29.35,25.1896,28.845,27.3362,29.905
2013-01-29,29.905,29.74,25.239,29.227,27.4185,29.69
2013-01-30,29.69,29.885,25.2862,29.568,27.4983,29.605
2013-01-31,29.605,29.765,25.3351,29.656,27.5799,29.9
2013-02-01,29.9,29.655,25.3848,29.755,27.6613,29.68
2013-02-04,29.68,29.685,25.4205,29.756,27.7295,29.845
2013-02-05,29.845,29.745,25.4613,29.744,27.7972,29.955
2013-02-06,29.955,29.765,25.504,29.797,27.8595,29.91
