ticker,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2014-08-28,105.04,105.07,92.672,105.462,101.125,105.27
2014-08-29,105.27,105.03,92.8067,105.362,101.2098,106.21
2014-09-02,106.21,105.7,92.9426,105.476,101.3124,106.6
2014-09-03,106.6,106.67,93.0799,105.684,101.4306,107.25
2014-09-04,107.25,106.77,93.2174,106.074,101.582,107.69
2014-09-05,107.69,107.22,93.3576,106.604,101.734,107.46
2014-09-08,107.46,107.65,93.4996,107.042,101.8918,107.47
2014-09-09,107.47,107.61,93.6406,107.294,102.0484,107.38
2014-09-10,107.38,107.42,93.7755,107.45,102.201,107.71
2014-09-11,107.71,106.98,93.909,107.542,102.3532,107.01
2014-09-12,107.01,107.02,94.0391,107.406,102.492,107.04
2014-09-15,107.04,107.09,94.1702,107.322,102.6132,107.92
2014-09-16,107.92,107.16,94.3027,107.412,102.7664,109.58
2014-09-17,109.58,108.35,94.4455,107.852,102.9562,109.4
2014-09-18,109.4,109.74,94.5837,108.19,103.132,109.36
2014-09-19,109.36,109.97,94.7244,108.66,103.327,108.5
2014-09-22,108.5,109.52,94.8634,108.952,103.4916,107.8
2014-09-23,107.8,108.2,94.9965,108.928,103.6258,108.69
2014-09-24,108.69,107.9,95.1291,108.75,103.7722,107.19
2014-09-25,107.19,108.6,95.2538,108.308,103.8804,108.58
2014-09-26,108.58,107.02,95.3898,108.152,104.043,108.53
2014-09-29,108.53,107.95,95.5307,108.158,104.1868,108.42
2014-09-30,108.42,108.52,95.6703,108.282,104.3224,105.8
2014-10-01,105.8,107.48,95.7975,107.704,104.3812,106.1
2014-10-02,106.1,105.9,95.9237,107.486,104.453,109.51
2014-10-03,109.51,107.01,96.0687,107.672,104.6078,109.29
2014-10-06,109.29,110.41,96.2062,107.824,104.7604,106.37
2014-10-07,106.37,108.5,96.3276,107.414,104.875,108.02
2014-10-08,108.02,106.67,96.4587,107.858,105.0434,105.34
2014-10-09,105.34,108.08,96.573,107.706,105.1608,101.34
2014-10-10,101.34,105.5,96.6656,106.072,105.2214,98.08
2014-10-13,98.08,102.99,96.74,103.83,105.2248,100.16
2014-10-14,100.16,98.55,96.8257,102.588,105.2622,99.7
2014-10-15,99.7,98.75,96.909,100.924,105.297,104.03
2014-10-16,104.03,98.22,97.0092,100.662,105.4274,106.4
2014-10-17,106.4,105.95,97.1234,101.674,105.6058,106.16
2014-10-20,106.16,105.6,97.2371,103.29,105.7562,108.86
2014-10-21,108.86,107.29,97.3685,105.03,105.942,106.86
2014-10-22,106.86,108.53,97.4862,106.462,106.0858,112.23
2014-10-23,112.23,111.84,97.6301,108.102,106.319,114.58
2014-10-24,114.58,112.81,97.7798,109.738,106.576,114.79
2014-10-27,114.79,114.39,97.9278,111.464,106.832,116.18
2014-10-28,116.18,115.09,98.0886,112.928,107.0798,114.97
2014-10-29,114.97,116.31,98.2414,114.55,107.2914,115.0
2014-10-30,115.0,114.93,98.391,115.104,107.48,116.45
2014-10-31,116.45,116.3,98.5533,115.478,107.6918,115.26
2014-11-03,115.26,116.57,98.71,115.572,107.8816,115.28
2014-11-04,115.28,115.23,98.8661,115.392,108.0744,116.41
2014-11-05,116.41,116.02,99.0269,115.68,108.2914,118.94
2014-11-06,118.94,116.85,99.1863,116.468,108.5642,118.75
2014-11-07,118.75,118.94,99.351,116.928,108.8384,120.9
2014-11-10,120.9,119.3,99.5275,118.056,109.151,121.24
